family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Amaranthaceae,Alternanthera,bettzickiana,Alternanthera_bettzickiana,(Regel) G.Nicholson,Alternanthera bettzickiana (Regel) G.Nicholson,Ill. Dict. Gard. 1: 59 (1884),"Bolivia, Brazil, Ecuador, Peru","Bolivia, Brazil North, Brazil South, Ecuador, Peru","Andaman Is., Ascension, Australia, Bangladesh, Belgium, Belize, Bhutan, India, Bulgaria, Cambodia, China, Christmas I., Comoros, Cook Is., Dominican Republic, Fiji, Gilbert Is., Guinea, Haiti, Honduras, India, Indonesia, Indonesia, Malaysia, Italy, Leeward Is., Malawi, Malaysia, Marianas, Mauritius, Mexico, Nepal, New Caledonia, Nicaragua, Oman, Pakistan, Papua New Guinea, Solomon Islands, Puerto Rico, Rodrigues, Rwanda, Saudi Arabia, Society Is., Sri Lanka, Tanzania, Thailand, Tokelau-Manihiki, Trinidad-Tobago, Tuamotu, Tubuai Is., Uganda, United States, Vanuatu, Venezuelan Antilles, Vietnam, Windward Is., Zaire, Zambia, Zimbabwe","Andaman Is., Ascension, Assam, Bangladesh, Belgium, Belize, Borneo, Bulgaria, Cambodia, China South-Central, China Southeast, Christmas I., Comoros, Cook Is., Dominican Republic, East Himalaya, Fiji, Florida, Gilbert Is., Guinea, Hainan, Haiti, Hawaii, Honduras, India, Jawa, Leeward Is., Malawi, Malaya, Marianas, Maryland, Mauritius, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nepal, New Caledonia, Nicaragua, Oman, Pakistan, Puerto Rico, Queensland, Rodrigues, Rwanda, Saudi Arabia, Sicilia, Society Is., Solomon Is., Sri Lanka, Sumatera, Tanzania, Texas, Thailand, Tokelau-Manihiki, Trinidad-Tobago, Tuamotu, Tubuai Is., Uganda, Vanuatu, Venezuelan Antilles, Vietnam, Windward Is., Zambia, Zaire, Zimbabwe",10291-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10291-2
Amaranthaceae,Alternanthera,glaziovii,Alternanthera_glaziovii,R.E.Fr.,Alternanthera glaziovii R.E.Fr.,Ark. Bot. 16(13): 12 (1921),Brazil,Brazil Southeast,unknown,unknown,10360-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10360-2
Amaranthaceae,Alternanthera,jacquinii,Alternanthera_jacquinii,(Schrad.) Alain,Alternanthera jacquinii (Schrad.) Alain,Bull. Torrey Bot. Club 92: 292 (1965),"Brazil, Colombia, El Salvador, Guatemala, Honduras, Mexico, Peru","Brazil Northeast, Colombia, El Salvador, Guatemala, Honduras, Mexico Southeast, Mexico Southwest, Peru",Cook Is.,Cook Is.,10373-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10373-2
Amaranthaceae,Alternanthera,pennelliana,Alternanthera_pennelliana,Mears ex Pedersen,Alternanthera pennelliana Mears ex Pedersen,"Adansonia, sér. 3, 19: 221 (1997)","Brazil, Paraguay","Brazil West-Central, Paraguay",unknown,unknown,999114-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:999114-1
Amaranthaceae,Alternanthera,philippo-coburgii,Alternanthera_philippo-coburgii,(Zahlbr. ex Wawra) Suess.,Alternanthera philippo-coburgii (Zahlbr. ex Wawra) Suess.,Repert. Spec. Nov. Regni Veg. 35: 303 (1934),Brazil,Brazil Southeast,unknown,unknown,10427-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10427-2
Amaranthaceae,Amaranthus,rosengurttii,Amaranthus_rosengurttii,Hunz.,Amaranthus rosengurttii Hunz.,Kurtziana 3: 201 (1966),"Argentina, Brazil, Uruguay","Argentina Northeast, Brazil South, Uruguay",unknown,unknown,10702-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10702-2
Amaranthaceae,Celosia,salicifolia,Celosia_salicifolia,Lopr.,Celosia salicifolia Lopr.,Malpighia 14: 428 (1900),Brazil,Brazil Southeast,unknown,unknown,51145-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:51145-2
Amaranthaceae,Gomphrena,anti-lethargica,Gomphrena_anti-lethargica,Silveira,Gomphrena anti-lethargica Silveira,"M.P.Corrêa, Dicc. Pl. Ut. Bras. 1: 467 (1926)",Brazil,Brazil Southeast,unknown,unknown,111864-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:111864-2
Amaranthaceae,Gomphrena,equisetiformis,Gomphrena_equisetiformis,R.E.Fr.,Gomphrena equisetiformis R.E.Fr.,Ark. Bot. 16(13): 16 (1921),Brazil,Brazil West-Central,unknown,unknown,111935-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:111935-2
Amaranthaceae,Gomphrena,gardneri,Gomphrena_gardneri,Moq.,Gomphrena gardneri Moq.,"A.P.de Candolle, Prodr. 13(2): 404 (1849)",Brazil,Brazil Northeast,unknown,unknown,60460-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60460-1
Amaranthaceae,Gomphrena,portulacoides,Gomphrena_portulacoides,(A.St.-Hil.) T.Ortuño & Borsch,Gomphrena portulacoides (A.St.-Hil.) T.Ortuño & Borsch,Willdenowia 50: 366 (2020),"Argentina, Brazil, Colombia, Uruguay, Venezuela","Argentina Northeast, Brazil Northeast, Brazil South, Brazil Southeast, Colombia, Uruguay, Venezuela",unknown,unknown,77215268-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77215268-1
Amaranthaceae,Gomphrena,vermicularis,Gomphrena_vermicularis,L.,Gomphrena vermicularis L.,Sp. Pl.: 224 (1753),"Angola, Aruba, Azores, Bahamas, Belize, Benin, Brazil, Cameroon, Cape Verde, Cayman Is., Colombia, Costa Rica, Cote d'Ivoire, Cuba, Dominican Republic, Ecuador, French Guiana, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Gulf of Guinea Is., Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mauritania, Mexico, Netherlands Antilles, Nicaragua, Nigeria, Panama, Puerto Rico, Republic of Congo, Senegal, Sierra Leone, Southwest Caribbean, Suriname, Togo, Trinidad-Tobago, United States, Venezuela, Venezuelan Antilles, Windward Is., Zaire","Angola, Aruba, Azores, Bahamas, Belize, Benin, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Cabinda, Cameroon, Cape Verde, Cayman Is., Colombia, Congo, Costa Rica, Cuba, Dominican Republic, Ecuador, Florida, French Guiana, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Gulf of Guinea Is., Guyana, Haiti, Honduras, Ivory Coast, Jamaica, Leeward Is., Louisiana, Mauritania, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Netherlands Antilles, Nicaragua, Nigeria, Panama, Puerto Rico, Senegal, Sierra Leone, Southwest Caribbean, Suriname, Texas, Togo, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is., Zaire",Japan,Japan,112125-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:112125-2
Amaranthaceae,Hebanthe,occidentalis,Hebanthe_occidentalis,(R.E.Fr.) Borsch & Pedersen,Hebanthe occidentalis (R.E.Fr.) Borsch & Pedersen,Sendtnera 4: 21 (1997),"Argentina, Bolivia, Brazil, Paraguay, Peru","Argentina Northeast, Argentina Northwest, Bolivia, Brazil North, Brazil West-Central, Paraguay, Peru",unknown,unknown,1102545-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1102545-2
Amaranthaceae,Pfaffia,fruticulosa,Pfaffia_fruticulosa,Suess.,Pfaffia fruticulosa Suess.,Repert. Spec. Nov. Regni Veg. 35: 330 (1934),"Bolivia, Brazil, Paraguay","Bolivia, Brazil Northeast, Paraguay",unknown,unknown,191394-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:191394-2
Amaranthaceae,Pfaffia,gleasonii,Pfaffia_gleasonii,Suess.,Pfaffia gleasonii Suess.,Repert. Spec. Nov. Regni Veg. 44: 41 (1938),"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Bolivia, Brazil West-Central, Paraguay",unknown,unknown,191399-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:191399-2
Amaranthaceae,Pfaffia,gnaphalioides,Pfaffia_gnaphalioides,(L.f.) Mart.,Pfaffia gnaphalioides (L.f.) Mart.,Nov. Gen. Sp. Pl. Bras. 2: 24 (1826),"Argentina, Bolivia, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Paraguay, Uruguay",unknown,unknown,61046-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:61046-1
Amaranthaceae,Salicornia,neei,Salicornia_neei,Lag.,Salicornia neei Lag.,Mem. Pl. Barrill.: 51 (1817),"Argentina, Bolivia, Brazil, Chile, Ecuador, Galapagos, Juan Fernandez Is., Peru, Venezuela","Argentina Northeast, Argentina Northwest, Argentina South, Bolivia, Brazil South, Chile Central, Chile North, Chile South, Ecuador, Galapagos, Juan Fernandez Is., Peru, Venezuela",unknown,unknown,166563-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:166563-1
