family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Asteraceae,Acanthospermum,glabratum,Acanthospermum_glabratum,(DC.) Wild,Acanthospermum glabratum (DC.) Wild,Kirkia 6: 6 (1967),Brazil,Brazil Southeast,"Botswana, Kenya, Lesotho, Mozambique, Reunion, South Africa, Zaire, Zimbabwe","Botswana, Cape Provinces, Free State, Kenya, KwaZulu-Natal, Lesotho, Mozambique, Northern Provinces, Reunion, Zaire, Zimbabwe",173716-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:173716-1
Asteraceae,Achyrocline,mathiolifolia,Achyrocline_mathiolifolia,DC.,Achyrocline mathiolifolia DC.,Prodr. 6: 221 (1838),Brazil,Brazil South,unknown,unknown,174397-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:174397-1
Asteraceae,Achyrocline,saturejoides,Achyrocline_saturejoides,(Lam.) DC.,Achyrocline saturejoides (Lam.) DC.,Prodr. 6: 220 (1838),"Argentina, Bolivia, Brazil, Colombia, Ecuador, Paraguay, Peru, Uruguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Ecuador, Paraguay, Peru, Uruguay",unknown,unknown,174407-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:174407-1
Asteraceae,Achyrocline,venosa,Achyrocline_venosa,Rusby,Achyrocline venosa Rusby,Mem. Torrey Bot. Club 3(3): 57 (1893),"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil South, Paraguay",unknown,unknown,2574-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:2574-2
Asteraceae,Agrianthus,leutzelburgii,Agrianthus_leutzelburgii,Mattf.,Agrianthus leutzelburgii Mattf.,Notizbl. Bot. Gart. Berlin-Dahlem 8: 441 (1923),Brazil,Brazil Northeast,unknown,unknown,175689-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:175689-1
Asteraceae,Aldama,hatschbachii,Aldama_hatschbachii,(H.Rob. & A.J.Moore) E.E.Schill. & Panero,Aldama hatschbachii (H.Rob. & A.J.Moore) E.E.Schill. & Panero,Bot. J. Linn. Soc. 167: 323 (2011),Brazil,Brazil West-Central,unknown,unknown,77115608-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77115608-1
Asteraceae,Aldama,nudibasillaris,Aldama_nudibasillaris,(S.F.Blake) E.E.Schill. & Panero,Aldama nudibasillaris (S.F.Blake) E.E.Schill. & Panero,Bot. J. Linn. Soc. 167: 324 (2011),Brazil,Brazil Southeast,unknown,unknown,77115683-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77115683-1
Asteraceae,Aspilia,diniz-cruziana,Aspilia_diniz-cruziana,J.U.Santos,Aspilia diniz-cruziana J.U.Santos,Revista Brasil. Bot. 19: 102 (1996),Brazil,Brazil Southeast,unknown,unknown,306074-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:306074-2
Asteraceae,Aspilia,egleri,Aspilia_egleri,J.U.Santos,Aspilia egleri J.U.Santos,Revista Brasil. Bot. 19: 99 (1996),Brazil,Brazil Southeast,unknown,unknown,301164-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:301164-2
Asteraceae,Aspilia,pseudocalea,Aspilia_pseudocalea,G.H.L. da Silva & A.M.Teles,Aspilia pseudocalea G.H.L. da Silva & A.M.Teles,Phytotaxa 314: 117 (2017),Brazil,Brazil West-Central,unknown,unknown,77176300-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77176300-1
Asteraceae,Austroeupatorium,apense,Austroeupatorium_apense,(Chodat) R.M.King & H.Rob.,Austroeupatorium apense (Chodat) R.M.King & H.Rob.,Phytologia 51: 179 (1982),"Brazil, Paraguay","Brazil West-Central, Paraguay",unknown,unknown,27145-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27145-2
Asteraceae,Austroeupatorium,cordatoacuminatum,Austroeupatorium_cordatoacuminatum,H.Rob.,Austroeupatorium cordatoacuminatum H.Rob.,Phytologia 88: 136 (2006),Brazil,Brazil Southeast,unknown,unknown,60445122-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60445122-2
Asteraceae,Baccharis,gnidiifolia,Baccharis_gnidiifolia,Kunth,Baccharis gnidiifolia Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland &amp; C.S.Kunth, Nov. Gen. Sp., ed. fol., 4: 48 (1818)","Argentina, Bolivia, Brazil, Ecuador, Galapagos, Paraguay, Peru","Argentina Northeast, Bolivia, Brazil South, Brazil Southeast, Ecuador, Galapagos, Paraguay, Peru",unknown,unknown,302364-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:302364-2
Asteraceae,Baccharis,muelleri,Baccharis_muelleri,Baker,Baccharis muelleri Baker,"C.F.P.von Martius &amp; auct. suc. (eds.), Fl. Bras. 6(3): 61 (1882)",Brazil,Brazil South,unknown,unknown,183491-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:183491-1
Asteraceae,Baccharis,tenuiptera,Baccharis_tenuiptera,Deble,Baccharis tenuiptera Deble,Balduinia 16: 30 (2009),Brazil,Brazil South,unknown,unknown,60452887-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60452887-2
Asteraceae,Barrosoa,betoniciformis,Barrosoa_betoniciformis,(DC.) R.M.King & H.Rob.,Barrosoa betoniciformis (DC.) R.M.King & H.Rob.,Phytologia 21: 27 (1971),"Argentina, Bolivia, Brazil, Uruguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Uruguay",unknown,unknown,29631-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:29631-2
Asteraceae,Bartlettina,conspicua,Bartlettina_conspicua,(Mart. ex Colla) P.L.R.Moraes & Guglielmone,Bartlettina conspicua (Mart. ex Colla) P.L.R.Moraes & Guglielmone,Harvard Pap. Bot. 18: 213 (2013),Brazil,Brazil Southeast,unknown,unknown,77143454-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77143454-1
Asteraceae,Calea,arachnoidea,Calea_arachnoidea,G.A.R.Silva & J.N.Nakaj.,Calea arachnoidea G.A.R.Silva & J.N.Nakaj.,Phytotaxa 494: 130 (2021),Brazil,Brazil Southeast,unknown,unknown,77218272-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77218272-1
Asteraceae,Calea,bishopii,Calea_bishopii,H.Rob.,Calea bishopii H.Rob.,Phytologia 49: 10 (1981),Brazil,Brazil Southeast,unknown,unknown,41845-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:41845-2
Asteraceae,Calea,repanda,Calea_repanda,"V.R.Bueno, Gostel & G.Heiden","Calea repanda V.R.Bueno, Gostel & G.Heiden",Phytotaxa 544: 283 (2022),Brazil,Brazil Southeast,unknown,unknown,77297474-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77297474-1
Asteraceae,Calea,rhombifolia,Calea_rhombifolia,S.F.Blake,Calea rhombifolia S.F.Blake,Proc. Biol. Soc. Washington 36: 53 (1923),"Bolivia, Brazil","Bolivia, Brazil West-Central",unknown,unknown,41972-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:41972-2
Asteraceae,Chromolaena,linearis,Chromolaena_linearis,(Malme) R.M.King & H.Rob.,Chromolaena linearis (Malme) R.M.King & H.Rob.,Phytologia 20: 203 (1970),Brazil,Brazil West-Central,unknown,unknown,57420-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:57420-2
Asteraceae,Chromolaena,xylorrhiza,Chromolaena_xylorrhiza,(Sch.Bip. ex Baker) R.M.King & H.Rob.,Chromolaena xylorrhiza (Sch.Bip. ex Baker) R.M.King & H.Rob.,Phytologia 20: 208 (1970),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,57515-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:57515-2
Asteraceae,Cololobus,ruschianus,Cololobus_ruschianus,"M.Monge, Fraga & A.P.Fontana","Cololobus ruschianus M.Monge, Fraga & A.P.Fontana",Syst. Bot. 46: 1115 (2021),Brazil,Brazil Southeast,unknown,unknown,77260800-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77260800-1
Asteraceae,Conocliniopsis,grossedentata,Conocliniopsis_grossedentata,(Mart. ex Colla) D.J.N.Hind,Conocliniopsis grossedentata (Mart. ex Colla) D.J.N.Hind,Kew Bull. 77: 716 (2022),"Brazil, Colombia, Cuba, Venezuela, Venezuelan Antilles","Brazil Northeast, Brazil Southeast, Colombia, Cuba, Venezuela, Venezuelan Antilles",unknown,unknown,77304112-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77304112-1
Asteraceae,Critoniopsis,bradeana,Critoniopsis_bradeana,(G.M.Barroso) G.Soares & Loeuille,Critoniopsis bradeana (G.M.Barroso) G.Soares & Loeuille,Phytotaxa 522: 140 (2021),Brazil,Brazil Southeast,unknown,unknown,77221455-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221455-1
Asteraceae,Delairea,aparadensis,Delairea_aparadensis,Funez & Hassemer,Delairea aparadensis Funez & Hassemer,Phytotaxa 494: 123 (2021),Brazil,Brazil South,unknown,unknown,77218271-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77218271-1
Asteraceae,Dimerostemma,matogrossense,Dimerostemma_matogrossense,(G.M.Barroso) M.D.Moraes,Dimerostemma matogrossense (G.M.Barroso) M.D.Moraes,Phytologia 89: 118 (2007),Brazil,Brazil West-Central,unknown,unknown,60444812-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60444812-2
Asteraceae,Dimerostemma,oppositifolium,Dimerostemma_oppositifolium,(A.A.Sáenz) M.D.Moraes,Dimerostemma oppositifolium (A.A.Sáenz) M.D.Moraes,Phytologia 89: 118 (2007),"Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Brazil South, Paraguay, Uruguay",unknown,unknown,60444814-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60444814-2
Asteraceae,Eitenia,praxeloides,Eitenia_praxeloides,R.M.King & H.Rob.,Eitenia praxeloides R.M.King & H.Rob.,Phytologia 28: 282 (1974),Brazil,Brazil West-Central,unknown,unknown,88934-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:88934-2
Asteraceae,Elephantopus,piauiensis,Elephantopus_piauiensis,R.Barros & Semir,Elephantopus piauiensis R.Barros & Semir,"Ernstia, n.s., 13: 96 (2003)",Brazil,Brazil Northeast,unknown,unknown,60440711-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60440711-2
Asteraceae,Enydra,sessilis,Enydra_sessilis,DC.,Enydra sessilis DC.,Prodr. 5: 637 (1836),"Argentina, Brazil, Costa Rica, Cuba, Dominican Republic, Haiti, Jamaica, Puerto Rico, Uruguay","Argentina Northeast, Brazil South, Costa Rica, Cuba, Dominican Republic, Haiti, Jamaica, Puerto Rico, Uruguay",Madagascar,Madagascar,203216-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:203216-1
Asteraceae,Erechtites,albiflorus,Erechtites_albiflorus,(Sch.Bip.) Hassemer & Funez,Erechtites albiflorus (Sch.Bip.) Hassemer & Funez,Phytotaxa 494: 170 (2021),"Bolivia, Brazil, Colombia, Ecuador, Peru, Venezuela","Bolivia, Brazil South, Brazil Southeast, Colombia, Ecuador, Peru, Venezuela",unknown,unknown,77218279-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77218279-1
Asteraceae,Erechtites,hieraciifolius,Erechtites_hieraciifolius,(L.) Raf. ex DC.,Erechtites hieraciifolius (L.) Raf. ex DC.,Prodr. 6: 294 (1838),"Argentina, Bahamas, Belize, Bolivia, Brazil, Canada, Cayman Is., Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Quebec, Rhode I., Suriname, Trinidad-Tobago, United States, Uruguay, Venezuela, Venezuelan Antilles, Windward Is.","Alabama, Argentina Northeast, Argentina Northwest, Arkansas, Bahamas, Belize, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Cayman Is., Colombia, Connecticut, Costa Rica, Cuba, Delaware, Dominican Republic, Ecuador, El Salvador, Florida, French Guiana, Georgia, Guatemala, Guyana, Haiti, Honduras, Illinois, Indiana, Iowa, Jamaica, Kansas, Kentucky, Leeward Is., Louisiana, Maine, Maryland, Massachusetts, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Brunswick, New Hampshire, New Jersey, New York, Nicaragua, North Carolina, Nova Scotia, Ohio, Oklahoma, Ontario, Panama, Paraguay, Pennsylvania, Peru, Prince Edward I., Puerto Rico, Quebec, Rhode I., South Carolina, South Dakota, Suriname, Tennessee, Texas, Trinidad-Tobago, Uruguay, Venezuela, Venezuelan Antilles, Vermont, Virginia, West Virginia, Windward Is., Wisconsin","Australia, Austria, Bosnia and Herzegovina, Croatia, Macedonia, Montenegro, Serbia, Slovenia, Canada, China, Czech Republic, Slovakia, Germany, Hungary, India, Indonesia, Kazan-retto, Line Is., Malaysia, Mauritius, Moldova, Ukraine, Nansei-shoto, New Zealand, North Korea, South Korea, Ogasawara-shoto, Poland, Romania, Switzerland, Taiwan, Thailand, United States, Vietnam","Austria, China South-Central, China Southeast, Czechoslovakia, Germany, Hawaii, Hungary, India, Jawa, Kazan-retto, Korea, Line Is., Malaya, Mauritius, Nansei-shoto, New South Wales, New Zealand North, Ogasawara-shoto, Poland, Romania, Saskatchewan, Sumatera, Switzerland, Taiwan, Thailand, Ukraine, Vietnam, Washington, Yugoslavia",1152557-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1152557-2
Asteraceae,Eremanthus,tomentosus,Eremanthus_tomentosus,Loeuille & Bringel,Eremanthus tomentosus Loeuille & Bringel,Phytotaxa 531: 250 (2022),Brazil,"Brazil Southeast, Brazil West-Central",unknown,unknown,77249088-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77249088-1
Asteraceae,Eremosis,obtusa,Eremosis_obtusa,Gleason,Eremosis obtusa Gleason,"N.L.Britton &amp; al. (eds.), N. Amer. Fl. 33: 99 (1922)","Brazil, Mexico","Brazil Northeast, Mexico Gulf, Mexico Northeast",unknown,unknown,301236-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:301236-2
Asteraceae,Erigeron,blakei,Erigeron_blakei,Cabrera,Erigeron blakei Cabrera,"Revista Mus. La Plata, Secc. Bot. 4: 90 (1941)","Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Brazil South, Paraguay, Uruguay",France,France,93595-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:93595-2
Asteraceae,Erigeron,canadensis,Erigeron_canadensis,L.,Erigeron canadensis L.,Sp. Pl.: 863 (1753),"Bahamas, Belize, Bolivia, Brazil, Canada, Cayman Is., Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, French Guiana, Galapagos, Guatemala, Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Peru, Puerto Rico, Quebec, Rhode I., Suriname, Trinidad-Tobago, Turks-Caicos Is., United States, Venezuela, Windward Is.","Alabama, Alberta, Arizona, Arkansas, Bahamas, Belize, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, British Columbia, California, Cayman Is., Colombia, Colorado, Connecticut, Costa Rica, Dominican Republic, Ecuador, El Salvador, Florida, French Guiana, Galapagos, Georgia, Guatemala, Haiti, Honduras, Idaho, Illinois, Indiana, Iowa, Jamaica, Kansas, Kentucky, Leeward Is., Louisiana, Maine, Manitoba, Maryland, Massachusetts, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, Nicaragua, North Carolina, North Dakota, Nova Scotia, Ohio, Oklahoma, Ontario, Oregon, Panama, Pennsylvania, Peru, Prince Edward I., Puerto Rico, Quebec, Rhode I., Saskatchewan, South Carolina, South Dakota, Suriname, Tennessee, Texas, Trinidad-Tobago, Turks-Caicos Is., Utah, Venezuela, Vermont, Virginia, Washington, West Virginia, Windward Is., Wisconsin, Wyoming","Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Georgia, Australia, Austria, Azores, Bangladesh, Belarus, Belgium, Bhutan, India, Bosnia and Herzegovina, Croatia, Macedonia, Montenegro, Serbia, Slovenia, Bulgaria, Cambodia, Canada, Caroline Is., Chagos Archipelago, China, Czech Republic, Slovakia, Denmark, Egypt, Estonia, Latvia, Lithuania, Russia, Fiji, Finland, France, Germany, Greece, Hungary, India, India, Pakistan, Indonesia, Papua New Guinea, Iran, Iraq, Ireland, Italy, Japan, Kazakhstan, Uzbekistan, Kirgizstan, Lebanon, Syria, Lesotho, Libya, Madeira, Marianas, Marquesas, Marshall Is., Mauritius, Moldova, Ukraine, Morocco, Mozambique, Nepal, Netherlands, Niue, Norfolk Is., North Korea, South Korea, Norway, Pakistan, Palestina, Israel, Jordan, Philippines, Poland, Portugal, Reunion, Romania, Russia, South Africa, Spain, Swaziland, Sweden, Switzerland, Taiwan, Tajikistan, Tunisia, Turkey, Turkmenistan, Ukraine, United Kingdom, United States, Uzbekistan, Vietnam, Wake I., Zambia, Zimbabwe","Afghanistan, Albania, Algeria, Altay, Amur, Angola, Assam, Austria, Azores, Baleares, Baltic States, Bangladesh, Belarus, Belgium, Bulgaria, Cambodia, Canary Is., Cape Provinces, Caroline Is., Chagos Archipelago, China North-Central, Corse, Czechoslovakia, Denmark, East Aegean Is., East European Russia, East Himalaya, Fiji, Finland, France, Free State, Germany, Great Britain, Greece, Hawaii, Hungary, India, Inner Mongolia, Iran, Iraq, Ireland, Italy, Japan, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Kriti, Krym, Kuril Is., KwaZulu-Natal, Lebanon-Syria, Lesotho, Libya, Madeira, Marianas, Marquesas, Marshall Is., Mauritius, Morocco, Mozambique, Nepal, Netherlands, New Guinea, New South Wales, Newfoundland, Niue, Norfolk Is., North Caucasus, Northern Provinces, Northwest European R, Norway, Pakistan, Palestine, Philippines, Poland, Portugal, Primorye, Queensland, Romania, Reunion, Sakhalin, Sardegna, Sicilia, Sinai, South Australia, South European Russi, Spain, Swaziland, Sweden, Switzerland, Tadzhikistan, Taiwan, Tasmania, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, Victoria, Vietnam, Wake I., West Himalaya, West Siberia, Western Australia, Yakutskiya, Yugoslavia, Zambia, Zimbabwe",203653-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:203653-1
Asteraceae,Erigeron,floribundus,Erigeron_floribundus,(Kunth) Sch.Bip.,Erigeron floribundus (Kunth) Sch.Bip.,Bull. Soc. Bot. France 12: 81 (1865),"Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Trinidad-Tobago, Uruguay, Venezuela","Argentina Northeast, Argentina Northwest, Argentina South, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Chile Central, Chile North, Chile South, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Paraguay, Peru, Trinidad-Tobago, Uruguay, Venezuela","Angola, Australia, Bangladesh, Belgium, Cambodia, Central African Republic, France, Ireland, Madagascar, Madeira, New Caledonia, New Zealand, Republic of Congo, Spain, Sri Lanka, Tristan da Cunha, United Kingdom, United States","Angola, Bangladesh, Belgium, California, Cambodia, Canary Is., Central African Repu, Congo, Florida, France, Great Britain, Ireland, Madagascar, Madeira, New Caledonia, New South Wales, New Zealand North, New Zealand South, Queensland, South Australia, Spain, Sri Lanka, Tristan da Cunha, Victoria",60473415-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60473415-2
Asteraceae,Erigeron,laevigatus,Erigeron_laevigatus,Rich.,Erigeron laevigatus Rich.,Actes Soc. Hist. Nat. Paris 1: 112 (1792),"Argentina, Bahamas, Belize, Bolivia, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Haiti, Honduras, Leeward Is., Mexico, Nicaragua, Panama, Peru, Puerto Rico, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.","Argentina Northeast, Argentina Northwest, Argentina South, Bahamas, Belize, Bolivia, Brazil North, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Haiti, Honduras, Leeward Is., Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Puerto Rico, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.",unknown,unknown,317025-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:317025-2
Asteraceae,Erigeron,monorchis,Erigeron_monorchis,Griseb.,Erigeron monorchis Griseb.,Abh. Königl. Ges. Wiss. Göttingen 24: 175 (1879),"Argentina, Brazil, Uruguay","Argentina Northeast, Brazil Southeast, Uruguay",unknown,unknown,204170-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:204170-1
Asteraceae,Erigeron,primulifolius,Erigeron_primulifolius,(Lam.) Greuter,Erigeron primulifolius (Lam.) Greuter,Willdenowia 33: 46 (2003),"Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Guyana, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Uruguay, Venezuela","Argentina Northeast, Argentina Northwest, Argentina South, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Chile Central, Chile South, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Guyana, Haiti, Honduras, Mexico Central, Mexico Gulf, Mexico Southeast, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Uruguay, Venezuela","Armenia, Azerbaijan, Georgia, Australia, South Africa, Spain, Trinidad-Tobago","Free State, KwaZulu-Natal, New South Wales, Northern Provinces, Queensland, Spain, Tasmania, Transcaucasus, Trinidad-Tobago, Victoria",70029017-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:70029017-1
