family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Bromeliaceae,Alcantarea,burle-marxii,Alcantarea_burle-marxii,(Leme) J.R.Grant,Alcantarea burle-marxii (Leme) J.R.Grant,Bromélia 2(3): 26 (1995),Brazil,Brazil Southeast,unknown,unknown,991833-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:991833-1
Bromeliaceae,Alcantarea,roberto-kautskyi,Alcantarea_roberto-kautskyi,Leme,Alcantarea roberto-kautskyi Leme,Harvard Pap. Bot. 4: 148 (1999),Brazil,Brazil Southeast,unknown,unknown,318704-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:318704-2
Bromeliaceae,Billbergia,alfonsi-joannis,Billbergia_alfonsi-joannis,Reitz,Billbergia alfonsi-joannis Reitz,Anais Bot. Herb. &quot;Barbosa Rodrigues&quot; 4(4): 31 (1952),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,122030-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:122030-1
Bromeliaceae,Bromelia,ferox,Bromelia_ferox,"Esteves, Hofacker & Scharf","Bromelia ferox Esteves, Hofacker & Scharf",Bromelie 2014: 87 (2014),Brazil,Brazil Southeast,unknown,unknown,77142289-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77142289-1
Bromeliaceae,Cryptanthus,apiculatantherus,Cryptanthus_apiculatantherus,"D.M.C.Ferreira, E.M.Almeida & Louzada","Cryptanthus apiculatantherus D.M.C.Ferreira, E.M.Almeida & Louzada",Phytotaxa 523: 100 (2021),Brazil,Brazil Northeast,unknown,unknown,77221469-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221469-1
Bromeliaceae,Cryptanthus,boanovensis,Cryptanthus_boanovensis,Leme,Cryptanthus boanovensis Leme,J. Bromeliad Soc. 65: 93 (2015),Brazil,Brazil Northeast,unknown,unknown,60470184-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60470184-2
Bromeliaceae,Cryptanthus,brevibracteatus,Cryptanthus_brevibracteatus,D.M.C.Ferreira & Louzada,Cryptanthus brevibracteatus D.M.C.Ferreira & Louzada,Phytotaxa 523: 107 (2021),Brazil,Brazil Northeast,unknown,unknown,77221470-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221470-1
Bromeliaceae,Cryptanthus,flesheri,Cryptanthus_flesheri,E.H.Souza & Leme,Cryptanthus flesheri E.H.Souza & Leme,Phytotaxa 523: 181 (2021),Brazil,Brazil Northeast,unknown,unknown,77221501-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221501-1
Bromeliaceae,Cryptanthus,lutandensis,Cryptanthus_lutandensis,E.H.Souza & Leme,Cryptanthus lutandensis E.H.Souza & Leme,Phytotaxa 523: 184 (2021),Brazil,Brazil Northeast,unknown,unknown,77221502-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221502-1
Bromeliaceae,Cryptanthus,pirambuensis,Cryptanthus_pirambuensis,D.M.C.Ferreira & Louzada,Cryptanthus pirambuensis D.M.C.Ferreira & Louzada,Phytotaxa 571: 66 (2022),Brazil,Brazil Northeast,unknown,unknown,77307616-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77307616-1
Bromeliaceae,Cryptanthus,robsonianus,Cryptanthus_robsonianus,Leme,Cryptanthus robsonianus Leme,J. Bromeliad Soc. 64: 150 (2014),Brazil,Brazil Southeast,unknown,unknown,77145188-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77145188-1
Bromeliaceae,Cryptanthus,santosii,Cryptanthus_santosii,Leme & E.H.Souza,Cryptanthus santosii Leme & E.H.Souza,Phytotaxa 523: 186 (2021),Brazil,Brazil Northeast,unknown,unknown,77221503-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221503-1
Bromeliaceae,Cryptanthus,solidadeanus,Cryptanthus_solidadeanus,Leme & E.H.Souza,Cryptanthus solidadeanus Leme & E.H.Souza,Phytotaxa 523: 188 (2021),Brazil,Brazil Northeast,unknown,unknown,77221505-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221505-1
Bromeliaceae,Cryptanthus,vinosibracteatus,Cryptanthus_vinosibracteatus,D.M.C.Ferreira & Louzada,Cryptanthus vinosibracteatus D.M.C.Ferreira & Louzada,Phytotaxa 571: 70 (2022),Brazil,Brazil Northeast,unknown,unknown,77307617-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77307617-1
Bromeliaceae,Dyckia,altoana,Dyckia_altoana,P.J.Braun & K.-H.Tank,Dyckia altoana P.J.Braun & K.-H.Tank,Bromelie 2021: 135 (2021),Brazil,Brazil West-Central,unknown,unknown,77235220-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77235220-1
Bromeliaceae,Dyckia,beloisae,Dyckia_beloisae,L.B.Sm.,Dyckia beloisae L.B.Sm.,Smithsonian Misc. Collect. 126(1): 26 (1955),Brazil,Brazil Southeast,unknown,unknown,77177380-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77177380-1
Bromeliaceae,Dyckia,burle-marxii,Dyckia_burle-marxii,L.B.Sm. & Read,Dyckia burle-marxii L.B.Sm. & Read,Phytologia 38: 137 (1977),Brazil,Brazil Northeast,unknown,unknown,86216-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:86216-2
