family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Capparaceae,Morisonia,amplissima,Morisonia_amplissima,(Lam.) Christenh. & Byng,Morisonia amplissima (Lam.) Christenh. & Byng,Global Fl. 4: 139 (2018),"Bolivia, Brazil, Colombia, Costa Rica, Dominican Republic, Haiti, Leeward Is., Mexico, Nicaragua, Panama, Peru, Puerto Rico, Suriname, Venezuela, Windward Is.","Bolivia, Brazil North, Colombia, Costa Rica, Dominican Republic, Haiti, Leeward Is., Mexico Gulf, Nicaragua, Panama, Peru, Puerto Rico, Suriname, Venezuela, Windward Is.",unknown,unknown,77184082-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77184082-1
Capparaceae,Morisonia,bahiana,Morisonia_bahiana,(Cornejo & Iltis) Christenh. & Byng,Morisonia bahiana (Cornejo & Iltis) Christenh. & Byng,Global Fl. 4: 139 (2018),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77183883-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183883-1
Capparaceae,Morisonia,brasiliana,Morisonia_brasiliana,(DC.) Christenh. & Byng,Morisonia brasiliana (DC.) Christenh. & Byng,Global Fl. 4: 139 (2018),Brazil,"Brazil Northeast, Brazil Southeast, Brazil West-Central",unknown,unknown,77183855-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183855-1
Capparaceae,Morisonia,coimbrana,Morisonia_coimbrana,(Cornejo & Iltis) Christenh. & Byng,Morisonia coimbrana (Cornejo & Iltis) Christenh. & Byng,Global Fl. 4: 139 (2018),"Bolivia, Brazil","Bolivia, Brazil West-Central",unknown,unknown,77183925-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183925-1
Capparaceae,Morisonia,declinata,Morisonia_declinata,(Vell.) Christenh. & Byng,Morisonia declinata (Vell.) Christenh. & Byng,Global Fl. 4: 139 (2018),Brazil,"Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central",unknown,unknown,77184130-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77184130-1
Capparaceae,Morisonia,detonsa,Morisonia_detonsa,(Triana & Planch.) Christenh. & Byng,Morisonia detonsa (Triana & Planch.) Christenh. & Byng,Global Fl. 4: 139 (2018),"Brazil, Colombia, Ecuador, Peru, Venezuela","Brazil North, Colombia, Ecuador, Peru, Venezuela",unknown,unknown,77183701-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183701-1
Capparaceae,Morisonia,frondosa,Morisonia_frondosa,(Jacq.) Christenh. & Byng,Morisonia frondosa (Jacq.) Christenh. & Byng,Global Fl. 4: 141 (2018),"Belize, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Peru, Puerto Rico, Southwest Caribbean, Suriname, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.","Belize, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Puerto Rico, Southwest Caribbean, Suriname, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.",unknown,unknown,77183570-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183570-1
Capparaceae,Morisonia,hastata,Morisonia_hastata,(Jacq.) Christenh. & Byng,Morisonia hastata (Jacq.) Christenh. & Byng,Global Fl. 4: 141 (2018),"Brazil, Colombia, Dominican Republic, Haiti, Leeward Is., Netherlands Antilles, Puerto Rico, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.","Brazil Northeast, Brazil Southeast, Colombia, Dominican Republic, Haiti, Leeward Is., Netherlands Antilles, Puerto Rico, Trinidad-Tobago, Venezuela, Venezuelan Antilles, Windward Is.",unknown,unknown,77183736-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183736-1
Capparaceae,Morisonia,humilis,Morisonia_humilis,(Hassl.) Christenh. & Byng,Morisonia humilis (Hassl.) Christenh. & Byng,Global Fl. 4: 141 (2018),"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Bolivia, Brazil South, Brazil West-Central, Paraguay",unknown,unknown,77183606-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183606-1
Capparaceae,Morisonia,lineata,Morisonia_lineata,(Dombey ex Pers.) Christenh. & Byng,Morisonia lineata (Dombey ex Pers.) Christenh. & Byng,Global Fl. 4: 141 (2018),Brazil,"Brazil North, Brazil Northeast, Brazil Southeast",unknown,unknown,77183813-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183813-1
