family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Convolvulaceae,Aniseia,luxurians,Aniseia_luxurians,(Moric.) Athiê-Souza & Buril,Aniseia luxurians (Moric.) Athiê-Souza & Buril,Syst. Bot. 42: 593 (2017),"Argentina, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Trinidad-Tobago, Venezuela","Argentina Northeast, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, Honduras, Mexico Southeast, Nicaragua, Panama, Paraguay, Peru, Trinidad-Tobago, Venezuela",unknown,unknown,77167338-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77167338-1
Convolvulaceae,Bonamia,eustachioi,Bonamia_eustachioi,A.L.C.Moreira & Kojima,Bonamia eustachioi A.L.C.Moreira & Kojima,Brittonia 73: 205 (2021),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77234103-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77234103-1
Convolvulaceae,Convolvulus,hirsutiflorus,Convolvulus_hirsutiflorus,Dammann,Convolvulus hirsutiflorus Dammann,Beibl. Bot. Jahrb. Syst. 57: 41 (1897),Brazil,Brazil Southeast,unknown,unknown,64552-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:64552-2
Convolvulaceae,Cuscuta,cristata,Cuscuta_cristata,Engelm.,Cuscuta cristata Engelm.,Trans. Acad. Sci. St. Louis 1: 507 (1859),"Argentina, Brazil, Uruguay","Argentina Northeast, Argentina Northwest, Brazil South, Uruguay",unknown,unknown,72809-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:72809-2
Convolvulaceae,Cuscuta,mantiqueirana,Cuscuta_mantiqueirana,"Costea, S.S.Silva & Sim.-Bianch.","Cuscuta mantiqueirana Costea, S.S.Silva & Sim.-Bianch.",PhytoKeys 184: 33 (2021),Brazil,Brazil Southeast,unknown,unknown,77221396-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221396-1
Convolvulaceae,Dichondra,brachypoda,Dichondra_brachypoda,Wooton & Standl.,Dichondra brachypoda Wooton & Standl.,Contr. U.S. Natl. Herb. 16: 160 (1913),"Brazil, Mexico, United States","Arizona, Brazil South, Mexico Central, Mexico Northeast, Mexico Southwest, New Mexico, Texas",unknown,unknown,79449-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:79449-2
Convolvulaceae,Ipomoea,amazonica,Ipomoea_amazonica,(D.F.Austin & Staples) J.R.I.Wood & Scotland,Ipomoea amazonica (D.F.Austin & Staples) J.R.I.Wood & Scotland,Kew Bull. 70(3)-31: 27 (2015),"Bolivia, Brazil, Colombia","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia",unknown,unknown,77148116-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77148116-1
Convolvulaceae,Ipomoea,anisomeres,Ipomoea_anisomeres,B.L.Rob. & Bartlett,Ipomoea anisomeres B.L.Rob. & Bartlett,Proc. Amer. Acad. Arts 43: 57 (1907),"Belize, Brazil, Colombia, Costa Rica, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru, Venezuela","Belize, Brazil North, Colombia, Costa Rica, Guatemala, Honduras, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Venezuela",unknown,unknown,129150-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:129150-2
Convolvulaceae,Ipomoea,cryptica,Ipomoea_cryptica,J.R.I.Wood & Scotland,Ipomoea cryptica J.R.I.Wood & Scotland,Kew Bull. 70(3)-31: 92 (2015),"Bolivia, Brazil, Colombia, Peru","Bolivia, Brazil North, Colombia, Peru",unknown,unknown,77148134-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77148134-1
Convolvulaceae,Ipomoea,heptaphylla,Ipomoea_heptaphylla,Sweet,Ipomoea heptaphylla Sweet,"Hort. Brit., ed. 2: 372 (1830)","Argentina, Aruba, Bolivia, Brazil, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Haiti, Jamaica, Leeward Is., Mexico, Netherlands Antilles, Nicaragua, Paraguay, Peru, Puerto Rico, United States, Venezuela, Windward Is.","Argentina Northeast, Aruba, Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Haiti, Jamaica, Leeward Is., Mexico Northwest, Mexico Southeast, Mexico Southwest, Netherlands Antilles, Nicaragua, Paraguay, Peru, Puerto Rico, Texas, Venezuela, Windward Is.","China, Egypt, Galapagos, India, United States","Alabama, Arkansas, China Southeast, Egypt, Florida, Galapagos, Georgia, India, Louisiana, Mississippi, Tennessee",60457868-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60457868-2
