family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Lauraceae,Aiouea,baitelloana,Aiouea_baitelloana,(van der Werff & P.L.R.Moraes) van der Werff & P.L.R.Moraes,Aiouea baitelloana (van der Werff & P.L.R.Moraes) van der Werff & P.L.R.Moraes,Taxon 66: 1107 (2017),Brazil,Brazil Southeast,unknown,unknown,77173650-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77173650-1
Lauraceae,Aiouea,erythropus,Aiouea_erythropus,(Nees & Mart.) R.Rohde,Aiouea erythropus (Nees & Mart.) R.Rohde,Taxon 66: 1099 (2017),Brazil,"Brazil Southeast, Brazil West-Central",unknown,unknown,77173612-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77173612-1
Lauraceae,Aniba,rosodora,Aniba_rosodora,Ducke,Aniba rosodora Ducke,Rev. Bot. Appl. Agric. Trop. 8: 845 (1928 publ. 1930),"Brazil, Colombia, French Guiana, Guyana, Peru, Suriname, Venezuela","Brazil North, Colombia, French Guiana, Guyana, Peru, Suriname, Venezuela",unknown,unknown,13880-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:13880-2
Lauraceae,Cryptocarya,jacarepaguensis,Cryptocarya_jacarepaguensis,Vattimo-Gil,Cryptocarya jacarepaguensis Vattimo-Gil,Rodriguésia 25: 230 (1966),Brazil,Brazil Southeast,unknown,unknown,71684-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:71684-2
Lauraceae,Licaria,caryophyllata,Licaria_caryophyllata,Ducke,Licaria caryophyllata Ducke,Trop. Woods 60: 5 (1939),Brazil,Brazil North,unknown,unknown,465256-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:465256-1
Lauraceae,Licaria,deltoidea,Licaria_deltoidea,van der Werff,Licaria deltoidea van der Werff,Harvard Pap. Bot. 14: 153 (2009),Brazil,Brazil North,unknown,unknown,77107497-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77107497-1
Lauraceae,Mespilodaphne,cymbarum,Mespilodaphne_cymbarum,(Kunth) Trofimov,Mespilodaphne cymbarum (Kunth) Trofimov,Bot. J. Linn. Soc. 190: 42 (2019),"Brazil, Colombia, French Guiana, Guyana, Suriname, Venezuela","Brazil North, Colombia, French Guiana, Guyana, Suriname, Venezuela",unknown,unknown,77198011-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77198011-1
Lauraceae,Mespilodaphne,fragrantissima,Mespilodaphne_fragrantissima,(Ducke) Trofimov,Mespilodaphne fragrantissima (Ducke) Trofimov,Bot. J. Linn. Soc. 190: 43 (2019),"Brazil, Peru","Brazil North, Peru",unknown,unknown,77198013-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77198013-1
Lauraceae,Mespilodaphne,ligulata,Mespilodaphne_ligulata,(van der Werff) van der Werff,Mespilodaphne ligulata (van der Werff) van der Werff,Novon 29: 49 (2021),Brazil,Brazil North,unknown,unknown,77254972-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77254972-1
Lauraceae,Mezilaurus,conceicionensis,Mezilaurus_conceicionensis,"L.C.S.Assis, P.B.Meyer & F.M.Alves","Mezilaurus conceicionensis L.C.S.Assis, P.B.Meyer & F.M.Alves",Phytotaxa 541: 186 (2022),Brazil,Brazil Southeast,unknown,unknown,77296877-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77296877-1
Lauraceae,Mezilaurus,ita-uba,Mezilaurus_ita-uba,(Meisn.) Taub. ex Mez,Mezilaurus ita-uba (Meisn.) Taub. ex Mez,Arbeiten Königl. Bot. Gart. Breslau 1: 112 (1892),"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Peru, Suriname, Venezuela","Bolivia, Brazil North, Brazil West-Central, Colombia, Ecuador, French Guiana, Peru, Suriname, Venezuela",unknown,unknown,158649-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:158649-2
Lauraceae,Nectandra,briquetii,Nectandra_briquetii,Hassl.,Nectandra briquetii Hassl.,Annuaire Conserv. Jard. Bot. Genève 21: 93 (1919),"Brazil, Paraguay","Brazil West-Central, Paraguay",unknown,unknown,167776-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:167776-2
Lauraceae,Nectandra,pulchra,Nectandra_pulchra,Ekman & O.C.Schmidt,Nectandra pulchra Ekman & O.C.Schmidt,Repert. Spec. Nov. Regni Veg. 27: 162 (1929),"Brazil, Haiti","Brazil South, Brazil Southeast, Haiti",unknown,unknown,308779-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:308779-2
Lauraceae,Ocotea,bragae,Ocotea_bragae,Coe-Teix.,Ocotea bragae Coe-Teix.,Rodriguésia 32(52): 89 (1980),Brazil,Brazil Southeast,unknown,unknown,171552-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:171552-2
Lauraceae,Ocotea,clavigera,Ocotea_clavigera,Mez,Ocotea clavigera Mez,Jahrb. Königl. Bot. Gart. Berlin 5: 239 (1889),"Brazil, Colombia, Venezuela","Brazil North, Colombia, Venezuela",unknown,unknown,171586-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:171586-2
Lauraceae,Ocotea,diffusa,Ocotea_diffusa,van der Werff,Ocotea diffusa van der Werff,Brittonia 49: 189 (1997),"Brazil, French Guiana","Brazil North, French Guiana",unknown,unknown,314094-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:314094-2
Lauraceae,Ocotea,fendleri,Ocotea_fendleri,(Meisn.) Rohwer,Ocotea fendleri (Meisn.) Rohwer,Mitt. Inst. Allg. Bot. Hamburg 20: 152 (1986),"Brazil, French Guiana, Panama, Peru, Venezuela","Brazil North, French Guiana, Panama, Peru, Venezuela",unknown,unknown,281461-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:281461-2
Lauraceae,Ocotea,gracilipes,Ocotea_gracilipes,Mez,Ocotea gracilipes Mez,Repert. Spec. Nov. Regni Veg. 3: 71 (1906),"Brazil, Paraguay","Brazil West-Central, Paraguay",unknown,unknown,171673-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:171673-2
Lauraceae,Ocotea,hilariana,Ocotea_hilariana,Mez,Ocotea hilariana Mez,Jahrb. Königl. Bot. Gart. Berlin 5: 311 (1889),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,171686-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:171686-2
Lauraceae,Ocotea,hoehnei,Ocotea_hoehnei,Vattimo-Gil,Ocotea hoehnei Vattimo-Gil,Arch. Jard. Bot. Rio de Janeiro 16: 42 (1959),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,171687-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:171687-2
Lauraceae,Ocotea,kostermansiana,Ocotea_kostermansiana,Vattimo-Gil,Ocotea kostermansiana Vattimo-Gil,Rodriguésia 25: 94 (1966),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,171710-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:171710-2
Lauraceae,Ocotea,lindbergii,Ocotea_lindbergii,Mez,Ocotea lindbergii Mez,Jahrb. Königl. Bot. Gart. Berlin 5: 386 (1889),Brazil,"Brazil North, Brazil Southeast",unknown,unknown,171734-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:171734-2
