family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Marantaceae,Goeppertia,albertii,Goeppertia_albertii,(L.H.Bailey & Raffill) Borchs. & S.Suárez,Goeppertia albertii (L.H.Bailey & Raffill) Borchs. & S.Suárez,Syst. Bot. 37: 628 (2012),Brazil,Brazil Southeast,unknown,unknown,60458758-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60458758-2
Marantaceae,Goeppertia,albovaginata,Goeppertia_albovaginata,(K.Koch & Linden) Borchs. & S.Suárez,Goeppertia albovaginata (K.Koch & Linden) Borchs. & S.Suárez,Syst. Bot. 37: 628 (2012),Brazil,Brazil North,unknown,unknown,60458760-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60458760-2
Marantaceae,Goeppertia,argyrophylla,Goeppertia_argyrophylla,(Linden ex K.Koch) Borchs. & S.Suárez,Goeppertia argyrophylla (Linden ex K.Koch) Borchs. & S.Suárez,Syst. Bot. 37: 629 (2012),Brazil,Brazil Northeast,unknown,unknown,60458827-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60458827-2
Marantaceae,Goeppertia,baraquinii,Goeppertia_baraquinii,(Lem.) Borchs. & S.Suárez,Goeppertia baraquinii (Lem.) Borchs. & S.Suárez,Syst. Bot. 37: 629 (2012),Brazil,Brazil North,unknown,unknown,60458977-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60458977-2
Marantaceae,Goeppertia,bellula,Goeppertia_bellula,(Linden) Borchs. & S.Suárez,Goeppertia bellula (Linden) Borchs. & S.Suárez,Syst. Bot. 37: 629 (2012),Brazil,Brazil North,unknown,unknown,60459010-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459010-2
Marantaceae,Goeppertia,brunnescens,Goeppertia_brunnescens,(K.Koch) Borchs. & S.Suárez,Goeppertia brunnescens (K.Koch) Borchs. & S.Suárez,Syst. Bot. 37: 629 (2012),Brazil,Brazil North,unknown,unknown,60459176-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459176-2
Marantaceae,Goeppertia,cataractarum,Goeppertia_cataractarum,(K.Schum.) Borchs. & S.Suárez,Goeppertia cataractarum (K.Schum.) Borchs. & S.Suárez,Syst. Bot. 37: 629 (2012),"Brazil, Colombia, Guyana, Venezuela","Brazil North, Colombia, Guyana, Venezuela",unknown,unknown,60459183-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459183-2
Marantaceae,Goeppertia,cinerea,Goeppertia_cinerea,(Regel) Borchs. & S.Suárez,Goeppertia cinerea (Regel) Borchs. & S.Suárez,Syst. Bot. 37: 629 (2012),Brazil,Brazil North,unknown,unknown,60459228-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459228-2
Marantaceae,Goeppertia,cyclophora,Goeppertia_cyclophora,(Baker) Borchs. & S.Suárez,Goeppertia cyclophora (Baker) Borchs. & S.Suárez,Syst. Bot. 37: 630 (2012),"Brazil, Colombia, Guyana, Mexico, Venezuela","Brazil North, Colombia, Guyana, Mexico Gulf, Mexico Northwest, Mexico Southwest, Venezuela",unknown,unknown,60459273-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459273-2
Marantaceae,Goeppertia,densa,Goeppertia_densa,(K.Koch & Linden) Borchs. & S.Suárez,Goeppertia densa (K.Koch & Linden) Borchs. & S.Suárez,Syst. Bot. 37: 630 (2012),"Brazil, Suriname, Venezuela","Brazil North, Suriname, Venezuela",unknown,unknown,60459278-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459278-2
Marantaceae,Goeppertia,humilis,Goeppertia_humilis,(S.Moore) Borchs. & S.Suárez,Goeppertia humilis (S.Moore) Borchs. & S.Suárez,Syst. Bot. 37: 631 (2012),Brazil,Brazil West-Central,unknown,unknown,60459356-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459356-2
Marantaceae,Goeppertia,inocephala,Goeppertia_inocephala,(Kuntze) Borchs. & S.Suárez,Goeppertia inocephala (Kuntze) Borchs. & S.Suárez,Syst. Bot. 37: 631 (2012),"Belize, Brazil, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru, Trinidad-Tobago, Venezuela","Belize, Brazil North, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico Southeast, Nicaragua, Panama, Peru, Trinidad-Tobago, Venezuela",unknown,unknown,60459360-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459360-2
Marantaceae,Goeppertia,kegeljanii,Goeppertia_kegeljanii,(É.Morren) Saka,Goeppertia kegeljanii (É.Morren) Saka,Phytotaxa 329: 249 (2017),Brazil,Brazil Southeast,unknown,unknown,77174971-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77174971-1
Marantaceae,Goeppertia,koernickeana,Goeppertia_koernickeana,(Regel) J.M.A.Braga,Goeppertia koernickeana (Regel) J.M.A.Braga,Phytotaxa 312(1): 145 (2017),Brazil,Brazil Northeast,unknown,unknown,77174284-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77174284-1
Marantaceae,Goeppertia,kummeriana,Goeppertia_kummeriana,(É.Morren) Borchs. & S.Suárez,Goeppertia kummeriana (É.Morren) Borchs. & S.Suárez,Syst. Bot. 37: 631 (2012),Brazil,Brazil Southeast,unknown,unknown,60459366-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459366-2
Marantaceae,Goeppertia,lindbergii,Goeppertia_lindbergii,(Petersen) Borchs. & S.Suárez,Goeppertia lindbergii (Petersen) Borchs. & S.Suárez,Syst. Bot. 37: 632 (2012),Brazil,"Brazil Southeast, Brazil West-Central",unknown,unknown,60459382-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459382-2
Marantaceae,Goeppertia,lindeniana,Goeppertia_lindeniana,(Wallis) Borchs. & S.Suárez,Goeppertia lindeniana (Wallis) Borchs. & S.Suárez,Syst. Bot. 37: 632 (2012),"Brazil, Peru","Brazil North, Peru",unknown,unknown,60459383-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60459383-2
Marantaceae,Goeppertia,mandioccae,Goeppertia_mandioccae,(Körn.) Borchs. & S.Suárez,Goeppertia mandioccae (Körn.) Borchs. & S.Suárez,Syst. Bot. 37: 632 (2012),Brazil,Brazil Southeast,unknown,unknown,60461042-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60461042-2
Marantaceae,Goeppertia,mansoi,Goeppertia_mansoi,(Körn.) Borchs. & S.Suárez,Goeppertia mansoi (Körn.) Borchs. & S.Suárez,Syst. Bot. 37: 632 (2012),"Bolivia, Brazil, French Guiana, Suriname","Bolivia, Brazil North, Brazil West-Central, French Guiana, Suriname",unknown,unknown,60461043-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60461043-2
Marantaceae,Goeppertia,mirabilis,Goeppertia_mirabilis,(Jacob-Makoy ex É.Morren) Borchs. & S.Suárez,Goeppertia mirabilis (Jacob-Makoy ex É.Morren) Borchs. & S.Suárez,Syst. Bot. 37: 632 (2012),Brazil,Brazil Northeast,unknown,unknown,60461110-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60461110-2
Marantaceae,Goeppertia,pavonina,Goeppertia_pavonina,(K.Koch & Linden) Borchs. & S.Suárez,Goeppertia pavonina (K.Koch & Linden) Borchs. & S.Suárez,Syst. Bot. 37: 633 (2012),Brazil,Brazil North,unknown,unknown,60461179-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60461179-2
Marantaceae,Goeppertia,pumila,Goeppertia_pumila,(Vell.) Borchs. & S.Suárez,Goeppertia pumila (Vell.) Borchs. & S.Suárez,Syst. Bot. 37: 633 (2012),Brazil,Brazil Southeast,unknown,unknown,60461309-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60461309-2
