family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Orchidaceae,Acianthera,adirii,Acianthera_adirii,(Brade) Pridgeon & M.W.Chase,Acianthera adirii (Brade) Pridgeon & M.W.Chase,Lindleyana 16: 241 (2001),Brazil,Brazil South,unknown,unknown,1150292-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1150292-2
Orchidaceae,Acianthera,albiflora,Acianthera_albiflora,(Barb.Rodr.) Karremans,Acianthera albiflora (Barb.Rodr.) Karremans,Harvard Pap. Bot. 21: 185 (2016),Brazil,Brazil North,unknown,unknown,60473650-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60473650-2
Orchidaceae,Acianthera,amandae,Acianthera_amandae,Campacci & C.R.M.Silva,Acianthera amandae Campacci & C.R.M.Silva,Colet. Orquídeas Brasil. 16: 638 (2020),Brazil,Brazil Southeast,unknown,unknown,77211951-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77211951-1
Orchidaceae,Acianthera,breviflora,Acianthera_breviflora,(Lindl.) Luer,Acianthera breviflora (Lindl.) Luer,Monogr. Syst. Bot. Missouri Bot. Gard. 95: 253 (2004),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,77062421-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77062421-1
Orchidaceae,Acianthera,calopedilon,Acianthera_calopedilon,Toscano & Luer,Acianthera calopedilon Toscano & Luer,Lankesteriana 15: 79 (2015),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,77150367-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77150367-1
Orchidaceae,Acianthera,hastulata,Acianthera_hastulata,(Rchb.f. & Warm.) Karremans,Acianthera hastulata (Rchb.f. & Warm.) Karremans,Phytotaxa 406: 260 (2019),Brazil,Brazil Southeast,unknown,unknown,77200365-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77200365-1
Orchidaceae,Acianthera,maculiglossa,Acianthera_maculiglossa,Chiron & N.Sanson,Acianthera maculiglossa Chiron & N.Sanson,Richardiana 9: 121 (2009),Brazil,Brazil Southeast,unknown,unknown,77100167-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77100167-1
Orchidaceae,Acianthera,melachila,Acianthera_melachila,(Barb.Rodr.) Luer,Acianthera melachila (Barb.Rodr.) Luer,Monogr. Syst. Bot. Missouri Bot. Gard. 95: 254 (2004),Brazil,Brazil Southeast,unknown,unknown,77062486-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77062486-1
Orchidaceae,Acianthera,minuta,Acianthera_minuta,(Rolfe) Karremans,Acianthera minuta (Rolfe) Karremans,Harvard Pap. Bot. 21: 185 (2016),Brazil,Brazil Southeast,unknown,unknown,60473664-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60473664-2
Orchidaceae,Acianthera,per-dusenii,Acianthera_per-dusenii,(Hoehne) F.Barros & L.R.S.Guim.,Acianthera per-dusenii (Hoehne) F.Barros & L.R.S.Guim.,Neodiversity 5: 29 (2010),Brazil,Brazil South,unknown,unknown,77114882-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77114882-1
