family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Passifloraceae,Oxossia,albicans,Oxossia_albicans,(Urb.) L.Rocha,Oxossia albicans (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77203827-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203827-1
Passifloraceae,Oxossia,annularis,Oxossia_annularis,(Urb.) L.Rocha,Oxossia annularis (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77203828-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203828-1
Passifloraceae,Oxossia,calyptrocarpa,Oxossia_calyptrocarpa,(Urb.) L.Rocha,Oxossia calyptrocarpa (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77203829-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203829-1
Passifloraceae,Oxossia,capitata,Oxossia_capitata,(Cambess.) L.Rocha,Oxossia capitata (Cambess.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,77203830-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203830-1
Passifloraceae,Oxossia,dasystyla,Oxossia_dasystyla,(Urb.) L.Rocha,Oxossia dasystyla (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,Brazil Southeast,unknown,unknown,77203831-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203831-1
Passifloraceae,Oxossia,hatschbachii,Oxossia_hatschbachii,(Arbo) L.Rocha,Oxossia hatschbachii (Arbo) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,Brazil Southeast,unknown,unknown,77203832-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203832-1
Passifloraceae,Oxossia,hebepetala,Oxossia_hebepetala,(Urb.) L.Rocha,Oxossia hebepetala (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,Brazil Northeast,unknown,unknown,77203834-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203834-1
Passifloraceae,Oxossia,maracasana,Oxossia_maracasana,(Arbo) L.Rocha,Oxossia maracasana (Arbo) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,Brazil Northeast,unknown,unknown,77203835-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203835-1
Passifloraceae,Oxossia,marmorata,Oxossia_marmorata,(Urb.) L.Rocha,Oxossia marmorata (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,Brazil Northeast,unknown,unknown,77203836-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203836-1
Passifloraceae,Oxossia,pernambucensis,Oxossia_pernambucensis,(Urb.) L.Rocha,Oxossia pernambucensis (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 59 (2019),Brazil,Brazil Northeast,unknown,unknown,77203837-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203837-1
Passifloraceae,Oxossia,princeps,Oxossia_princeps,(Arbo) L.Rocha,Oxossia princeps (Arbo) L.Rocha,Molec. Phylogen. Evol. 137: 60 (2019),Brazil,Brazil Southeast,unknown,unknown,77203838-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203838-1
Passifloraceae,Oxossia,rubrobracteata,Oxossia_rubrobracteata,(Arbo) L.Rocha,Oxossia rubrobracteata (Arbo) L.Rocha,Molec. Phylogen. Evol. 137: 60 (2019),Brazil,Brazil Southeast,unknown,unknown,77203839-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203839-1
Passifloraceae,Oxossia,schomburgkiana,Oxossia_schomburgkiana,(Urb.) L.Rocha,Oxossia schomburgkiana (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 60 (2019),"Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,77203840-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203840-1
Passifloraceae,Oxossia,spicata,Oxossia_spicata,(L.Rocha & Arbo) L.Rocha,Oxossia spicata (L.Rocha & Arbo) L.Rocha,Molec. Phylogen. Evol. 137: 60 (2019),Brazil,Brazil Southeast,unknown,unknown,77203841-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203841-1
Passifloraceae,Oxossia,waltherioides,Oxossia_waltherioides,(Urb.) L.Rocha,Oxossia waltherioides (Urb.) L.Rocha,Molec. Phylogen. Evol. 137: 60 (2019),"Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,77203842-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77203842-1
Passifloraceae,Passiflora,bacabensis,Passiflora_bacabensis,"Mezzonato, E.O.Silva & E.A.Oliveira","Passiflora bacabensis Mezzonato, E.O.Silva & E.A.Oliveira",Nordic J. Bot. 39(8)-e03279: 2 (2021),Brazil,Brazil West-Central,unknown,unknown,77295664-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77295664-1
Passifloraceae,Passiflora,caparaoensis,Passiflora_caparaoensis,"Magro-Moraes, M.A.M.Azevedo & Gelli de Faria","Passiflora caparaoensis Magro-Moraes, M.A.M.Azevedo & Gelli de Faria",Phytotaxa 545: 141 (2022),Brazil,Brazil Southeast,unknown,unknown,77297580-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77297580-1
Passifloraceae,Passiflora,carajasensis,Passiflora_carajasensis,A.K.Koch & Ilk.-Borg.,Passiflora carajasensis A.K.Koch & Ilk.-Borg.,Nordic J. Bot. 39(3)-e03033: 2 (2021),Brazil,Brazil North,unknown,unknown,77216647-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77216647-1
Passifloraceae,Passiflora,coelestis,Passiflora_coelestis,Parteka & A.Silvério,Passiflora coelestis Parteka & A.Silvério,Phytotaxa 516: 148 (2021),Brazil,Brazil South,unknown,unknown,77221259-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221259-1
Passifloraceae,Passiflora,ita,Passiflora_ita,"Mezzonato, R.S.Ribeiro & Gonella","Passiflora ita Mezzonato, R.S.Ribeiro & Gonella",Willdenowia 51: 372 (2021),Brazil,Brazil Southeast,unknown,unknown,77254941-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77254941-1
Passifloraceae,Passiflora,jorgeana,Passiflora_jorgeana,Mezzonato,Passiflora jorgeana Mezzonato,Novon 29: 2 (2021),Brazil,Brazil Northeast,unknown,unknown,77254961-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77254961-1
Passifloraceae,Passiflora,maguirei,Passiflora_maguirei,Killip,Passiflora maguirei Killip,Bull. Torrey Bot. Club 75: 415 (1948),"Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,185050-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:185050-2
Passifloraceae,Passiflora,mendoncae,Passiflora_mendoncae,Harms,Passiflora mendoncae Harms,Repert. Spec. Nov. Regni Veg. 18: 297 (1922),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,185064-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:185064-2
Passifloraceae,Passiflora,timboensis,Passiflora_timboensis,T.S.Nunes & L.P.Queiroz,Passiflora timboensis T.S.Nunes & L.P.Queiroz,Syst. Bot. 39: 1167 (2014),Brazil,Brazil Northeast,unknown,unknown,77147497-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77147497-1
Passifloraceae,Passiflora,tranversalis,Passiflora_tranversalis,M.A.M.Azevedo,Passiflora tranversalis M.A.M.Azevedo,Brittonia 60: 314 (2008),Brazil,"Brazil Northeast, Brazil South, Brazil Southeast",unknown,unknown,77099638-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77099638-1
Passifloraceae,Piriqueta,abairana,Piriqueta_abairana,Arbo,Piriqueta abairana Arbo,Kew Bull. 43: 459 (1999),Brazil,Brazil Northeast,unknown,unknown,318928-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:318928-2
Passifloraceae,Piriqueta,araguaiana,Piriqueta_araguaiana,Arbo,Piriqueta araguaiana Arbo,Fl. Neotrop. Monogr. 67: 123 (1995),Brazil,Brazil West-Central,unknown,unknown,304432-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:304432-2
Passifloraceae,Piriqueta,asperifolia,Piriqueta_asperifolia,Arbo,Piriqueta asperifolia Arbo,Fl. Neotrop. Monogr. 67: 46 (1995),Brazil,Brazil Northeast,unknown,unknown,301780-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:301780-2
