family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Polygonaceae,Coccoloba,cruegeri,Coccoloba_cruegeri,Lindau,Coccoloba cruegeri Lindau,Bot. Jahrb. Syst. 13: 209 (1890),"Brazil, Guyana, Suriname, Trinidad-Tobago, Venezuela","Brazil Northeast, Guyana, Suriname, Trinidad-Tobago, Venezuela",unknown,unknown,294901-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:294901-2
Polygonaceae,Coccoloba,gymnorrhachis,Coccoloba_gymnorrhachis,Sandwith,Coccoloba gymnorrhachis Sandwith,Bull. Misc. Inform. Kew 1932: 221 (1932),"Brazil, French Guiana, Guyana, Suriname, Venezuela","Brazil North, French Guiana, Guyana, Suriname, Venezuela",unknown,unknown,62097-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:62097-2
Polygonaceae,Coccoloba,lanceolata,Coccoloba_lanceolata,Lindau,Coccoloba lanceolata Lindau,Bot. Jahrb. Syst. 17: 517 (1893),Brazil,Brazil Southeast,unknown,unknown,693706-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:693706-1
Polygonaceae,Coccoloba,peruviana,Coccoloba_peruviana,Lindau,Coccoloba peruviana Lindau,Bot. Jahrb. Syst. 13: 213 (1890),"Bolivia, Brazil, Colombia, Ecuador, Peru","Bolivia, Brazil North, Brazil West-Central, Colombia, Ecuador, Peru",unknown,unknown,62219-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:62219-2
Polygonaceae,Enneatypus,ramiflorus,Enneatypus_ramiflorus,(Jacq.) Roberty & Vautier,Enneatypus ramiflorus (Jacq.) Roberty & Vautier,Boissiera 10: 68 (1964),"Argentina, Brazil, Colombia, Ecuador, Guyana, Panama, Trinidad-Tobago, Venezuela","Argentina Northeast, Brazil North, Brazil Northeast, Brazil Southeast, Colombia, Ecuador, Guyana, Panama, Trinidad-Tobago, Venezuela",unknown,unknown,693983-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:693983-1
Polygonaceae,Enneatypus,tenuiflorus,Enneatypus_tenuiflorus,(Benth.) Roberty & Vautier,Enneatypus tenuiflorus (Benth.) Roberty & Vautier,Boissiera 10: 68 (1964),"Brazil, Colombia, Guyana, Paraguay, Trinidad-Tobago, Uruguay, Venezuela","Brazil North, Colombia, Guyana, Paraguay, Trinidad-Tobago, Uruguay, Venezuela",unknown,unknown,91058-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:91058-2
Polygonaceae,Magoniella,obidensis,Magoniella_obidensis,(Huber) Adr.Sanchez,Magoniella obidensis (Huber) Adr.Sanchez,Syst. Bot. 36: 708 (2011),"Bolivia, Brazil, Costa Rica, Venezuela","Bolivia, Brazil North, Brazil Southeast, Costa Rica, Venezuela",unknown,unknown,77116658-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77116658-1
Polygonaceae,Persicaria,humboldtiana,Persicaria_humboldtiana,Funez & Hassemer,Persicaria humboldtiana Funez & Hassemer,Phytotaxa 490: 61 (2021),Brazil,Brazil South,unknown,unknown,77216116-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77216116-1
Polygonaceae,Persicaria,setacea,Persicaria_setacea,(Baldwin) Small,Persicaria setacea (Baldwin) Small,Fl. S.E. U.S.: 379 (1903),"Argentina, Brazil, Colombia, Mexico, Paraguay, Rhode I., United States, Uruguay","Alabama, Argentina Northeast, Argentina Northwest, Arkansas, Brazil South, Colombia, Delaware, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Maryland, Massachusetts, Mexico Northeast, Mexico Southwest, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, Ohio, Oklahoma, Paraguay, Pennsylvania, Rhode I., South Carolina, Tennessee, Texas, Uruguay, Virginia, Washington",unknown,unknown,190870-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:190870-2
Polygonaceae,Ruprechtia,maracaensis,Ruprechtia_maracaensis,Brandbyge,Ruprechtia maracaensis Brandbyge,Nordic J. Bot. 10: 155 (1990),"Brazil, Colombia, Peru","Brazil North, Colombia, Peru",unknown,unknown,284482-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:284482-2
Polygonaceae,Salta,triflora,Salta_triflora,(Griseb.) Adr.Sanchez,Salta triflora (Griseb.) Adr.Sanchez,Syst. Bot. 36: 708 (2011),"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil West-Central, Paraguay",unknown,unknown,77116653-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77116653-1
Polygonaceae,Triplaris,fulva,Triplaris_fulva,Huber,Triplaris fulva Huber,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 4: 560 (1906),"Brazil, Peru","Brazil North, Peru",unknown,unknown,258600-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:258600-2
Polygonaceae,Triplaris,mato-grossensis,Triplaris_mato-grossensis,Brandbyge,Triplaris mato-grossensis Brandbyge,Nordic J. Bot. 10: 158 (1990),Brazil,Brazil West-Central,unknown,unknown,286410-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:286410-2
