family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Primulaceae,Ardisia,albovirens,Ardisia_albovirens,Mez,Ardisia albovirens Mez,Repert. Spec. Nov. Regni Veg. 16: 311 (1920),"Brazil, Peru","Brazil North, Peru",unknown,unknown,18028-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:18028-2
Primulaceae,Cybianthus,comperuvianus,Cybianthus_comperuvianus,Pipoly,Cybianthus comperuvianus Pipoly,Sida 18: 47 (1998),"Bolivia, Brazil, Ecuador, Peru","Bolivia, Brazil North, Brazil West-Central, Ecuador, Peru",unknown,unknown,316558-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:316558-2
Primulaceae,Cybianthus,densicoma,Cybianthus_densicoma,Mart.,Cybianthus densicoma Mart.,Herb. Fl. Bras.: 260 (1841),"Brazil, Paraguay","Brazil Southeast, Brazil West-Central, Paraguay",unknown,unknown,588100-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:588100-1
Primulaceae,Cybianthus,duckei,Cybianthus_duckei,R.E.Schult.,Cybianthus duckei R.E.Schult.,Bot. Mus. Leafl. 15: 73 (1951),Brazil,Brazil North,unknown,unknown,73485-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:73485-2
Primulaceae,Cybianthus,glomerulatus,Cybianthus_glomerulatus,(A.C.Sm.) G.Agostini,Cybianthus glomerulatus (A.C.Sm.) G.Agostini,Acta Biol. Venez. 10: 159 (1980),Brazil,Brazil North,unknown,unknown,73501-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:73501-2
Primulaceae,Cybianthus,itacolomyensis,Cybianthus_itacolomyensis,M.Lisboa & Badini,Cybianthus itacolomyensis M.Lisboa & Badini,Trab. Congr. Nac. Bot. (Rio de Janeiro) 26: 329 (1977),Brazil,Brazil Southeast,unknown,unknown,73510-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:73510-2
Primulaceae,Cybianthus,leprieurii,Cybianthus_leprieurii,G.Agostini,Cybianthus leprieurii G.Agostini,Acta Biol. Venez. 10: 159 (1980),"Brazil, French Guiana","Brazil North, French Guiana",unknown,unknown,295544-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:295544-2
Primulaceae,Cybianthus,punctatus,Cybianthus_punctatus,(Mez) G.Agostini,Cybianthus punctatus (Mez) G.Agostini,Acta Biol. Venez. 10: 155 (1980),"Brazil, Guyana, Venezuela","Brazil West-Central, Guyana, Venezuela",unknown,unknown,73551-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:73551-2
Primulaceae,Cybianthus,verticillatus,Cybianthus_verticillatus,(Vell.) G.Agostini,Cybianthus verticillatus (Vell.) G.Agostini,Acta Biol. Venez. 10: 168 (1980),Brazil,Brazil Southeast,unknown,unknown,73577-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:73577-2
Primulaceae,Lysimachia,abscondita,Lysimachia_abscondita,"R.Trevis., Funez & Hassemer","Lysimachia abscondita R.Trevis., Funez & Hassemer",Syst. Bot. 46: 130 (2021),Brazil,Brazil South,unknown,unknown,77249055-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77249055-1
Primulaceae,Lysimachia,campestris,Lysimachia_campestris,"Funez, Hassemer & R.Trevis.","Lysimachia campestris Funez, Hassemer & R.Trevis.",Syst. Bot. 46: 139 (2021),Brazil,Brazil South,unknown,unknown,77249057-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77249057-1
Primulaceae,Lysimachia,catharinensis,Lysimachia_catharinensis,"R.Trevis., Funez & Hassemer","Lysimachia catharinensis R.Trevis., Funez & Hassemer",Syst. Bot. 46: 140 (2021),Brazil,Brazil South,unknown,unknown,77249058-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77249058-1
Primulaceae,Lysimachia,lanceola,Lysimachia_lanceola,"(Baudo) Hassemer, Funez & R.Trevis.","Lysimachia lanceola (Baudo) Hassemer, Funez & R.Trevis.",Syst. Bot. 46: 142 (2021),Brazil,Brazil Southeast,unknown,unknown,77249059-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77249059-1
Primulaceae,Lysimachia,neolongipedicellata,Lysimachia_neolongipedicellata,Idrees & J.M.H.Shaw,Lysimachia neolongipedicellata Idrees & J.M.H.Shaw,Phytotaxa 574: 197 (2022),Brazil,Brazil South,unknown,unknown,77309098-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77309098-1
Primulaceae,Lysimachia,parvula,Lysimachia_parvula,"Funez, Hassemer & R.Trevis.","Lysimachia parvula Funez, Hassemer & R.Trevis.",Syst. Bot. 46: 148 (2021),Brazil,Brazil South,unknown,unknown,77249061-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77249061-1
Primulaceae,Samolus,parviflorus,Samolus_parviflorus,Raf.,Samolus parviflorus Raf.,Amer. Monthly Mag. &amp; Crit. Rev. 2: 176 (1818),"Argentina, Bolivia, Brazil, Canada, Chile, Cuba, District of Columbia, Dominican Republic, Ecuador, Haiti, Honduras, Japan, Mexico, Paraguay, Peru, Puerto Rico, Quebec, Rhode I., United States, Uruguay","Alabama, Argentina Northeast, Argentina Northwest, Argentina South, Arizona, Arkansas, Bolivia, Brazil South, California, Chile Central, Chile North, Connecticut, Cuba, Delaware, District of Columbia, Dominican Republic, Ecuador, Florida, Georgia, Haiti, Honduras, Illinois, Indiana, Japan, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Michigan, Mississippi, Missouri, Nevada, New Brunswick, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Nova Scotia, Ohio, Oklahoma, Ontario, Oregon, Paraguay, Pennsylvania, Peru, Prince Edward I., Puerto Rico, Quebec, Rhode I., South Carolina, Tennessee, Texas, Uruguay, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin",unknown,unknown,702845-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:702845-1
