family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Solanaceae,Athenaea,altoserranae,Athenaea_altoserranae,I.M.C.Rodrigues & Stehmann,Athenaea altoserranae I.M.C.Rodrigues & Stehmann,PhytoKeys 178: 3 (2021),Brazil,Brazil Southeast,unknown,unknown,77217158-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77217158-1
Solanaceae,Athenaea,hunzikeriana,Athenaea_hunzikeriana,I.M.C.Rodrigues & Stehmann,Athenaea hunzikeriana I.M.C.Rodrigues & Stehmann,PhytoKeys 178: 8 (2021),Brazil,Brazil Southeast,unknown,unknown,77217159-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77217159-1
Solanaceae,Athenaea,wettsteiniana,Athenaea_wettsteiniana,(Witasek) I.M.C.Rodrigues & Stehmann,Athenaea wettsteiniana (Witasek) I.M.C.Rodrigues & Stehmann,Taxon 68: 845 (2019),Brazil,"Brazil South, Brazil Southeast",unknown,unknown,77204757-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77204757-1
Solanaceae,Brugmansia,insignis,Brugmansia_insignis,(Barb.Rodr.) Lockwood ex R.E.Schult.,Brugmansia insignis (Barb.Rodr.) Lockwood ex R.E.Schult.,Bot. Mus. Leafl. 25(4): 124 (1977),"Bolivia, Brazil, Colombia, Ecuador, Peru","Bolivia, Brazil North, Colombia, Ecuador, Peru",unknown,unknown,814604-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:814604-1
Solanaceae,Calibrachoa,calycina,Calibrachoa_calycina,(Sendtn.) Wijsman,Calibrachoa calycina (Sendtn.) Wijsman,Acta Bot. Neerl. 39: 101 (1990),"Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Brazil South, Paraguay, Uruguay",unknown,unknown,947638-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947638-1
Solanaceae,Calibrachoa,pygmea,Calibrachoa_pygmea,(R.E.Fr.) Wijsman,Calibrachoa pygmea (R.E.Fr.) Wijsman,Acta Bot. Neerl. 39: 102 (1990),"Argentina, Brazil, Uruguay","Argentina Northeast, Brazil South, Uruguay",unknown,unknown,947648-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947648-1
Solanaceae,Calibrachoa,regnellii,Calibrachoa_regnellii,(R.E.Fr.) Wijsman,Calibrachoa regnellii (R.E.Fr.) Wijsman,Acta Bot. Neerl. 39: 102 (1990),Brazil,Brazil Southeast,unknown,unknown,947649-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947649-1
Solanaceae,Calibrachoa,rupestris,Calibrachoa_rupestris,(Dusén) Wijsman,Calibrachoa rupestris (Dusén) Wijsman,Acta Bot. Neerl. 39: 102 (1990),Brazil,Brazil South,unknown,unknown,947650-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947650-1
Solanaceae,Capsicum,leptopodum,Capsicum_leptopodum,(Dunal) Kuntze,Capsicum leptopodum (Dunal) Kuntze,Revis. Gen. Pl. 2: 450 (1891),Brazil,Brazil Southeast,unknown,unknown,993725-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:993725-1
Solanaceae,Capsicum,mirum,Capsicum_mirum,Barboza,Capsicum mirum Barboza,PhytoKeys 200: 245 (2022),Brazil,Brazil Southeast,unknown,unknown,77299337-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77299337-1
