name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,remarks,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,collectionNumber,collectorTeam,collectionDate1,locality,publicationYearNote,typeLocations,typeRemarks,referenceRemarks,pageAsText,originalRemarks,typeCoordinates,originalTaxonDistribution,nameStatus,nameStatusType,collectionDate2,typeNote
Annona_falsifolia,Glaz.,Glaz.,,spec.,/n/14263-2,Annonaceae,Annona,falsifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1905,52(Mém. 3[a]): 14,578-2,citation,Bull. Soc. Bot. France 52(Mém. 3[a]): 14. 1905 Nomen subnudum,As Anona,FALSE,TRUE,1.4,14263-2,urn:lsid:ipni.org:names:14263-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nomen subnudum,NA,NA,,NA,NA,NA,NA,NA
Annona_geraensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/14267-2,Annonaceae,Annona,geraensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pl. Jard. Rio de Janeiro,1898,"6: 1, pl. 1",3655-2,citation,"Pl. Jard. Rio de Janeiro 6: 1, pl. 1. 1898 ",As Anona,FALSE,TRUE,1.3,14267-2,urn:lsid:ipni.org:names:14267-2,wfo-0000537768,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Annona_jenmanii,Saff.,Saff.,,spec.,/n/14287-2,Annonaceae,Annona,jenmanii,tax. nov.,"British Guiana, Brazil",FALSE,FALSE,TRUE,,Contr. U.S. Natl. Herb.,1913,"16: 267, pl. 87",605-2,citation,"Contr. U.S. Natl. Herb. 16: 267, pl. 87. 1913 ",NA,FALSE,TRUE,1.4,14287-2,urn:lsid:ipni.org:names:14287-2,wfo-0000537807,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/372147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372147,NA,,NA,NA,NA,NA,NA
Annona_membranacea,R.E.Fr.,R.E.Fr.,,spec.,/n/14302-2,Annonaceae,Annona,membranacea,tax. nov.,"Maranhao (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Horti Berg.,1945,"13: 115, fig. 2a",1647-2,citation,"Acta Horti Berg. 13: 115, fig. 2a. 1945 ",NA,FALSE,TRUE,1.1.2.1,14302-2,urn:lsid:ipni.org:names:14302-2,wfo-0000537837,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1945&rft.spage=115&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Annona_rodriguesii,Barb.Rodr.,Barb.Rodr.,,spec.,/n/14339-2,Annonaceae,Annona,rodriguesii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Pl. Jard. Rio de Janeiro,1894,"4: 1, pl. 1",3655-2,citation,"Pl. Jard. Rio de Janeiro 4: 1, pl. 1. 1894 ",As Anona,FALSE,TRUE,1.3,14339-2,urn:lsid:ipni.org:names:14339-2,wfo-0000537916,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Annona_sanctae-crusis,S.Moore,S.Moore,,spec.,/n/14344-2,Annonaceae,Annona,sanctae-crusis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 305",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 305. 1895 ",As Anona,FALSE,TRUE,1.2,14344-2,urn:lsid:ipni.org:names:14344-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Annona_walkeri,S.Moore,S.Moore,,spec.,/n/14368-2,Annonaceae,Annona,walkeri,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 304",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 304. 1895 ",As Anona,FALSE,TRUE,1.3,14368-2,urn:lsid:ipni.org:names:14368-2,wfo-0000537981,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cymbopetalum_coriaceum,N.A.Murray,N.A.Murray,,spec.,/n/975791-1,Annonaceae,Cymbopetalum,coriaceum,tax. nov.,Ecuador;Brazil North (Amazonas).;,FALSE,FALSE,TRUE,,Syst. Bot. Monogr.,1993,40: 67,2970-2,citation,Syst. Bot. Monogr. 40: 67. 1993 ; Revis. Cymbopetalum & Porcelia (Annonac.),NA,FALSE,TRUE,1.4,975791-1,urn:lsid:ipni.org:names:975791-1,wfo-0000632560,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,1993,NA,NA,Revis. Cymbopetalum & Porcelia (Annonac.),NA,NA,,"Ecuador, Brazil North (Amazonas).",NA,NA,NA,NA
Duguetia_hemmendorffii,R.E.Fr.,R.E.Fr.,,spec.,/n/85705-2,Annonaceae,Duguetia,hemmendorffii,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Horti Berg.,1934,12: 37,1647-2,citation,Acta Horti Berg. 12: 37. 1934 ,"[Gandhi; Ping He & Maas, Bol. Mus. Para. Emilio Goeldi,¹n.s., Bot. 9: 151. 1994]",FALSE,TRUE,1.1.2.1,85705-2,urn:lsid:ipni.org:names:85705-2,wfo-0000657850,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=37&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Duguetia_sancticarolii,Maas,Maas,,spec.,/n/989964-1,Annonaceae,Duguetia,sancticarolii,tax. nov.,Venezuela;Brazil North (Amazonas).;,FALSE,FALSE,FALSE,,Bot. Jahrb. Syst.,1996,118(2): 217,553-2,citation,Bot. Jahrb. Syst. 118(2): 217. 1996 [5 Jul 1996] ,NA,FALSE,TRUE,1.5,989964-1,urn:lsid:ipni.org:names:989964-1,NA,FALSE,FALSE,TRUE,TRUE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1996&rft.issue=2&rft.spage=217&rft.volume=118&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,5 Jul 1996,NA,NA,NA,NA,NA,,"Venezuela, Brazil North (Amazonas).",NA,NA,NA,NA
Ephedranthus_wraithiana,S.Moore,S.Moore,,spec.,/n/91147-2,Annonaceae,Ephedranthus,wraithiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 296, pl. 21",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 296, pl. 21. 1895 ",NA,FALSE,TRUE,1.2,91147-2,urn:lsid:ipni.org:names:91147-2,wfo-0001357430,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Guatteria_flabellata,Erkens & Maas,Erkens & Maas,,spec.,/n/77095321-1,Annonaceae,Guatteria,flabellata,tax. nov.,"Peru (Western South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);Rondônia (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,,Blumea,2008,"53(3): 484 (-486, 489, 471; fig. 7, map 1, plate 2a-b)",549-2,citation,"Blumea 53(3): 484 (-486, 489, 471; fig. 7, map 1, plate 2a-b). 2008 [31 Dec 2008] ",NA,FALSE,TRUE,1.2,77095321-1,urn:lsid:ipni.org:names:77095321-1,wfo-0000743967,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,6297,Maas et al.,15 Nov 1984,"Loreto, Prov. Maynas, Río Momón, 0-5 km above confluence with Río Nanay, 100 m",31 Dec 2008,holotype U;isotype K;isotype MO;isotype WIS,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Hornschuchia_mediterranea,Mello-Silva & D.M.Johnson,Mello-Silva & D.M.Johnson,,spec.,/n/77215840-1,Annonaceae,Hornschuchia,mediterranea,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,483(3): 286,20011462-1,citation,Phytotaxa 483(3): 286. 2021 [12 Feb 2021] [epublished],"doi:10.11646/phytotaxa.483.3.8 Epithet from Latin, 'medius' (middle) plus 'terra' (land), meaning inland, in the middle of the land, remote from the sea.",FALSE,TRUE,1.1,77215840-1,urn:lsid:ipni.org:names:77215840-1,wfo-1000027393,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,3138,"R. Mello-Silva, D.Y.A.C. Santos &amp; J.C. Lopes",28 Oct 2008,"Jussari. Fazenda São Roque, 2,8 km em estrada vicinal à direita da estrada Jussari-Palmira, entrada a 13,8 km além da ponte sobre o rio Piabanha, na saída de Jussari (entrada à esquerda a 2 km de Palmira no sentido Palmira – Jussari), mata semidecidual de encosta, antropizada, 211m",12 Feb 2021,holotype SPF;isotype CEPEC;isotype K;isotype NY;isotype OWU;isotype RB;isotype W,NA,[epublished],NA,NA,,NA,NA,NA,NA,NA
Hornschuchia_mellosilvae,L.Vilela & J.C.Lopes,L.Vilela & J.C.Lopes,,spec.,/n/77221366-1,Annonaceae,Hornschuchia,mellosilvae,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,520(3): 274,20011462-1,citation,Phytotaxa 520(3): 274. 2021 [21 Sep 2021] [epublished],"doi:10.11646/phytotaxa.520.3.6 Named after Renato Mello-Silva (1961–2020), a Brazilian botanist who studied Annonaceae for 30 years and contributed to the knowledge of the species of Hornschuchia.",FALSE,TRUE,1.1,77221366-1,urn:lsid:ipni.org:names:77221366-1,wfo-1000027394,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,2784,P. Fiaschi et al.,12 Mar 2005,"Almadina, Rodovia de Almadina para Ibitupã ca. 20 km. Fazenda São Roque, ca. 10 km da entrada do ramal à esquerda",21 Sep 2021,holotype SPF SPF00168936;isotype CEPEC CEPEC00104268;isotype NY NY01282018,NA,[epublished],NA,NA,,NA,NA,NA,NA,NA
Pseudoxandra_coriacea,R.E.Fr.,R.E.Fr.,,spec.,/n/211620-2,Annonaceae,Pseudoxandra,coriacea,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Horti Berg.,1937,12: 226,1647-2,citation,Acta Horti Berg. 12: 226. 1937 ,NA,FALSE,TRUE,1.1.2.1,211620-2,urn:lsid:ipni.org:names:211620-2,wfo-0000393976,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=226&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,3353,R.Spruce,NA,NA,NA,null B,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Rollinia_amazonica,R.E.Fr.,R.E.Fr.,,spec.,/n/221725-2,Annonaceae,Rollinia,amazonica,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Ark. Bot.,1956,(n. s.) 3: 602,536-2,citation,Ark. Bot. (n. s.) 3: 602. 1956 ,NA,FALSE,TRUE,1.1.2.1.1.2,221725-2,urn:lsid:ipni.org:names:221725-2,wfo-0000402304,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1956&rft.spage=602&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Rollinia_annonoides,R.E.Fr.,R.E.Fr.,,spec.,/n/311495-2,Annonaceae,Rollinia,annonoides,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Horti Berg.,1937,12(2): 280,1647-2,citation,Acta Horti Berg. 12(2): 280. 1937 ,NA,FALSE,TRUE,1.1.2.1.1.2,311495-2,urn:lsid:ipni.org:names:311495-2,wfo-0001065677,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.issue=2&rft.spage=280&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,6856,B.A.Krukoff,NA,NA,NA,holotype S;isotype A;isotype BR;isotype F;isotype LE;isotype MO;isotype MICH;isotype NY;isotype U;isotype US,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Rollinia_chrysocarpa,Maas & Westra,Maas & Westra,,spec.,/n/284346-2,Annonaceae,Rollinia,chrysocarpa,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Proc. Kon. Ned. Akad. Wetensch. C,1989,"92(3): 300, fig. 5",3175-2,citation,"Proc. Kon. Ned. Akad. Wetensch. C 92(3): 300, fig. 5. 1989 ",NA,FALSE,TRUE,1.4,284346-2,urn:lsid:ipni.org:names:284346-2,wfo-0001066104,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,738,B.Berlin,NA,NA,NA,holotype MO,NA,NA,NA,NA,,NA,NA,NA,NA,IT: U
Rollinia_curvipetala,R.E.Fr.,R.E.Fr.,,spec.,/n/221737-2,Annonaceae,Rollinia,curvipetala,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Horti Berg.,1934,"12: 178, fig. 11a-c",1647-2,citation,"Acta Horti Berg. 12: 178, fig. 11a-c. 1934 ",NA,FALSE,TRUE,1.1.2.1,221737-2,urn:lsid:ipni.org:names:221737-2,wfo-0001065884,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=178&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/16348&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Rollinia_deliciosa,Saff.,Saff.,,spec.,/n/221739-2,Annonaceae,Rollinia,deliciosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,J. Wash. Acad. Sci.,1916,"6: 375, fig. 2",686-2,citation,"J. Wash. Acad. Sci. 6: 375, fig. 2. 1916 ",NA,FALSE,TRUE,1.2,221739-2,urn:lsid:ipni.org:names:221739-2,wfo-0000402402,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1916&rft.spage=375&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
