name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,collectionDate1,locality,typeLocations,referenceRemarks,remarks,infraspecies,originalTaxonDistribution,speciesAuthor,bhlLink,typeCoordinates,nameStatus,nameStatusType,pageAsText,originalRemarks,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeName,typeRemarks,typeNote
Alocasia_marginata,N.E.Br.,N.E.Br.,,spec.,/n/9477-2,Araceae,Alocasia,marginata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Gard. Chron.,1887,NA,"ser. 3, 2: 712",1224-2,citation,"Gard. Chron. ser. 3, 2: 712. 1887 ",FALSE,TRUE,1.4,9477-2,urn:lsid:ipni.org:names:9477-2,wfo-0000949486,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_alegrense,"Theófilo, Manhães & D.R.Couto","Theófilo, Manhães & D.R.Couto",,spec.,/n/77216868-1,Araceae,Anthurium,alegrense,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,2021,22 May 2021,76(2): 257,987-2,citation,Kew Bull. 76(2): 257. 2021 [22 May 2021] [epublished],FALSE,TRUE,1.2,77216868-1,urn:lsid:ipni.org:names:77216868-1,wfo-1000025483,TRUE,TRUE,TRUE,FALSE,FALSE,560,V.C.Manhães,10 Dec 2015,"Alegre, Sítio Água Limpa - Prop. Carlos Vimercati",holotype VIES;isotype RB,[epublished],doi:10.1007/S12225-021-09945-4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_bovinii,Camelo & Nadruz,Camelo & Nadruz,,spec.,/n/77311165-1,Araceae,Anthurium,bovinii,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Syst. Bot.,2022,16 Sep 2022,47(3): 847,1295-2,citation,Syst. Bot. 47(3): 847. 2022 [16 Sep 2022] [epublished],FALSE,TRUE,1.1.1.1,77311165-1,urn:lsid:ipni.org:names:77311165-1,wfo-1000043237,TRUE,TRUE,TRUE,FALSE,FALSE,2952,"M.G.Bovini, A.Quinet &amp; L.E.Barros",6 Dec 2009,"Boca do Acre, Rio Inauiní, Terra Firme",holotype RB RB494157,[epublished],"doi:10.1600/036364422X16573019348373 Etymology: 'The specific epithet “bovinii” is given in honor of the botanist and researcher of the Jardim Botanico do Rio de Janeiro, Dr Massimo G.Bovini, who collected the new species in the municipality of Boca do Acre'.",NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_fontellanum,Nadruz & Leoni,Nadruz & Leoni,,spec.,/n/77062948-1,Araceae,Anthurium,fontellanum,tax. nov.,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Pabstia,2004,NA,"15(2): 2 (-4, 8; fig.)",16223-2,citation,"Pabstia 15(2): 2 (-4, 8; fig.). 2004 ",FALSE,TRUE,1.1,77062948-1,urn:lsid:ipni.org:names:77062948-1,wfo-0000340245,FALSE,TRUE,TRUE,FALSE,FALSE,2500,L.S.Leoni,1 Apr 1994,"Serra do Boné, PE Serra do Brigadeiro",holotype GFJP;isotype RB,NA,as fontellanus,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_lindmannianum,Engl.,Engl.,,spec.,/n/15405-2,Araceae,Anthurium,lindmannianum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1898,19 Jul 1898,25(3): 367,553-2,citation,Bot. Jahrb. Syst. 25(3): 367. 1898 [19 Jul 1898] ,FALSE,TRUE,1.3,15405-2,urn:lsid:ipni.org:names:15405-2,wfo-0000227767,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.issue=3&rft.spage=367&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_macropodum,E.G.Gonç.,E.G.Gonç.,,spec.,/n/77120434-1,Araceae,Anthurium,macropodum,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,2012,21 Jul 2012,67(3): 451,987-2,citation,Kew Bull. 67(3): 451. 2012 [21 Jul 2012] [epublished],FALSE,TRUE,1.7,77120434-1,urn:lsid:ipni.org:names:77120434-1,NA,TRUE,TRUE,TRUE,FALSE,FALSE,2015,Gonçalves,20 Nov 2010,Vargem Alta,holotype HPL;isotype BHCB;isotype K;isotype MO;isotype RB;isotype UB;isotype MBML,[epublished],doi:10.1007/s12225-012-9367-3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,collected by Ricardo Campos,NA
Anthurium_mendoncai,Engl.,Engl.,,spec.,/n/15461-2,Araceae,Anthurium,mendoncai,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1898,19 Jul 1898,25(3): 416,553-2,citation,Bot. Jahrb. Syst. 25(3): 416. 1898 [19 Jul 1898] ,FALSE,TRUE,1.3,15461-2,urn:lsid:ipni.org:names:15461-2,wfo-0000228724,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.issue=3&rft.spage=416&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_moonenii,Croat & E.G.Gonç.,Croat & E.G.Gonç.,,spec.,/n/77067645-1,Araceae,Anthurium,moonenii,tax. nov.,"French Guiana (Northern South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,,Willdenowia,2005,31 Aug 2005,"35(1): 173 (-177; figs. 1-2, photos)",3087-2,citation,"Willdenowia 35(1): 173 (-177; figs. 1-2, photos). 2005 [31 Aug 2005] ",FALSE,TRUE,1.3,77067645-1,urn:lsid:ipni.org:names:77067645-1,wfo-0000791250,FALSE,TRUE,TRUE,FALSE,FALSE,74316,T.B.Croat &amp; J.Moonen,NA,"Route de l'Est, Cayenne-Regina, vicinity peak 93, 0-150m",holotype MO 4343678;isotype B;isotype CAY;isotype INPA;isotype K;isotype NY;isotype P;isotype UB;isotype US;isotype U,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_mourai,Engl.,Engl.,,spec.,/n/15479-2,Araceae,Anthurium,mourai,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1898,19 Jul 1898,25(3): 416,553-2,citation,Bot. Jahrb. Syst. 25(3): 416. 1898 [19 Jul 1898] ,FALSE,TRUE,1.3,15479-2,urn:lsid:ipni.org:names:15479-2,wfo-0000229001,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.issue=3&rft.spage=416&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium_pluricarinatum,"Camelo, Temponi, Baumgratz & Nadruz","Camelo, Temponi, Baumgratz & Nadruz",,spec.,/n/77320891-1,Araceae,Anthurium,pluricarinatum,tax. nov.,"Rio Grande do Norte (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Phytotaxa,2023,6 Jun 2023,599(2): 111,20011462-1,citation,Phytotaxa 599(2): 111. 2023 [6 Jun 2023] [epublished],FALSE,TRUE,1.1,77320891-1,urn:lsid:ipni.org:names:77320891-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,111,M.C. Camelo et al.,20 Jul 2019,"Maxaranguape, RN–160, subindo a duna ao lado da estrada principal, 20 m",holotype RB 792031;isotype RB;isotype UFRN,[epublished],doi:10.11646/phytotaxa.599.2.3 Etymology: named for the multi-ribbed petiole.,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
