name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,referenceRemarks,infraspecies,speciesAuthor,collectionNumber,collectorTeam,typeLocations,remarks,collectionDate1,locality,typeCoordinates,nameStatus,nameStatusType,typeRemarks,originalTaxonDistribution,typeNote,originalRemarks
Anchusa_dasyantha,Cham.,Cham.,,spec.,/n/12533-2,Boraginaceae,Anchusa,dasyantha,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1829,post Oct 1829,4(4): 437 (-438),703-2,citation,Linnaea 4(4): 437 (-438). 1829 [post Oct 1829] ,FALSE,TRUE,1.2.2.1.1.1,12533-2,urn:lsid:ipni.org:names:12533-2,wfo-0000533597,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=4&rft.spage=437&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Auxemma_glazioviana,Taub.,Taub.,,spec.,/n/27173-2,Boraginaceae,Auxemma,glazioviana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1892,5 Apr 1892,"15(2, Beibl. 34): 11",553-2,citation,"Bot. Jahrb. Syst. 15(2, Beibl. 34): 11. 1892 [5 Apr 1892] ",FALSE,TRUE,1.3,27173-2,urn:lsid:ipni.org:names:27173-2,wfo-0000557393,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_acutifolia,Fresen.,Fresen.,,spec.,/n/274882-2,Boraginaceae,Cordia,acutifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1857,28 Feb 1857,8(1): 11 (-12),629-2,citation,Fl. Bras. (Martius) 8(1): 11 (-12). 1857 [28 Feb 1857] ,FALSE,TRUE,1.9,274882-2,urn:lsid:ipni.org:names:274882-2,wfo-0000620221,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146271&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,146271,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_amplifolia,Mez,Mez,,spec.,/n/294945-2,Boraginaceae,Cordia,amplifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bot. Jahrb. Syst.,1890,23 Dec 1890,12(5): 538,553-2,citation,Bot. Jahrb. Syst. 12(5): 538. 1890 [23 Dec 1890] ,FALSE,TRUE,1.3,294945-2,urn:lsid:ipni.org:names:294945-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.issue=5&rft.spage=538&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_araripensis,Rizzini,Rizzini,,spec.,/n/65191-2,Boraginaceae,Cordia,araripensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Rodriguésia,1976,NA,no. 41: 180,1167-2,citation,Rodriguésia no. 41: 180. 1976 ,FALSE,TRUE,1.2,65191-2,urn:lsid:ipni.org:names:65191-2,wfo-0000620249,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,138,Sobrinho,holotype RB,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_asperrima,Spreng.,Spreng.,,spec.,/n/274887-2,Boraginaceae,Cordia,asperrima,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 16 [Sprengel]",1824,dated 1825; publ. in late 1824,1: 649,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 1: 649. 1824 [dated 1825; publ. in late 1824] ",FALSE,TRUE,1.1.2.1.1.3,274887-2,urn:lsid:ipni.org:names:274887-2,wfo-0000620255,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1824&rft.spage=649&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,1494,F.Sellow,holotype B,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_asterophora,Fresen.,Fresen.,,spec.,/n/274888-2,Boraginaceae,Cordia,asterophora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1857,28 Feb 1857,8(1): 5 (-6),629-2,citation,Fl. Bras. (Martius) 8(1): 5 (-6). 1857 [28 Feb 1857] ,FALSE,TRUE,1.8,274888-2,urn:lsid:ipni.org:names:274888-2,wfo-0000620257,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,146268,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_atrofusca,Taub.,Taub.,,spec.,/n/274890-2,Boraginaceae,Cordia,atrofusca,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1893,24 Feb 1893,"15(5, Beibl. 38): 12",553-2,citation,"Bot. Jahrb. Syst. 15(5, Beibl. 38): 12. 1893 [24 Feb 1893] ",FALSE,TRUE,1.5,274890-2,urn:lsid:ipni.org:names:274890-2,wfo-0000620259,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_bahiensis,DC.,DC.,,spec.,/n/274893-2,Boraginaceae,Cordia,bahiensis,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1845,1 Jan 1845,9: 489,1051-2,citation,Prodr. [A. P. de Candolle] 9: 489. 1845 [1 Jan 1845] ,FALSE,TRUE,1.5,274893-2,urn:lsid:ipni.org:names:274893-2,wfo-0000620267,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/162856&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,162856,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_braceliniae,I.M.Johnst.,I.M.Johnst.,,spec.,/n/274902-2,Boraginaceae,Cordia,braceliniae,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,J. Arnold Arbor.,1935,NA,16: 177,981-2,citation,J. Arnold Arbor. 16: 177. 1935 ,FALSE,TRUE,1.5,274902-2,urn:lsid:ipni.org:names:274902-2,wfo-0000620297,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=177&rft.volume=16&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
