name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,publicationYearNote,infraspecies,referenceRemarks,speciesAuthor,remarks,collectionNumber,collectorTeam,typeLocations,nameStatus,nameStatusType,collectionDate1,locality,typeCoordinates
Capparis_nectaria,Vell.,Vell.,,spec.,/n/44722-2,Capparaceae,Capparis,nectaria,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Flumin.,1829,230,932-2,citation,Fl. Flumin. 230. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,FALSE,TRUE,1.3,44722-2,urn:lsid:ipni.org:names:44722-2,wfo-0000584933,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=230&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,1825 publ. 7 Sep-28 Nov 1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Capparis_urens,Barb.Rodr.,Barb.Rodr.,,spec.,/n/44777-2,Capparaceae,Capparis,urens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Vellosia,1888,"1: 2, pl. 2",3884-2,citation,"Vellosia 1: 2, pl. 2. 1888 ",FALSE,TRUE,1.2,44777-2,urn:lsid:ipni.org:names:44777-2,wfo-0000585260,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=2&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_amazonica,Heilborn,Heilborn,,spec.,/n/60482-2,Capparaceae,Cleome,amazonica,tax. nov.,"Acre (Brazil, Southern America)",FALSE,FALSE,TRUE,,Ark. Bot.,1931,"23A, no. 10: 9",536-2,citation,"Ark. Bot. 23A, no. 10: 9. 1931 ",FALSE,TRUE,1.3,60482-2,urn:lsid:ipni.org:names:60482-2,wfo-0000611119,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_arborea,Weinm.,Weinm.,,spec.,/n/146922-1,Capparaceae,Cleome,arborea,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Syll. Pl. Nov.,1824,1: 227,5625-2,citation,Syll. Pl. Nov. 1: 227. 1824 ,FALSE,TRUE,1.3.2.1,146922-1,urn:lsid:ipni.org:names:146922-1,wfo-0000611134,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1824&rft.spage=227&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/112495&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,nom. illeg. later homonym    non Schrad. (5 May 1821),nom. illeg.,NA,NA,
Cleome_brachypoda,Briq.,Briq.,,spec.,/n/60486-2,Capparaceae,Cleome,brachypoda,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 378,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 378. 1914 ,FALSE,TRUE,1.2.2.1,60486-2,urn:lsid:ipni.org:names:60486-2,wfo-0000611166,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=378&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_diffusa,Banks ex DC.,Banks ex DC.,,spec.,/n/60497-2,Capparaceae,Cleome,diffusa,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1824,1: 241,1051-2,citation,Prodr. [A. P. de Candolle] 1: 241. 1824 [mid Jan 1824] ,FALSE,TRUE,1.4.2.1.1.5,60497-2,urn:lsid:ipni.org:names:60497-2,wfo-0000611233,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/154197&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,154197,mid Jan 1824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_gardneri,Briq.,Briq.,,spec.,/n/60512-2,Capparaceae,Cleome,gardneri,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 381,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 381. 1914 ,FALSE,TRUE,1.2.2.1,60512-2,urn:lsid:ipni.org:names:60512-2,wfo-0000611288,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=381&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_gaudichaudii,Briq.,Briq.,,spec.,/n/60513-2,Capparaceae,Cleome,gaudichaudii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 373,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 373. 1914 ,FALSE,TRUE,1.2.2.1,60513-2,urn:lsid:ipni.org:names:60513-2,wfo-0000611290,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=373&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_glabra,Taub.,Taub.,,spec.,/n/60514-2,Capparaceae,Cleome,glabra,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1905,52(Mém. 3[a]): 19,578-2,citation,Bull. Soc. Bot. France 52(Mém. 3[a]): 19. 1905 Nomen subnudum,FALSE,TRUE,1.4,60514-2,urn:lsid:ipni.org:names:60514-2,wfo-0001290376,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,Nomen subnudum,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_horrida,Mart. ex Schult. & Schult.f.,Mart. ex Schult. & Schult.f.,,spec.,/n/60523-2,Capparaceae,Cleome,horrida,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 15 bis [Roemer & Schultes]",1829,7(1): 32,14665-2,citation,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(1): 32. 1829 ",FALSE,TRUE,1.6,60523-2,urn:lsid:ipni.org:names:60523-2,wfo-0000611339,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=32&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_houstonii,Miq.,Miq.,,spec.,/n/147104-1,Capparaceae,Cleome,houstonii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1846,19(4): 433,703-2,citation,Linnaea 19(4): 433. 1846 [Dec 1846] ,FALSE,TRUE,1.7,147104-1,urn:lsid:ipni.org:names:147104-1,wfo-0000611343,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/108807&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,108807,Dec 1846,NA,NA,NA,as houstoni,NA,NA,NA,nom. illeg. later homonym,nom. illeg.,NA,NA,
Cleome_inermis,Malme,Malme,,spec.,/n/60525-2,Capparaceae,Cleome,inermis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ark. Bot.,1928,"22A, no. 7: 5",536-2,citation,"Ark. Bot. 22A, no. 7: 5. 1928 ",FALSE,TRUE,1.3,60525-2,urn:lsid:ipni.org:names:60525-2,wfo-0000611355,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_microcarpa,Ule,Ule,,spec.,/n/60548-2,Capparaceae,Cleome,microcarpa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1908,42(2-3): 201,553-2,citation,Bot. Jahrb. Syst. 42(2-3): 201. 1908 [29 Dec 1908] ,FALSE,TRUE,1.5,60548-2,urn:lsid:ipni.org:names:60548-2,wfo-0000611432,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=201&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,29 Dec 1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
