name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,referenceRemarks,remarks,typeCoordinates,pageAsText,bhlLink,originalRemarks,originalTaxonDistribution,infraspecies,speciesAuthor,typeRemarks,bibliographicReference,typeChosenBy,nameStatus,nameStatusType,typeNote,collectionDate2,bibliographicTypeInfo
Acacia_platyacantha,Bertol.,Bertol.,,spec.,/n/2927724-1,Leguminosae,Acacia,platyacantha,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,FALSE,NA,,et Giorn. Arcad.,1826,1826,29: 342 (1826);,NA,citation,et Giorn. Arcad. 29: 342 (1826);. ,FALSE,TRUE,NA,1.5,2927724-1,urn:lsid:ipni.org:names:2927724-1,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,,NA,NA,NA,Brazil.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_platyacantha,Bertol.,Bertol.,,spec.,/n/927724-1,Leguminosae,Acacia,platyacantha,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,Hort. Bot. Bonon.,1826,1826,1826: 3,NA,citation,"Hort. Bot. Bonon. 1826: 3. ; cf. D.J. Mabberley in Taxon, 32(1): 82. 1983",FALSE,TRUE,NA,1.5,927724-1,urn:lsid:ipni.org:names:927724-1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,"cf. D.J. Mabberley in Taxon, 32(1): 82. 1983",NA,,NA,NA,NA,Brazil.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adesmia_miottoae,"Cobra, Iganci & Fort.-Perez","Cobra, Iganci & Fort.-Perez",,spec.,/n/77221370-1,Fabaceae,Adesmia,miottoae,tax. nov.,344,T. Cobra &amp; G.M. Cobra,1 Dec 2020,"Rio Grande do Sul (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,"Santa Catarina: São Joaquim, SC-114",,Phytotaxa,2021,23 Sep 2021,521(1): 49,20011462-1,citation,Phytotaxa 521(1): 49. 2021 [23 Sep 2021] [epublished],FALSE,TRUE,holotype BOTU;isotype ICN;isotype MBM;isotype PEL;isotype RB;isotype UEC,1.2,77221370-1,urn:lsid:ipni.org:names:77221370-1,wfo-1000003014,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],"doi:10.11646/phytotaxa.521.1.5 Etymology: the name honours Professor Silvia Terezinha Sfoggia Miotto for her great contribution to Adesmia studies in Brazil, as part of the important work she undertook with the Leguminosae family as a whole, especially in the Rio Grande do Sul state, Brazil.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adesmia_subtropicalis,Cobra,Cobra,,spec.,/n/77221410-1,Fabaceae,Adesmia,subtropicalis,tax. nov.,223,"T.C.Monteiro, I.C.C.Silva, D.S.Gissi, L.M.P.A.Bezerra, &amp; A.P.Fortuna-Perez",3 Nov 2019,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,"Soledade, Road RS-332 from Soledade to Espumoso",,Phytotaxa,2021,30 Sep 2021,521(3): 220,20011462-1,citation,Phytotaxa 521(3): 220. 2021 [30 Sep 2021] [epublished],FALSE,TRUE,holotype BOTU;isotype ICN;isotype HAS;isotype PEL;isotype MBM;isotype RB;isotype UEC,1.1,77221410-1,urn:lsid:ipni.org:names:77221410-1,wfo-1000003020,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],"doi:10.11646/phytotaxa.521.3.7 The specific epithet refers to the species distribution between Pampa (temperate) and Mata Atlantica (tropical), in subtropical southern Brazil.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene_latifolia,Spreng.,Spreng.,,spec.,/n/5956-2,Fabaceae,Aeschynomene,latifolia,tax. nov.,s.n.,F.Sellow,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Syst. Veg., ed. 16 [Sprengel]",1826,Jan-Mar 1826,3: 322,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 3: 322. 1826 [Jan-Mar 1826] ",FALSE,TRUE,null G-DEL,1.1.2.1.1.2,5956-2,urn:lsid:ipni.org:names:5956-2,wfo-0000176060,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.spage=322&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene_laxa,Gleason,Gleason,,spec.,/n/5957-2,Fabaceae,Aeschynomene,laxa,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Torrey Bot. Club,1929,NA,56: 395,586-2,citation,Bull. Torrey Bot. Club 56: 395. 1929 ,FALSE,TRUE,NA,1.3,5957-2,urn:lsid:ipni.org:names:5957-2,wfo-0000176089,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.spage=395&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_bahiensis,N.F.Mattos,N.F.Mattos,,spec.,/n/12566-2,Fabaceae,Andira,bahiensis,tax. nov.,58414,Silva,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Loefgrenia,1970,NA,45: 2,994-2,citation,Loefgrenia 45: 2. 1970 ,FALSE,TRUE,holotype Herb. Univ. Brasilia,1.3,12566-2,urn:lsid:ipni.org:names:12566-2,wfo-0000164255,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_landroana,N.F.Mattos,N.F.Mattos,,spec.,/n/12583-2,Fabaceae,Andira,landroana,tax. nov.,2064,Pereira,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Loefgrenia,1970,NA,40: [1],994-2,citation,Loefgrenia 40: [1]. 1970 ,FALSE,TRUE,holotype R,1.2,12583-2,urn:lsid:ipni.org:names:12583-2,wfo-0000164257,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_lanei,N.F.Mattos,N.F.Mattos,,spec.,/n/12582-2,Fabaceae,Andira,lanei,tax. nov.,s/n,Lane,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Loefgrenia,1970,NA,40: [1],994-2,citation,Loefgrenia 40: [1]. 1970 ,FALSE,TRUE,holotype HB,1.3,12582-2,urn:lsid:ipni.org:names:12582-2,wfo-0000176143,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_zehntneri,Harms,Harms,,spec.,/n/12614-2,Fabaceae,Andira,zehntneri,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 443,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 443. 1921 ,FALSE,TRUE,NA,1.4,12614-2,urn:lsid:ipni.org:names:12614-2,wfo-0000169594,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,181625,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181625&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
