name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,typeRemarks,originalTaxonDistribution,infraspecies,speciesAuthor,referenceRemarks,nameStatus,pageAsText,originalRemarks
Alophia_graniticola,A.Gil,A.Gil,,spec.,/n/77234967-1,Iridaceae,Alophia,graniticola,tax. nov.,244,"A.R. Silva, G.E.A. Fernandes, A.O. Simoes",19 Feb 2017,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,"Parauapebas, FLONA de Carajas (Floresta Nacional de Carajas), Pedra da Harpia, 610 m",,Syst. Bot.,2021,11 Aug 2021,46(2): 297,1295-2,citation,Syst. Bot. 46(2): 297. 2021 [11 Aug 2021] ,"doi:10.1600/036364421X16231782047433 The name refers to the habitat of the species, associated to granitic formations.",FALSE,TRUE,,holotype MG;isotype HCJS;isotype RB,1.1,77234967-1,urn:lsid:ipni.org:names:77234967-1,wfo-1000025422,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypella_aurinegra,Deble & Andrès González,Deble & Andrès González,,spec.,/n/77151631-1,Iridaceae,Cypella,aurinegra,tax. nov.,2250,A.González,7 Apr 2014,"Uruguay (Southern South America, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,"Uruguay: Cerro Largo, Cañada Yerba Sola, 11 km al norte de Puntas del Parao",,Phytotaxa,2015,27 Nov 2015,236(2): 102,20011462-1,citation,Phytotaxa 236(2): 102. 2015 [27 Nov 2015] [epublished],doi:10.11646/phytotaxa.236.2.1,FALSE,TRUE,,holotype MVFA,1.1,77151631-1,urn:lsid:ipni.org:names:77151631-1,wfo-0001344378,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,[epublished],NA,NA,NA
Cypella_cruenta,Deble,Deble,,spec.,/n/77254323-1,Iridaceae,Cypella,cruenta,tax. nov.,18899,L.P.Deble &amp; M.I.Paz-Deble,28 Oct 2018,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,"Bagé, Pedra Grande",,Balduinia,2021,4 Jun 2021,67: 2,20004049-2,citation,Balduinia 67: 2. 2021 [4 Jun 2021] ,"doi:10.5902/2358198066131 The epithet means bloody or covered in blood, and refers to the perigone color, which is conspicuously stained of reddish-brown.",FALSE,TRUE,,holotype PACA,1.1,77254323-1,urn:lsid:ipni.org:names:77254323-1,wfo-1000026599,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbertia_guyunusae,Deble,Deble,,spec.,/n/77307321-1,Iridaceae,Herbertia,guyunusae,tax. nov.,19622,L.P.Deble &amp; B.P.Moreira,7 Nov 2019,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,"São Gabriel, RS473, Cerro do Ouro",,Phytotaxa,2022,25 Oct 2022,570(1): 56,20011462-1,citation,Phytotaxa 570(1): 56. 2022 [25 Oct 2022] [epublished],"doi:10.11646/phytotaxa.570.1.5 Etymology: 'a tribute to María Micaela Guyunusa (1806–1834). Guyunusa was one of the last Charrúa women; she was born in Paysandú and was one of the four Charrúas sent by Francois de Curel to France. She died in Lyon in the year 1834 (Rivet 1930, Asenjo 2007)'.",FALSE,TRUE,,holotype PACA;isotype ICN;isotype SI,1.1,77307321-1,urn:lsid:ipni.org:names:77307321-1,wfo-1000041117,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,[epublished],NA,NA,NA
Marica_helenae,Worsley,Worsley,,spec.,/n/153135-2,Iridaceae,Marica,helenae,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,J. Roy. Hort. Soc.,1904,NA,28: 530,4808-2,citation,J. Roy. Hort. Soc. 28: 530. 1904 ,NA,FALSE,TRUE,,NA,1.2,153135-2,urn:lsid:ipni.org:names:153135-2,wfo-0000785299,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=530&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/79650&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA
Pseudotrimezia_brevistaminea,Chukr,Chukr,,spec.,/n/20010277-1,Iridaceae,Pseudotrimezia,brevistaminea,tax. nov.,NA,A.M.Giulietti; J.R.Pirani; L.R.Parra; M.T.V.Campos,26 Aug 1991,Brazil Southeast (Minas Gerais),FALSE,FALSE,TRUE,"Santana do Riacho, Serra das Bandeirinhas",,"Cadernos Estud. Pesquisas, UNIP (São Paulo)",2001,NA,7: 3 (2001),20000078-1,citation,"Cadernos Estud. Pesquisas, UNIP (São Paulo) 7: 3 (2001). ",NA,FALSE,TRUE,,holotype SPF,1.1,20010277-1,urn:lsid:ipni.org:names:20010277-1,wfo-0000785803,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudotrimezia_pauli,Chukr,Chukr,,spec.,/n/20010279-1,Iridaceae,Pseudotrimezia,pauli,tax. nov.,NA,N.S.Chukr,NA,Brazil Southeast (Minas Gerais),FALSE,FALSE,TRUE,"Diamantina, near Cachoeira da Sentinela",,"Cadernos Estud. Pesquisas, UNIP (São Paulo)",2001,NA,7: 5 (2001),20000078-1,citation,"Cadernos Estud. Pesquisas, UNIP (São Paulo) 7: 5 (2001). ",NA,FALSE,TRUE,,holotype SPF;isotype K,1.1,20010279-1,urn:lsid:ipni.org:names:20010279-1,wfo-0000785812,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sisyrinchium_caratuvense,C.D.Inácio & E.D.Lozano,C.D.Inácio & E.D.Lozano,,spec.,/n/77296873-1,Iridaceae,Sisyrinchium,caratuvense,tax. nov.,4314,E.D.Lozano et al.,15 Jan 2019,"Paraná (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,"Campina Grande do Sul, Cume do Pico Caratuva",,Phytotaxa,2022,25 Mar 2022,541(2): 154,20011462-1,citation,Phytotaxa 541(2): 154. 2022 [25 Mar 2022] [epublished],"doi:10.11646/phytotaxa.541.2.5 Etymology: 'The species epithet refers to the type locality, the Caratuva peak in the Paraná state'.",FALSE,TRUE,,holotype MBM;isotype ICN;isotype RB;isotype SPF,1.1,77296873-1,urn:lsid:ipni.org:names:77296873-1,wfo-1000031014,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,[epublished],NA,NA,NA
Sisyrinchium_iguazuanum,"C.D.Inácio, L.Eggers & Chauveau","C.D.Inácio, L.Eggers & Chauveau",,spec.,/n/77296875-1,Iridaceae,Sisyrinchium,iguazuanum,tax. nov.,612,L.Eggers &amp; T.T.Souza-Chies,19 Nov 2010,"Misiones (Argentina Northeast, Southern South America, Southern America);Paraná (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,"Paraná: Abelardo Luz, BR 280, aprox. km 153 (23 km da cidade de Palmas), 988 m",,Phytotaxa,2022,25 Mar 2022,541(2): 162,20011462-1,citation,Phytotaxa 541(2): 162. 2022 [25 Mar 2022] [epublished],doi:10.11646/phytotaxa.541.2.5,FALSE,TRUE,,holotype ICN;isotype MBM,1.1,77296875-1,urn:lsid:ipni.org:names:77296875-1,wfo-1000031015,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,[epublished],NA,NA,NA
Sisyrinchium_pumillum,Larrañaga,Larrañaga,,spec.,/n/237751-2,Iridaceae,Sisyrinchium,pumillum,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Escritos Damaso Antonio Larranaga,1922,NA,1: 413,1322-2,citation,Escritos Damaso Antonio Larranaga 1: 413. 1922 Pub. Inst. Hist. Geog. Uruguay,NA,FALSE,TRUE,,NA,1.1.1.1,237751-2,urn:lsid:ipni.org:names:237751-2,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Pub. Inst. Hist. Geog. Uruguay,NA,NA,NA
