name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,pageAsText,collectionNumber,collectorTeam,typeLocations,speciesAuthor,remarks,collectionDate1,locality,referenceRemarks,collectionDate2,typeCoordinates,typeRemarks,nameStatus,nameStatusType,originalBasionymAuthorTeam,originalTaxonDistribution,bibliographicReference,typeChosenBy,originalRemarks
Acisanthera_saxatilis,Almeda & R.B.Pacifico,Almeda & R.B.Pacifico,,spec.,/n/77299428-1,Melastomataceae,Acisanthera,saxatilis,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Bot. Brasil.,2022,2 May 2022,"36-e2021abb0281: 2, figs. 1-5",1225-2,citation,"Acta Bot. Brasil. 36-e2021abb0281: 2, figs. 1-5. 2022 [2 May 2022] [epublished]",FALSE,TRUE,1.3,77299428-1,urn:lsid:ipni.org:names:77299428-1,wfo-1000029451,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,416,R. B. Pacifico,holotype HUEM;isotype CAS;isotype CEPEC;isotype K;isotype RB,NA,"Etymology: 'The specific epithet, saxatilis, which means living among rocks, highlights the habitat preference of this species on exposed rocky outcrops of the Chapada dos Guimarães' doi:10.1590/0102-33062021abb0281",5 Jul 2018,"'Chapada dos Guimarães, Parque Nacional da Chapada dos Guimarães, Trilha para o Morro São Jerônimo, (-15.4405, -55.83825), elev. 704 m'",[epublished],NA,,NA,NA,NA,NA,NA,NA,NA,NA
Adelobotrys_acreanus,Wurdack,Wurdack,,spec.,/n/4218-2,Melastomataceae,Adelobotrys,acreanus,tax. nov.,"Acre (Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytologia,1972,NA,24: 195,1034-2,citation,Phytologia 24: 195. 1972 ,FALSE,TRUE,1.4,4218-2,urn:lsid:ipni.org:names:4218-2,wfo-0001082109,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.spage=195&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,12564," P.J.M.Maas, J.F.Lima, K.Kubitzki, W.C.Steward,G.T.Prance, J.F.Ramos, W.S.Pinheiro",holotype US,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Adelobotrys_atlanticus,Schulman,Schulman,,spec.,/n/77095638-1,Melastomataceae,Adelobotrys,atlanticus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,2009,2008 publ. 10 Feb 2009,63(3): 457 (-461; fig. 1),987-2,citation,"Kew Bull. 63(3): 457 (-461; fig. 1). 2009 [2008 publ. 10 Feb 2009] , as 'atlantica'",FALSE,TRUE,1.4,77095638-1,urn:lsid:ipni.org:names:77095638-1,wfo-0000162412,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,20032,R.L.Fróes,holotype NY,NA,NA,Mar 1943,Entre Bom Gosto e Olivença,as 'atlantica',NA,,NA,NA,NA,NA,NA,NA,NA,NA
Adelobotrys_marginatus,Brade,Brade,,spec.,/n/4232-2,Melastomataceae,Adelobotrys,marginatus,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Publ. Inst. Nac. Pesq. Amazonia Bot.,1958,NA,"no. 8: 14, tab. 5",14457-2,citation,"Publ. Inst. Nac. Pesq. Amazonia Bot. no. 8: 14, tab. 5. 1958 ",FALSE,TRUE,1.4,4232-2,urn:lsid:ipni.org:names:4232-2,wfo-0001082003,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Adelobotrys_rachidotrichus,Brade,Brade,,spec.,/n/4239-2,Melastomataceae,Adelobotrys,rachidotrichus,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Publ. Inst. Nac. Pesq. Amazonia Bot.,1958,NA,no. 8: 12,14457-2,citation,Publ. Inst. Nac. Pesq. Amazonia Bot. no. 8: 12. 1958 (as rachidotricha),FALSE,TRUE,1.3.2.1,4239-2,urn:lsid:ipni.org:names:4239-2,wfo-0001279871,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(as rachidotricha),NA,,NA,NA,NA,NA,NA,NA,NA,NA
Adelobotrys_spruceanus,Cogn.,Cogn.,,spec.,/n/4241-2,Melastomataceae,Adelobotrys,spruceanus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1886,1 Dec 1886,"14(4): 18, t. 5, fig. 1",629-2,citation,"Fl. Bras. (Martius) 14(4): 18, t. 5, fig. 1. 1886 [1 Dec 1886] ",FALSE,TRUE,1.7,4241-2,urn:lsid:ipni.org:names:4241-2,wfo-0001082137,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,146951,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Arthrostemma_herbaceum,DC.,DC.,,spec.,/n/328968-2,Melastomataceae,Arthrostemma,herbaceum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1828,mid Mar 1828,3: 137,1051-2,citation,Prodr. [A. P. de Candolle] 3: 137. 1828 [mid Mar 1828] ,FALSE,TRUE,1.4,328968-2,urn:lsid:ipni.org:names:328968-2,wfo-0001267664,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/152939&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,152939,s.n.,C.F.P.Martius,null M,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Arthrostemma_martiusianum,DC.,DC.,,spec.,/n/60465991-2,Melastomataceae,Arthrostemma,martiusianum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1828,mid Mar 1828,3: 137,1051-2,citation,Prodr. [A. P. de Candolle] 3: 137. 1828 [mid Mar 1828] ,FALSE,TRUE,1.1,60465991-2,urn:lsid:ipni.org:names:60465991-2,wfo-1000041878,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=137&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/286&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Arthrostemma_nitidum,Graham,Graham,,spec.,/n/328969-2,Melastomataceae,Arthrostemma,nitidum,tax. nov.,"Rio Grande do Sul (Brazil, Southern America)",FALSE,FALSE,TRUE,,Edinburgh New Philos. J.,1831,NA,13: 186,1435-2,citation,Edinburgh New Philos. J. 13: 186. 1831 ,FALSE,TRUE,1.2,328969-2,urn:lsid:ipni.org:names:328969-2,wfo-0001235300,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1831&rft.spage=186&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/33987&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,991,F.Sellow,null B,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Axinaea_mertensioides,Wurdack,Wurdack,,spec.,/n/27251-2,Melastomataceae,Axinaea,mertensioides,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytologia,1964,NA,9: 409,1034-2,citation,Phytologia 9: 409. 1964 ,FALSE,TRUE,1.3,27251-2,urn:lsid:ipni.org:names:27251-2,wfo-0001082035,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1964&rft.spage=409&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
