name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,typeNote
Abuta_alto-macahensis,Feliz & J.M.A.Braga,Feliz & J.M.A.Braga,,spec.,/n/77303166-1,Menispermaceae,Abuta,alto-macahensis,tax. nov.,2899,R.C.Forzza et al.,4 Mar 2004,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Macaé, estrada Frade - Tapera, próximo ao desvio do Pico do Frade",,Phytotaxa,2022,4 Aug 2022,556(2): 194,20011462-1,citation,Phytotaxa 556(2): 194. 2022 [4 Aug 2022] [epublished],[epublished],doi:10.11646/phytotaxa.556.2.9 Etymology: 'The name refers to the locality where the species was found...we chose to keep the name originally suggested by Rupert C. Barneby...'.,FALSE,TRUE,holotype RB RB827493 [barcode 01457839];isotype NY;isotype R,1.1,77303166-1,urn:lsid:ipni.org:names:77303166-1,wfo-1000029445,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Abuta_bullata,Moldenke,Moldenke,,spec.,/n/136-2,Menispermaceae,Abuta,bullata,tax. nov.,NA,NA,NA,Brazil (Amazonas) &amp; British Guiana,FALSE,FALSE,TRUE,NA,,Brittonia,1938,NA,3: 52,561-2,citation,Brittonia 3: 52. 1938 ,NA,NA,FALSE,TRUE,NA,1.3,136-2,urn:lsid:ipni.org:names:136-2,wfo-0000511630,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Abuta_duckei,Diels,Diels,,spec.,/n/142-2,Menispermaceae,Abuta,duckei,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,NA,5: 352,4221-2,citation,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 352. 1909 ,NA,NA,FALSE,TRUE,NA,1.1.2.1.1.1,142-2,urn:lsid:ipni.org:names:142-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Abuta_froesii,Krukoff & Moldenke,Krukoff & Moldenke,,spec.,/n/146-2,Menispermaceae,Abuta,froesii,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bull. Torrey Bot. Club,1943,NA,70: 404,586-2,citation,Bull. Torrey Bot. Club 70: 404. 1943 ,NA,NA,FALSE,TRUE,NA,1.4,146-2,urn:lsid:ipni.org:names:146-2,wfo-0000511645,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.spage=404&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Abuta_limaciifolia,Diels,Diels,,spec.,/n/148-2,Menispermaceae,Abuta,limaciifolia,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Pflanzenr. (Engler),1910,NA,"4, Fam. 94: 194",3295-2,citation,"Pflanzenr. (Engler) 4, Fam. 94: 194. 1910 ",NA,NA,FALSE,TRUE,NA,1.1.2.1.1.1,148-2,urn:lsid:ipni.org:names:148-2,wfo-0000511652,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Abuta_macrocarpa,Moldenke,Moldenke,,spec.,/n/150-2,Menispermaceae,Abuta,macrocarpa,tax. nov.,NA,NA,NA,British Guiana &amp; Brazil (Amazonas),FALSE,FALSE,TRUE,NA,,Brittonia,1938,NA,3: 51,561-2,citation,Brittonia 3: 51. 1938 ,NA,NA,FALSE,TRUE,NA,1.3,150-2,urn:lsid:ipni.org:names:150-2,wfo-0000511654,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Abuta_manausensis,Krukoff & Barneby,Krukoff & Barneby,,spec.,/n/151-2,Menispermaceae,Abuta,manausensis,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1970,NA,20(2): 20,719-2,citation,Mem. New York Bot. Gard. 20(2): 20. 1970 ,NA,NA,FALSE,TRUE,NA,1.4,151-2,urn:lsid:ipni.org:names:151-2,wfo-0000511657,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1970&rft.issue=2&rft.spage=20&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Abuta_negroensis,Krukoff & Moldenke,Krukoff & Moldenke,,spec.,/n/153-2,Menispermaceae,Abuta,negroensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Torrey Bot. Club,1943,NA,70: 403,586-2,citation,Bull. Torrey Bot. Club 70: 403. 1943 ,NA,NA,FALSE,TRUE,NA,1.4,153-2,urn:lsid:ipni.org:names:153-2,wfo-0000511659,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.spage=403&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
Anomospermum_dielsianum,Moldenke,Moldenke,,spec.,/n/14461-2,Menispermaceae,Anomospermum,dielsianum,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Brittonia,1938,NA,3: 37,561-2,citation,Brittonia 3: 37. 1938 ,NA,NA,FALSE,TRUE,NA,1.3,14461-2,urn:lsid:ipni.org:names:14461-2,wfo-0000538215,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA
Anomospermum_hirsutum,Krukoff & Moldenke,Krukoff & Moldenke,,spec.,/n/14465-2,Menispermaceae,Anomospermum,hirsutum,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bull. Torrey Bot. Club,1943,NA,70: 401,586-2,citation,Bull. Torrey Bot. Club 70: 401. 1943 ,NA,NA,FALSE,TRUE,NA,1.4,14465-2,urn:lsid:ipni.org:names:14465-2,wfo-0000538219,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.spage=401&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA
