name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,remarks,typeLocations,bhlLink,publicationYearNote,infraspecies,pageAsText,referenceRemarks,collectionDate1,locality,typeCoordinates,speciesAuthor,originalBasionymAuthorTeam,originalTaxonDistribution,nameStatus,nameStatusType,typeRemarks
Artocarpus_brasiliensis,Gomes,Gomes,,spec.,/n/60458788-2,Moraceae,Artocarpus,brasiliensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Observ. Bot.-Med. Nonnullis Bras. Pl.,1803,"2: 34, t. 5",18395-2,citation,"Observ. Bot.-Med. Nonnullis Bras. Pl. 2: 34, t. 5. 1803 ",FALSE,TRUE,1.1.2.2,60458788-2,urn:lsid:ipni.org:names:60458788-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Brosimum_microcarpum,Schott,Schott,,spec.,/n/850835-1,Moraceae,Brosimum,microcarpum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 16 [Sprengel]",1827,"4(2, Cur. Post.): 403",14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 4(2, Cur. Post.): 403. 1827 [Jan-Jun 1827] ",FALSE,TRUE,1.1.2.12.1.3,850835-1,urn:lsid:ipni.org:names:850835-1,wfo-0000572424,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Jan-Jun 1827,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Brosimum_uleanum,Mildbr.,Mildbr.,,spec.,/n/37314-2,Moraceae,Brosimum,uleanum,tax. nov.,"Peru, Brazil",FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1927,10: 191,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 10: 191. 1927 ,FALSE,TRUE,1.3,37314-2,urn:lsid:ipni.org:names:37314-2,wfo-0000572450,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1927&rft.spage=191&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Dorstenia_albertii,"Carauta, C.Valente & Sucre","Carauta, C.Valente & Sucre",,spec.,/n/306634-2,Moraceae,Dorstenia,albertii,tax. nov.,"Mpio. de Mimoso do Sul: vertente suleste de morro, ca. 30¹m, Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Atas Soc. Biol. Rio de Janeiro,1974,17: 63-67,11858-2,citation,Atas Soc. Biol. Rio de Janeiro 17: 63-67. 1974 ,FALSE,TRUE,1.2.1.2,306634-2,urn:lsid:ipni.org:names:306634-2,wfo-0000654258,FALSE,TRUE,TRUE,FALSE,FALSE,8920,"D.B.Sucre, T.R.Soderstrom",NA,holotype RB;isotype GUA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Dorstenia_macahensis,Glaz.,Glaz.,,spec.,/n/83086-2,Moraceae,Dorstenia,macahensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 640,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 640. 1913 ,FALSE,TRUE,1.4,83086-2,urn:lsid:ipni.org:names:83086-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,nom. nud.?,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Dorstenia_mariae,"Carauta, J.M.Albuq. & R.M.Castro","Carauta, J.M.Albuq. & R.M.Castro",,spec.,/n/323485-2,Moraceae,Dorstenia,mariae,tax. nov.,"Mun. de Guarapari, 20°31'27S, 40°39'14W, Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Albertoa,2002,8: 54 (53-56; fig.),3517-2,citation,Albertoa 8: 54 (53-56; fig.). 2002 [Jun 2002] ,FALSE,TRUE,1.6,323485-2,urn:lsid:ipni.org:names:323485-2,wfo-0000654511,FALSE,TRUE,TRUE,FALSE,FALSE,7130," E.Cramasco, D.Assumpçao, B.E.Diaz,J.P.P.Carauta, R.A.Kaustky",Eponymy: specific epithet honors: Maria Werneck de Castro (1905-2000),holotype R;isotype GUA;isotype HB;isotype RB;isotype UNB,NA,Jun 2002,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Dorstenia_pseudo-opifera,Hassl.,Hassl.,,spec.,/n/83107-2,Moraceae,Dorstenia,pseudo-opifera,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1919,21: 117,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 21: 117. 1919 ,FALSE,TRUE,1.3,83107-2,urn:lsid:ipni.org:names:83107-2,wfo-0000654603,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=117&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_carautia,L.J.Neves & Emygdio,L.J.Neves & Emygdio,,spec.,/n/306768-2,Moraceae,Ficus,carautia,tax. nov.,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,FALSE,,Bradea,1992,"6: 37, fig. 2",1276-2,citation,"Bradea 6: 37, fig. 2. 1992 ",FALSE,TRUE,1.3,306768-2,urn:lsid:ipni.org:names:306768-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,5078,L.Emygdio de Mello Filho,NA,holotype R,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_doratophylla,Warb.,Warb.,,spec.,/n/104506-2,Moraceae,Ficus,doratophylla,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104506-2,urn:lsid:ipni.org:names:104506-2,wfo-0001084879,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_erubescens,Warb.,Warb.,,spec.,/n/104519-2,Moraceae,Ficus,erubescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104519-2,urn:lsid:ipni.org:names:104519-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
