name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,locality,collectionDate1,originalRemarks,referenceRemarks,typeCoordinates,remarks,originalTaxonDistribution,typeRemarks,bibliographicReference,typeChosenBy,nameStatus,nameStatusType,originalBasionymAuthorTeam
Britoa_kiaerskowiana,Glaz.,Glaz.,,spec.,/n/36564-2,Myrtaceae,Britoa,kiaerskowiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1908,NA,54(Mém. 3c): 205,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 205. 1908 ,FALSE,TRUE,NA,1.3,36564-2,urn:lsid:ipni.org:names:36564-2,wfo-0001086438,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Britoa_langsdorffii,Nied.,Nied.,,spec.,/n/36565-2,Myrtaceae,Britoa,langsdorffii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Nat. Pflanzenfam. [Engler & Prantl],1893,NA,"3, Abt. 7: 74",14495-2,citation,"Nat. Pflanzenfam. [Engler & Prantl] 3, Abt. 7: 74. 1893 ",FALSE,TRUE,NA,1.6,36565-2,urn:lsid:ipni.org:names:36565-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Calycorectes_wurdackii,McVaugh,McVaugh,,spec.,/n/43091-2,Myrtaceae,Calycorectes,wurdackii,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,1969,NA,18(2): 225,719-2,citation,Mem. New York Bot. Gard. 18(2): 225. 1969 ,FALSE,TRUE,NA,1.4,43091-2,urn:lsid:ipni.org:names:43091-2,wfo-0000782799,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1969&rft.issue=2&rft.spage=225&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Calyptranthes_longipedunculata,Mattos & D.Legrand,Mattos & D.Legrand,,spec.,/n/43291-2,Myrtaceae,Calyptranthes,longipedunculata,tax. nov.,18950,G.Hatschbach,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Loefgrenia,1975,NA,no. 67: 18,994-2,citation,Loefgrenia no. 67: 18. 1975 ,FALSE,TRUE,holotype MVM,1.3,43291-2,urn:lsid:ipni.org:names:43291-2,wfo-0001086216,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Calyptranthes_maxima,McVaugh,McVaugh,,spec.,/n/43308-2,Myrtaceae,Calyptranthes,maxima,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Fieldiana, Bot.",1956,NA,29: 182,626-2,citation,"Fieldiana, Bot. 29: 182. 1956 ",FALSE,TRUE,NA,1.3,43308-2,urn:lsid:ipni.org:names:43308-2,wfo-0000786074,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Campomanesia_houlletti,O.Berg,O.Berg,,spec.,/n/273983-2,Myrtaceae,Campomanesia,houlletti,tax. nov.,s.n.,Houllet,Brazil (Southern America),FALSE,FALSE,FALSE,142093,,Fl. Bras. (Martius),1857,15 May 1857,14(1): 449,629-2,citation,Fl. Bras. (Martius) 14(1): 449. 1857 [15 May 1857] ,FALSE,TRUE,lectotype BR,1.8,273983-2,urn:lsid:ipni.org:names:273983-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142093&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ciposia_mandapuca,Silveira,Silveira,,spec.,/n/58882-2,Myrtaceae,Ciposia,mandapuca,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Revista Mus. Paul. Univ. Sao Paulo,1918,NA,"10: 156, pl",1573-2,citation,"Revista Mus. Paul. Univ. Sao Paulo 10: 156, pl. 1918 ",FALSE,TRUE,NA,1.2,58882-2,urn:lsid:ipni.org:names:58882-2,wfo-0001353838,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1918&rft.spage=156&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/10241&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_acutifolia,Glaz.,Glaz.,,spec.,/n/98001-2,Myrtaceae,Eugenia,acutifolia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1908,NA,54(Mém. 3c): 227,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 227. 1908 ,FALSE,TRUE,NA,1.4,98001-2,urn:lsid:ipni.org:names:98001-2,wfo-0001086439,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_aeterna,Mazine & Valdemarin,Mazine & Valdemarin,,spec.,/n/77315377-1,Myrtaceae,Eugenia,aeterna,tax. nov.,2331,"I.Cordeiro, M.R.F.Melo &amp; M.C.H.Mamede","São Paulo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Phytotaxa,2023,2 Mar 2023,585(3): 234,20011462-1,citation,Phytotaxa 585(3): 234. 2023 [2 Mar 2023] [epublished],FALSE,TRUE,holotype SP SP028642;isotype NY NY00777088;isotype RB RB00308175;isotype SPF SPF00150415;isotype SPSF,1.1,77315377-1,urn:lsid:ipni.org:names:77315377-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,"Caraguatatuba, Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Jequitibá",27 Sep 2000,NA,[epublished],,"doi:10.11646/phytotaxa.585.3.5 Etymology: 'The epithet refers to the long-lasting cataphylls, being persistent until mature twigs'.",NA,NA,NA,NA,NA,NA,NA
Eugenia_brevistila,D.Legrand,D.Legrand,,spec.,/n/98129-2,Myrtaceae,Eugenia,brevistila,tax. nov.,8426," A.Bresolin,R.M.Klein",Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Ilustr. Catarin.,1977,NA,"MIRT-SUPL: 18 (-22), figs.",2164-2,citation,"Fl. Ilustr. Catarin. MIRT-SUPL: 18 (-22), figs. 1977 ",FALSE,TRUE,holotype MVM,1.2,98129-2,urn:lsid:ipni.org:names:98129-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_campininha,"H.J.T.Muniz, Morschbaker & Sobral","H.J.T.Muniz, Morschbaker & Sobral",,spec.,/n/77327153-1,Myrtaceae,Eugenia,campininha,tax. nov.,3,H.J.T.Muniz,"São Paulo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Phytotaxa,2023,14 Sep 2023,613(3): 297,20011462-1,citation,Phytotaxa 613(3): 297. 2023 [14 Sep 2023] [epublished],FALSE,TRUE,holotype RB;isotype HUFSJ,1.1,77327153-1,urn:lsid:ipni.org:names:77327153-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,Campina do Monte Alegre: Sítio Frutas Raras,17 Oct 2021,NA,[epublished],,doi:10.11646/phytotaxa.613.3.10 Etymology: the specific epithet is a noun in apposition referring to the name that the inhabitants of the municipality of Campina do Monte Alegre refer to the town where the new species was collected: 'Campininha' i.e. 'small field' in Portuguese.,NA,NA,NA,NA,NA,NA,NA
Eugenia_canumana,M.A.D.Souza & Sobral,M.A.D.Souza & Sobral,,spec.,/n/77260806-1,Myrtaceae,Eugenia,canumana,tax. nov.,814,"A.S.S.Holanda, L.O.Demarchi, R.Braga-Neto, Y.O.Feitosa &amp; A.T.Melo","Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytotaxa,2022,28 Feb 2022,536(3): 199,20011462-1,citation,Phytotaxa 536(3): 199. 2022 [28 Feb 2022] [epublished],FALSE,TRUE,holotype INPA;isotype HUFSJ,1.1,77260806-1,urn:lsid:ipni.org:names:77260806-1,wfo-1000030070,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"Maués, rio Abacaxis, igapó",7 Aug 2015,NA,[epublished],,doi:10.11646/phytotaxa.536.3.1 Etymology: The specific epithet refers to the river Canumã.,NA,NA,NA,NA,NA,NA,NA
Eugenia_chrysophylla,O.Berg,O.Berg,,spec.,/n/326107-2,Myrtaceae,Eugenia,chrysophylla,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,142248,,Fl. Bras. (Martius),1859,15 Jan 1859,14(1): 583,629-2,citation,Fl. Bras. (Martius) 14(1): 583. 1859 [15 Jan 1859] ,FALSE,TRUE,NA,1.5,326107-2,urn:lsid:ipni.org:names:326107-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142248&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_curvato-petiolata,Kiaersk.,Kiaersk.,,spec.,/n/98276-2,Myrtaceae,Eugenia,curvato-petiolata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Enum. Myrt. Bras.,1893,NA,"133, pl. 18, fig. d",14271-2,citation,"Enum. Myrt. Bras. 133, pl. 18, fig. d. 1893 ",FALSE,TRUE,NA,1.2,98276-2,urn:lsid:ipni.org:names:98276-2,wfo-0000957029,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_debilis,Glaz.,Glaz.,,spec.,/n/98285-2,Myrtaceae,Eugenia,debilis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1908,NA,54(Mém. 3c): 231,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 231. 1908 ,FALSE,TRUE,NA,1.4,98285-2,urn:lsid:ipni.org:names:98285-2,wfo-0001086447,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_dichasiata,Giaretta,Giaretta,,spec.,/n/77222372-1,Myrtaceae,Eugenia,dichasiata,tax. nov.,3141,P.Fiaschi &amp; A.Q.Lobão,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,TRUE,NA,,Phytotaxa,2021,5 Nov 2021,524(3): 151,20011462-1,citation,Phytotaxa 524(3): 151. 2021 [5 Nov 2021] [epublished],FALSE,TRUE,holotype SPF 176157;isotype BHCB;isotype K;isotype RB 00484917,1.2,77222372-1,urn:lsid:ipni.org:names:77222372-1,wfo-1000027002,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"Rio de Janeiro: Magé, estrada da Parada Modelo para Cachoeiras de Macacu, ramal de acesso ao Centro de Primatologia da FEEMA, c. 50 m",2 Sep 2006,NA,[epublished],,doi:10.11646/phytotaxa.524.3.1 The specific epithet refers to the dichasial arrangement of the inflorescence.,NA,NA,NA,NA,NA,NA,NA
Eugenia_emarginata,Glaz.,Glaz.,,spec.,/n/98348-2,Myrtaceae,Eugenia,emarginata,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1908,NA,54(Mém. 3c): 235,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 235. 1908 ,FALSE,TRUE,NA,1.4,98348-2,urn:lsid:ipni.org:names:98348-2,wfo-0001086369,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_formossa,Cambess.,Cambess.,,spec.,/n/306446-2,Myrtaceae,Eugenia,formossa,tax. nov.,NA,Laruotte,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Fl. Bras. Merid. (A. St.-Hil.).,1832,NA,2: 354,8262-2,citation,Fl. Bras. Merid. (A. St.-Hil.). 2: 354. 1832 ,FALSE,TRUE,holotype P,1.4,306446-2,urn:lsid:ipni.org:names:306446-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1832&rft.spage=354&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_gamaeana,Glaz.,Glaz.,,spec.,/n/98419-2,Myrtaceae,Eugenia,gamaeana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1908,NA,54(Mém. 3c): 233,578-2,citation,Bull. Soc. Bot. France 54(Mém. 3c): 233. 1908 ,FALSE,TRUE,NA,1.4,98419-2,urn:lsid:ipni.org:names:98419-2,wfo-0001086448,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_guaquica,Kiaersk.,Kiaersk.,,spec.,/n/98459-2,Myrtaceae,Eugenia,guaquica,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Enum. Myrt. Bras.,1893,NA,"181, pl. 11, fig. 6; pl. 24, fig. e",14271-2,citation,"Enum. Myrt. Bras. 181, pl. 11, fig. 6; pl. 24, fig. e. 1893 Warming, Symb. Fl. Bras. cent., part. 39",FALSE,TRUE,NA,1.2,98459-2,urn:lsid:ipni.org:names:98459-2,wfo-0001357574,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Warming, Symb. Fl. Bras. cent., part. 39",,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia_humaitana,Sobral & M.A.D.Souza,Sobral & M.A.D.Souza,,spec.,/n/77260807-1,Myrtaceae,Eugenia,humaitana,tax. nov.,145,"G.Vieira, J.Zarucchi, A.S.L.Silva, C.D.A.Mota &amp; O.P.Monteiro","Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytotaxa,2022,28 Feb 2022,536(3): 200,20011462-1,citation,Phytotaxa 536(3): 200. 2022 [28 Feb 2022] [epublished],FALSE,TRUE,holotype INPA;isotype MO;isotype NY;isotype RB;isotype US,1.1,77260807-1,urn:lsid:ipni.org:names:77260807-1,wfo-1000030071,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"Humaitá, rodovia do estanho, a 150 km de Humaitá",25 Sep 1979,NA,[epublished],,doi:10.11646/phytotaxa.536.3.1 Etymology: The specific epithet refers to the municipality of Humaitá.,NA,NA,NA,NA,NA,NA,NA
Eugenia_inaracayuensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/98631-2,Myrtaceae,Eugenia,inaracayuensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Myrt. Paraguay,1903,NA,"3, pl. 4",14376-2,citation,"Myrt. Paraguay 3, pl. 4. 1903 ",FALSE,TRUE,NA,1.2,98631-2,urn:lsid:ipni.org:names:98631-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
