name,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,authors,publishingAuthor,wfoId,bhlLink,nameStatus,nameStatusType,referenceRemarks,originalTaxonDistribution,publicationYearNote,collectionNumber,collectorTeam,collectionDate1,locality,pageAsText,typeLocations,speciesAuthor,remarks,typeCoordinates,typeRemarks
Blastemanthus_densiflorus,,spec.,/n/33467-2,Ochnaceae,Blastemanthus,densiflorus,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,Recueil Trav. Bot. Néerl.,1914,10: 354,1056-2,citation,Recueil Trav. Bot. Néerl. 10: 354. 1914 ,FALSE,TRUE,1.4,33467-2,urn:lsid:ipni.org:names:33467-2,FALSE,TRUE,TRUE,FALSE,FALSE,Hallier f.,Hallier f.,wfo-0000566435,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=354&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/14679&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Blastemanthus_speleicola,,spec.,/n/33473-2,Ochnaceae,Blastemanthus,speleicola,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,,Floral. Mont.,1928,"274, tab. 182",5697-2,citation,"Floral. Mont. 274, tab. 182. 1928 ",FALSE,TRUE,1.2,33473-2,urn:lsid:ipni.org:names:33473-2,FALSE,FALSE,TRUE,FALSE,FALSE,Silveira,Silveira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Cercouratea_acuta,,spec.,/n/52721-2,Ochnaceae,Cercouratea,acuta,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 277",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 277. 1902 ",FALSE,TRUE,1.4,52721-2,urn:lsid:ipni.org:names:52721-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000596670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Cercouratea_barrae,,spec.,/n/52724-2,Ochnaceae,Cercouratea,barrae,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 272",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 272. 1902 ",FALSE,TRUE,1.4,52724-2,urn:lsid:ipni.org:names:52724-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000596674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Cercouratea_erythrocalyx,,spec.,/n/52731-2,Ochnaceae,Cercouratea,erythrocalyx,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 276",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 276. 1902 ",FALSE,TRUE,1.5,52731-2,urn:lsid:ipni.org:names:52731-2,TRUE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000596681,NA,"nom. inval.    , contrary to Art. 36.1.(b) ICN (2012)",nom. inval.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Cercouratea_laxa,,spec.,/n/52738-2,Ochnaceae,Cercouratea,laxa,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 273",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 273. 1902 ",FALSE,TRUE,1.4,52738-2,urn:lsid:ipni.org:names:52738-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000596689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Cercouratea_repens,,spec.,/n/52745-2,Ochnaceae,Cercouratea,repens,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 277",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 277. 1902 ",FALSE,TRUE,1.4,52745-2,urn:lsid:ipni.org:names:52745-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000596697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Cespedesia_brasiliana,,spec.,/n/53453-2,Ochnaceae,Cespedesia,brasiliana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,,J. Bot. (Morot),1904,18: 57,3159-2,citation,"J. Bot. (Morot) 18: 57. 1904 Ann. Sci. Nat. Bot. ser. 8, 19: 51.  1904",FALSE,TRUE,1.2,53453-2,urn:lsid:ipni.org:names:53453-2,TRUE,FALSE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=57&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,"Ann. Sci. Nat. Bot. ser. 8, 19: 51.  1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Charidion_angustifolium,,spec.,/n/895784-1,Ochnaceae,Charidion,angustifolium,tax. nov.,Brazil.,FALSE,FALSE,NA,TRUE,,Bull. Sci. Acad. Imp. Sci. Saint-Pétersbourg,1836,1(15): 116 (1836),NA,citation,Bull. Sci. Acad. Imp. Sci. Saint-Pétersbourg 1(15): 116 (1836). ,FALSE,TRUE,1.5,895784-1,urn:lsid:ipni.org:names:895784-1,FALSE,TRUE,TRUE,TRUE,FALSE,Bong.,Bong.,wfo-0000599867,NA,NA,NA,NA,Brazil.,1836,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Charidion_cordatum,,spec.,/n/895785-1,Ochnaceae,Charidion,cordatum,tax. nov.,Brazil.,FALSE,FALSE,NA,TRUE,,Bull. Sci. Acad. Imp. Sci. Saint-Pétersbourg,1836,1(15): 116 (1836),NA,citation,Bull. Sci. Acad. Imp. Sci. Saint-Pétersbourg 1(15): 116 (1836). ,FALSE,TRUE,1.5,895785-1,urn:lsid:ipni.org:names:895785-1,FALSE,TRUE,TRUE,TRUE,FALSE,Bong.,Bong.,wfo-0000599868,NA,NA,NA,NA,Brazil.,1836,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Elvasia_sprucei,,spec.,/n/90157-2,Ochnaceae,Elvasia,sprucei,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,,"Ann. Sci. Nat., Bot.",1902,"sér. 8, 16: 409",525-2,citation,"Ann. Sci. Nat., Bot. sér. 8, 16: 409. 1902 ",FALSE,TRUE,1.4,90157-2,urn:lsid:ipni.org:names:90157-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000666576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Epiblepharis_gardneri,,spec.,/n/91157-2,Ochnaceae,Epiblepharis,gardneri,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,J. Bot. (Morot),1901,15: 392,3159-2,citation,J. Bot. (Morot) 15: 392. 1901 ,FALSE,TRUE,1.3,91157-2,urn:lsid:ipni.org:names:91157-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000668537,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.spage=392&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Epiblepharis_glazioviana,,spec.,/n/91158-2,Ochnaceae,Epiblepharis,glazioviana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,J. Bot. (Morot),1901,15: 392,3159-2,citation,J. Bot. (Morot) 15: 392. 1901 ,FALSE,TRUE,1.3,91158-2,urn:lsid:ipni.org:names:91158-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000668538,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.spage=392&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Epiblepharis_major,,spec.,/n/91159-2,Ochnaceae,Epiblepharis,major,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,,J. Bot. (Morot),1901,15: 393,3159-2,citation,J. Bot. (Morot) 15: 393. 1901 ,FALSE,TRUE,1.3,91159-2,urn:lsid:ipni.org:names:91159-2,FALSE,TRUE,TRUE,FALSE,FALSE,Tiegh.,Tiegh.,wfo-0000668539,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.spage=393&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
