name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionDate1,locality,publicationYearNote,referenceRemarks,remarks,pageAsText,infraspecies,bibliographicReference,typeChosenBy
Aptandropsis_amphoricarpa,Ducke,Ducke,,spec.,/n/16753-2,Olacaceae,Aptandropsis,amphoricarpa,tax. nov.,1664,A.Ducke,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Tecn. Inst. Agron. N.,1945,"no. 4: 6, pl",860-2,citation,"Bol. Tecn. Inst. Agron. N. no. 4: 6, pl. 1945 ",FALSE,TRUE,lectotype IAN,1.3,16753-2,urn:lsid:ipni.org:names:16753-2,wfo-0000540970,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aptandropsis_discophora,Ducke,Ducke,,spec.,/n/16754-2,Olacaceae,Aptandropsis,discophora,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Tecn. Inst. Agron. N.,1945,"no. 4: 7, tab. 2",860-2,citation,"Bol. Tecn. Inst. Agron. N. no. 4: 7, tab. 2. 1945 ",FALSE,TRUE,NA,1.3,16754-2,urn:lsid:ipni.org:names:16754-2,wfo-0000540971,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathedra_bahiensis,Sleumer,Sleumer,,spec.,/n/50078-2,Olacaceae,Cathedra,bahiensis,tax. nov.,18031,R.M.Harley et al.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Fl. Neotrop. Monogr.,1984,"38: 111, fig",944-2,citation,"Fl. Neotrop. Monogr. 38: 111, fig. 1984 ",FALSE,TRUE,holotype K,1.3,50078-2,urn:lsid:ipni.org:names:50078-2,wfo-0000590951,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathedra_grandiflora,Loes.,Loes.,,spec.,/n/50080-2,Olacaceae,Cathedra,grandiflora,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Flora,1889,72 (n. s. 47): 75,648-2,citation,Flora 72 (n. s. 47): 75. 1889 ,FALSE,TRUE,NA,1.3,50080-2,urn:lsid:ipni.org:names:50080-2,wfo-0000590956,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathedra_inaequilatera,Sleumer,Sleumer,,spec.,/n/50082-2,Olacaceae,Cathedra,inaequilatera,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1936,39: 280,788-2,citation,Repert. Spec. Nov. Regni Veg. 39: 280. 1936 ,FALSE,TRUE,NA,1.3,50082-2,urn:lsid:ipni.org:names:50082-2,wfo-0000590958,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=280&rft.volume=39&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathedra_oblonga,Sleumer,Sleumer,,spec.,/n/50083-2,Olacaceae,Cathedra,oblonga,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1936,39: 280,788-2,citation,Repert. Spec. Nov. Regni Veg. 39: 280. 1936 ,FALSE,TRUE,NA,1.3,50083-2,urn:lsid:ipni.org:names:50083-2,wfo-0000590959,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=280&rft.volume=39&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathedra_rupestris,D.S.Lucena & M.Alves,D.S.Lucena & M.Alves,,spec.,/n/77254925-1,Olacaceae,Cathedra,rupestris,tax. nov.,13097,S.A.Mori &amp; F.P.Benton,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Syst. Bot.,2021,46(3): 709,1295-2,citation,Syst. Bot. 46(3): 709. 2021 [25 Oct 2021] [epublished],FALSE,TRUE,holotype CEPEC 18843;isotype L L1665078;isotype NY NY00396123;isotype RB RB00268638,1.2,77254925-1,urn:lsid:ipni.org:names:77254925-1,wfo-1000025982,TRUE,TRUE,TRUE,FALSE,FALSE,NA,21 Dec 1979,"Andaraí, Nova Rodovia Andaraí/Mucugê",25 Oct 2021,[epublished],doi:10.1600/036364421X16312067913336,NA,NA,NA,NA
Chaunochiton_angustifolium,Sleumer,Sleumer,,spec.,/n/55670-2,Olacaceae,Chaunochiton,angustifolium,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1937,42: 261,788-2,citation,Repert. Spec. Nov. Regni Veg. 42: 261. 1937 ,FALSE,TRUE,NA,1.3,55670-2,urn:lsid:ipni.org:names:55670-2,wfo-0000599962,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=261&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaunochiton_breviflorum,Ducke,Ducke,,spec.,/n/55671-2,Olacaceae,Chaunochiton,breviflorum,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,3: 41,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 3: 41. 1922 ,FALSE,TRUE,NA,1.3,55671-2,urn:lsid:ipni.org:names:55671-2,wfo-0000599963,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaunochiton_mouririoides,A.C.Sm.,A.C.Sm.,,spec.,/n/55673-2,Olacaceae,Chaunochiton,mouririoides,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1936,2: 148,561-2,citation,Brittonia 2: 148. 1936 ,FALSE,TRUE,NA,1.3,55673-2,urn:lsid:ipni.org:names:55673-2,wfo-0000599966,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curupira_tefeensis,G.A.Black,G.A.Black,,spec.,/n/72734-2,Olacaceae,Curupira,tefeensis,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Tecn. Inst. Agron. N.,1948,"15: 17, tab",860-2,citation,"Bol. Tecn. Inst. Agron. N. 15: 17, tab. 1948 ",FALSE,TRUE,NA,1.3,72734-2,urn:lsid:ipni.org:names:72734-2,wfo-0000630895,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Douradoa_consimilis,Sleumer,Sleumer,,spec.,/n/83332-2,Olacaceae,Douradoa,consimilis,tax. nov.,1082,N.T.da Silva,"Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Fl. Neotrop. Monogr.,1984,"no. 38: 138, fig",944-2,citation,"Fl. Neotrop. Monogr. no. 38: 138, fig. 1984 ",FALSE,TRUE,holotype IAN,1.3,83332-2,urn:lsid:ipni.org:names:83332-2,wfo-0000654827,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eganthus_poeppigii,Tiegh.,Tiegh.,,spec.,/n/88855-2,Olacaceae,Eganthus,poeppigii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,J. Bot. (Morot),1899,13: 77,3159-2,citation,J. Bot. (Morot) 13: 77. 1899 ,FALSE,TRUE,NA,1.3,88855-2,urn:lsid:ipni.org:names:88855-2,wfo-0000663310,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1899&rft.spage=77&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heisteria_amazonica,Sleumer,Sleumer,,spec.,/n/118582-2,Olacaceae,Heisteria,amazonica,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1935,38: 206,788-2,citation,Repert. Spec. Nov. Regni Veg. 38: 206. 1935 ,FALSE,TRUE,NA,1.3,118582-2,urn:lsid:ipni.org:names:118582-2,wfo-0000717100,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=206&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heisteria_burchellii,Hochr.,Hochr.,,spec.,/n/118590-2,Olacaceae,Heisteria,burchellii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. New York Bot. Gard.,1910,6: 271,577-2,citation,Bull. New York Bot. Gard. 6: 271. 1910 ,FALSE,TRUE,NA,1.3,118590-2,urn:lsid:ipni.org:names:118590-2,wfo-0000717106,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.spage=271&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/44786&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heisteria_duckei,Sleumer,Sleumer,,spec.,/n/118602-2,Olacaceae,Heisteria,duckei,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1935,38: 207,788-2,citation,Repert. Spec. Nov. Regni Veg. 38: 207. 1935 ,FALSE,TRUE,NA,1.3,118602-2,urn:lsid:ipni.org:names:118602-2,wfo-0000717119,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=207&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heisteria_insculpta,Sleumer,Sleumer,,spec.,/n/118607-2,Olacaceae,Heisteria,insculpta,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1934,12: 65,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 12: 65. 1934 ,FALSE,TRUE,NA,1.3,118607-2,urn:lsid:ipni.org:names:118607-2,wfo-0000717126,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=65&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heisteria_krukovii,A.C.Sm.,A.C.Sm.,,spec.,/n/118611-2,Olacaceae,Heisteria,krukovii,tax. nov.,NA,NA,"Acre (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1936,2: 147,561-2,citation,Brittonia 2: 147. 1936 ,FALSE,TRUE,NA,1.3,118611-2,urn:lsid:ipni.org:names:118611-2,wfo-0001087260,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
