name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,infraspecies,speciesAuthor,originalRemarks,nameStatus,nameStatusType,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates
Fuchsia_camos-portoi,Pilg.,Pilg.,,spec.,/n/277261-2,Onagraceae,Fuchsia,camos-portoi,tax. nov.,31," Brade,Pilger",Brazil (Southern America),FALSE,FALSE,FALSE,,Notizbl. Bot. Gart. Berlin-Dahlem,1935,NA,12: 470,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 12: 470. 1935 ,FALSE,TRUE,lectotype RB,1.4,277261-2,urn:lsid:ipni.org:names:277261-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=470&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Fuchsia_fontinalis,J.F.Macbr.,J.F.Macbr.,,spec.,/n/106182-2,Onagraceae,Fuchsia,fontinalis,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Candollea,1940,NA,8: 25,885-2,citation,Candollea 8: 25. 1940 ,FALSE,TRUE,NA,1.5,106182-2,urn:lsid:ipni.org:names:106182-2,wfo-0000692725,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Fuchsia_llewelynii,J.F.Macbr.,J.F.Macbr.,,spec.,/n/106210-2,Onagraceae,Fuchsia,llewelynii,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1941,NA,"13, pt. 4: 556",1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13, pt. 4: 556. 1941 ",FALSE,TRUE,NA,1.6,106210-2,urn:lsid:ipni.org:names:106210-2,wfo-0000692771,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Fuchsia_mathewsii,J.F.Macbr.,J.F.Macbr.,,spec.,/n/106230-2,Onagraceae,Fuchsia,mathewsii,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Candollea,1940,NA,8: 24,885-2,citation,Candollea 8: 24. 1940 ,FALSE,TRUE,NA,1.5,106230-2,urn:lsid:ipni.org:names:106230-2,wfo-0000692803,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Fuchsia_santos-limae,Brade,Brade,,spec.,/n/106276-2,Onagraceae,Fuchsia,santos-limae,tax. nov.,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1957,NA,"15: 10, tab. 2",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 15: 10, tab. 2. 1957 ",FALSE,TRUE,NA,1.5,106276-2,urn:lsid:ipni.org:names:106276-2,wfo-0000692890,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Fuchsia_woytkowskii,J.F.Macbr.,J.F.Macbr.,,spec.,/n/106311-2,Onagraceae,Fuchsia,woytkowskii,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1941,NA,"13, pt. 4: 566",1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13, pt. 4: 566. 1941 ",FALSE,TRUE,NA,1.6,106311-2,urn:lsid:ipni.org:names:106311-2,wfo-0000692947,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Fuchsia_wurdackii,Munz,Munz,,spec.,/n/106312-2,Onagraceae,Fuchsia,wurdackii,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Brittonia,1964,NA,16: 229,561-2,citation,Brittonia 16: 229. 1964 ,FALSE,TRUE,NA,1.5,106312-2,urn:lsid:ipni.org:names:106312-2,wfo-0000692948,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lopezia_glazioui,H.Lév.,H.Lév.,,spec.,/n/143520-2,Onagraceae,Lopezia,glazioui,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1907,NA,4: 226,788-2,citation,Repert. Spec. Nov. Regni Veg. 4: 226. 1907 ,FALSE,TRUE,NA,1.4,143520-2,urn:lsid:ipni.org:names:143520-2,wfo-0000443298,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/233038&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,233038,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ludwigia_humboldtiana,"Funez, D.M.Farias, Hassemer & Gasper","Funez, D.M.Farias, Hassemer & Gasper",,spec.,/n/77212689-1,Onagraceae,Ludwigia,humboldtiana,tax. nov.,9375,L.A. Funez &amp; A.E. Zermiani,"Santa Catarina (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2020,2 Nov 2020,470(1): 80,20011462-1,citation,Phytotaxa 470(1): 80. 2020 [2 Nov 2020] [epublished],FALSE,TRUE,holotype FURB;isotype FLOR;isotype HTL;isotype RB,1.1,77212689-1,urn:lsid:ipni.org:names:77212689-1,wfo-1000023503,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,12 Jan 2020,Corupá: RPPN Emílio Fiorentino Battistella,[epublished],"doi:10.11646/phytotaxa.470.1.3 The specific epithet is a tribute to the German explorer, geographer and naturalist Friedrich Wilhelm Heinrich Alexander von Humboldt (1769–1859), who was previously honoured by the name Hansa Humboldt, the original name of Corupá, the Brazilian municipality where the new species, according to the best of evidence, is restricted to.",
Ludwigia_irregularis,"Funez, Hassemer, D.M.Farias & Gasper","Funez, Hassemer, D.M.Farias & Gasper",,spec.,/n/77221364-1,Onagraceae,Ludwigia,irregularis,tax. nov.,9617,L.A. Funez,"Rio Grande do Sul (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2021,21 Sep 2021,520(3): 258,20011462-1,citation,Phytotaxa 520(3): 258. 2021 [21 Sep 2021] [epublished],FALSE,TRUE,holotype FURB;isotype HBR;isotype HTL,1.3,77221364-1,urn:lsid:ipni.org:names:77221364-1,wfo-1000027745,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,12 Jan 2020,"Santa Catarina: Ascurra, Nova Brasília",[epublished],"doi:10.11646/phytotaxa.520.3.4 The specific epithet is a reference to the irregular number of petals, an uncommon characteristic for Ludwigia, specially in section Myrtocarpus, in which all other species have four petals.",
