name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,publicationYearNote,remarks,referenceRemarks,typeRemarks,typeCoordinates,bhlLink,infraspecies,speciesAuthor,originalTaxonDistribution,originalRemarks,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeName,pageAsText,originalHybridParentage,nameStatus,nameStatusType,typeNote,originalBasionymAuthorTeam,basionymStr,basionymAuthorStr,basionymId
Acianthera_amandae,Campacci & C.R.M.Silva,Campacci & C.R.M.Silva,,spec.,/n/77211951-1,Orchidaceae,Acianthera,amandae,tax. nov.,NA,Reginaldo Heitor de Abreu,May 2018,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Nazareno, 850 m (2790 ft)",,Colet. Orquídeas Brasil.,2020,16: 638,20004826-2,citation,Colet. Orquídeas Brasil. 16: 638. 2020 [25 Aug 2020] ,FALSE,TRUE,holotype ESA,1.1,77211951-1,urn:lsid:ipni.org:names:77211951-1,wfo-1000020872,FALSE,TRUE,TRUE,FALSE,FALSE,25 Aug 2020,"The specific epithet refers to Amanda Maria de Abreu, daughter of Reginaldo Heitor de Abreu who discovered the species.",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthera_calopedilon,Toscano & Luer,Toscano & Luer,,spec.,/n/77150367-1,Orchidaceae,Acianthera,calopedilon,tax. nov.,2911,A.Toscano de Brito,7 Oct 2011,"Paraná (Brazil South, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);Rio Grande do Sul (Brazil South, Brazil, Southern America);Argentina Northeast (Southern South America, Southern America);",FALSE,FALSE,TRUE,Paraná: road Alexandra to Matinhos,,Lankesteriana,2015,15(1): 79,19040-2,citation,Lankesteriana 15(1): 79. 2015 [16 Mar 2015] [epublished],FALSE,TRUE,holotype UPCB,1.2,77150367-1,urn:lsid:ipni.org:names:77150367-1,wfo-0001343803,TRUE,TRUE,TRUE,FALSE,FALSE,16 Mar 2015,NA,[epublished],Coll. and cult. by M.Klingelfus s.n.; flowered in cultivation.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthera_enianthera,Chiron & Xim.Bols.,Chiron & Xim.Bols.,,spec.,/n/77107302-1,Orchidaceae,Acianthera,enianthera,tax. nov.,Chiron09889,Chiron,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Mun. Domingos Martins, forêt proche de Arachê",,Richardiana,2010,10(4): 215 (-218; fig. 9),18831-2,citation,Richardiana 10(4): 215 (-218; fig. 9). 2010 [Sep 2010] ,FALSE,TRUE,holotype MBML,1.2,77107302-1,urn:lsid:ipni.org:names:77107302-1,wfo-0000916852,FALSE,TRUE,TRUE,FALSE,FALSE,Sep 2010,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthera_gradeae,Chiron & Benelli,Chiron & Benelli,,spec.,/n/77133107-1,Orchidaceae,Acianthera,gradeae,tax. nov.,APB963,"A.Petini-Benelli, A.Grade &amp; H.S.Lima",Sep 2012,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,"Mun. Nova Bandeirante, Fazendinha da Lagoa, 304 m",,Richardiana,2012,13: 66,18831-2,citation,Richardiana 13: 66. 2012 [8 Nov 2012] [epublished],FALSE,TRUE,holotype HERBAM 4953,1.3,77133107-1,urn:lsid:ipni.org:names:77133107-1,NA,TRUE,TRUE,TRUE,FALSE,FALSE,8 Nov 2012,NA,[epublished],Fl. en culture,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthera_maculiglossa,Chiron & N.Sanson,Chiron & N.Sanson,,spec.,/n/77100167-1,Orchidaceae,Acianthera,maculiglossa,tax. nov.,s.n.,N.Sanson,2004,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Mun. Conceição do Castelo, rio Ribeirão do Meio",,Richardiana,2009,"9(3): 121 (120-124; figs. 1-2, photo)",18831-2,citation,"Richardiana 9(3): 121 (120-124; figs. 1-2, photo). 2009 [Jul 2009] ",FALSE,TRUE,holotype MBML,1.2,77100167-1,urn:lsid:ipni.org:names:77100167-1,wfo-0000911222,FALSE,TRUE,TRUE,FALSE,FALSE,Jul 2009,NA,NA,Chiron 9291,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acianthera_velteniana,Chiron & Xim.Bols.,Chiron & Xim.Bols.,,spec.,/n/77132672-1,Orchidaceae,Acianthera,velteniana,tax. nov.,13321,L.Velten ex Chiron,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Domingos Martins, 780 m",,Richardiana,2013,13: 278,18831-2,citation,Richardiana 13: 278. 2013 [17 Jul 2013] [epublished],FALSE,TRUE,holotype MBML,1.1,77132672-1,urn:lsid:ipni.org:names:77132672-1,wfo-0001337165,TRUE,TRUE,TRUE,FALSE,FALSE,17 Jul 2013,NA,[epublished],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anacheilium_× intermedium,Campacci,Campacci,,spec.,/n/77157121-1,Orchidaceae,Anacheilium,intermedium,tax. nov.,RVL 1878,Reginaldo de Vasconcelos Leitão,May 2012,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",TRUE,FALSE,TRUE,"Itabirinha, Serro do Pitengo, 1200 m",,Colet. Orquídeas Brasil.,2016,12: 458,20004826-2,citation,Colet. Orquídeas Brasil. 12: 458. 2016 [28 Jul 2016] ,FALSE,TRUE,holotype ESA 134856,1.1,77157121-1,urn:lsid:ipni.org:names:77157121-1,wfo-0001346311,FALSE,TRUE,TRUE,FALSE,FALSE,28 Jul 2016,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anacheilium_schunkianum,Campacci & P.A.Harding,Campacci & P.A.Harding,,spec.,/n/77097977-1,Orchidaceae,Anacheilium,schunkianum,tax. nov.,MAC-1686,Vital Schunk,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Alfredo Chaves, São Bento de Urânia, 800m",,Lindleyana,2008,21(2): 11 (-13; figs. 1-3),3675-2,citation,Lindleyana 21(2): 11 (-13; figs. 1-3). 2008 [22 Aug 2008] [in Orchids (West Palm Beach) 77(9)],FALSE,TRUE,holotype SP,1.1,77097977-1,urn:lsid:ipni.org:names:77097977-1,wfo-0000911411,TRUE,TRUE,TRUE,FALSE,FALSE,22 Aug 2008,NA,[in Orchids (West Palm Beach) 77(9)],Flowered in cultivation October 2004,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anacheilium_terassanianum,Campacci & P.A.Harding,Campacci & P.A.Harding,,spec.,/n/77097978-1,Orchidaceae,Anacheilium,terassanianum,tax. nov.,MAC-1680,Waldomiro Terassan,NA,"São Paulo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Juquiá, 200-300m",,Lindleyana,2008,21(2): 13 (figs. 5-7),3675-2,citation,Lindleyana 21(2): 13 (figs. 5-7). 2008 [22 Aug 2008] [in Orchids (West Palm Beach) 77(9)],FALSE,TRUE,holotype SP,1.1,77097978-1,urn:lsid:ipni.org:names:77097978-1,wfo-0000911413,TRUE,TRUE,TRUE,FALSE,FALSE,22 Aug 2008,NA,[in Orchids (West Palm Beach) 77(9)],Flowered in cultivation in September 2002,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anathallis_bolsanelloi,Chiron & V.P.Castro,Chiron & V.P.Castro,,spec.,/n/77095155-1,Orchidaceae,Anathallis,bolsanelloi,tax. nov.,08184,Chiron,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Mun. Domingos Martins, Biriricas, 200-600 m",,Richardiana,2008,"9(1): 4 (-7, 16-17; fig. 1, photos a & b)",18831-2,citation,"Richardiana 9(1): 4 (-7, 16-17; fig. 1, photos a & b). 2008 [Jan 2009 publ. 24 Dec 2008] ",FALSE,TRUE,holotype SP,1.1,77095155-1,urn:lsid:ipni.org:names:77095155-1,wfo-0000911416,FALSE,TRUE,TRUE,FALSE,FALSE,Jan 2009 publ. 24 Dec 2008,Named after Renato Bolsanello who discovered this species.,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
