name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,publicationYearNote,collectionNumber,collectorTeam,infraspecies,referenceRemarks,speciesAuthor,typeLocations,remarks,collectionDate1,locality,typeCoordinates,originalTaxonDistribution,nameStatus,nameStatusType,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeNote,typeRemarks
Biophytum_peruvianum,R.Knuth,R.Knuth,,spec.,/n/33263-2,Oxalidaceae,Biophytum,peruvianum,tax. nov.,"Peru, Brazil (Amazonas), Bolivia",FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1930,"[Heft 95] 4, Fam. 130: 402",3295-2,citation,"Pflanzenr. (Engler) [Heft 95] 4, Fam. 130: 402. 1930 ",FALSE,TRUE,1.3,33263-2,urn:lsid:ipni.org:names:33263-2,wfo-0000565516,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_argentina,R.Knuth,R.Knuth,,spec.,/n/177758-2,Oxalidaceae,Oxalis,argentina,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 313,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 7: 313. 1919 ,FALSE,TRUE,1.1.2.2.1.2,177758-2,urn:lsid:ipni.org:names:177758-2,wfo-0001234723,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=313&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_blanchetii,R.Knuth,R.Knuth,,spec.,/n/177798-2,Oxalidaceae,Oxalis,blanchetii,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Pflanzenr. (Engler),1930,"[Heft 95] 4, Fam. 130: 83",3295-2,citation,"Pflanzenr. (Engler) [Heft 95] 4, Fam. 130: 83. 1930 ",FALSE,TRUE,1.1.2.2.1.2,177798-2,urn:lsid:ipni.org:names:177798-2,wfo-0000387186,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_cruzeirensis,R.Knuth,R.Knuth,,spec.,/n/177917-2,Oxalidaceae,Oxalis,cruzeirensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1926,23: 138,788-2,citation,Repert. Spec. Nov. Regni Veg. 23: 138. 1926 ,FALSE,TRUE,1.1.2.2.1.2,177917-2,urn:lsid:ipni.org:names:177917-2,wfo-0001276366,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1926&rft.spage=138&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_damazii,C.DC.,C.DC.,,spec.,/n/177924-2,Oxalidaceae,Oxalis,damazii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1905,"ser. 2, 5: 231",573-2,citation,"Bull. Herb. Boissier ser. 2, 5: 231. 1905 ",FALSE,TRUE,1.1.2.3.1.1,177924-2,urn:lsid:ipni.org:names:177924-2,wfo-0000387484,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_fritillariiformis,R.Knuth,R.Knuth,,spec.,/n/178022-2,Oxalidaceae,Oxalis,fritillariiformis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 297,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 7: 297. 1919 ,FALSE,TRUE,1.1.2.2.1.2,178022-2,urn:lsid:ipni.org:names:178022-2,wfo-0001089383,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=297&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_hilaireiana,R.Knuth,R.Knuth,,spec.,/n/178089-2,Oxalidaceae,Oxalis,hilaireiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1919,7: 292,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 7: 292. 1919 ,FALSE,TRUE,1.1.2.2.1.2,178089-2,urn:lsid:ipni.org:names:178089-2,wfo-0000387506,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=292&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_hoehnei,R.Knuth,R.Knuth,,spec.,/n/178100-2,Oxalidaceae,Oxalis,hoehnei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1926,23: 139,788-2,citation,Repert. Spec. Nov. Regni Veg. 23: 139. 1926 ,FALSE,TRUE,1.1.2.2.1.2,178100-2,urn:lsid:ipni.org:names:178100-2,wfo-0000387499,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1926&rft.spage=139&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_jacobinensis,Fiaschi & F.S.Cabral,Fiaschi & F.S.Cabral,,spec.,/n/77324581-1,Oxalidaceae,Oxalis,jacobinensis,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Phytotaxa,2023,606(2): 148,20011462-1,citation,Phytotaxa 606(2): 148. 2023 [28 Jul 2023] [epublished],FALSE,TRUE,1.1,77324581-1,urn:lsid:ipni.org:names:77324581-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,28 Jul 2023,222,F.S.Cabral et al.,NA,[epublished],NA,holotype FLOR;isotype HUEFS;isotype HVASF;isotype K;isotype NY;isotype RB;isotype SPF,doi:10.11646/phytotaxa.606.2.5 Etymology: 'The chosen specific epithet honors the municipality of Jacobina'.,5 Nov 2022,"Jacobina, Cachoeira Véu de Noiva",,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_lancifolia,R.Knuth,R.Knuth,,spec.,/n/178136-2,Oxalidaceae,Oxalis,lancifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1913,12: 36,788-2,citation,Repert. Spec. Nov. Regni Veg. 12: 36. 1913 ,FALSE,TRUE,1.1.2.2.1.3,178136-2,urn:lsid:ipni.org:names:178136-2,wfo-0000387332,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/234227&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,234227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
