name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeNote,pageAsText,typeRemarks,infraspecies,speciesAuthor,originalTaxonDistribution,basionymAuthorStr,originalRemarks
Passiflora_acreana,Mezzonato & Marc.Silveira,Mezzonato & Marc.Silveira,,spec.,/n/77311967-1,Passifloraceae,Passiflora,acreana,tax. nov.,105,"M.Oliveira, M.Silveira, I.Oliveira, C.Gonçalves, L.Guimarães &amp; M.Caniso",25 Jan 2020,"Acre (Brazil North, Brazil, Southern America)",FALSE,FALSE,FALSE,"Rio Branco, APA Lago do Amapá. Bacia do rio Acre, margem direita do rio Acre, 147 m",,Phytotaxa,2023,13 Jan 2023,579(1): 40,20011462-1,citation,Phytotaxa 579(1): 40. 2023 [13 Jan 2023] [epublished],[epublished],doi:10.11646/phytotaxa.579.1.4,FALSE,TRUE,,holotype CESJ;isotype UFACPZ,1.2,77311967-1,urn:lsid:ipni.org:names:77311967-1,wfo-1000043422,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_bacabensis,"Mezzonato, E.O.Silva & E.A.Oliveira","Mezzonato, E.O.Silva & E.A.Oliveira",,spec.,/n/77295664-1,Passifloraceae,Passiflora,bacabensis,tax. nov.,1217,"N.C.C.S.Prestes, E.L.Oliveira &amp; E.A.Oliveira",22 Aug 2019,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,"Nova Xavantina: Parque Municipal do Bacaba (Bacaba Municipal Park), 333 m",,Nordic J. Bot.,2021,1 Sep 2021,39(8)-e03279: 2,2633-2,citation,Nordic J. Bot. 39(8)-e03279: 2. 2021 [1 Sep 2021] [epublished],[epublished],doi:10.1111/njb.03279,FALSE,TRUE,,holotype CESJ;isotype CESJ,1.3,77295664-1,urn:lsid:ipni.org:names:77295664-1,wfo-1000028304,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_cabedelensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/184826-2,Passifloraceae,Passiflora,cabedelensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,1891,NA,"ed. 2, 1: 30, pl. 13c",3884-2,citation,"Vellosia ed. 2, 1: 30, pl. 13c. 1891 ",NA,NA,FALSE,TRUE,,NA,1.2,184826-2,urn:lsid:ipni.org:names:184826-2,wfo-0001267725,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_campestris,Barb.Rodr.,Barb.Rodr.,,spec.,/n/184834-2,Passifloraceae,Passiflora,campestris,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Pl. Mattogross.,1898,NA,"25, pl. 9",16449-2,citation,"Pl. Mattogross. 25, pl. 9. 1898 ",NA,NA,FALSE,TRUE,,NA,1.3,184834-2,urn:lsid:ipni.org:names:184834-2,wfo-0000480001,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_caparaoensis,"Magro-Moraes, M.A.M.Azevedo & Gelli de Faria","Magro-Moraes, M.A.M.Azevedo & Gelli de Faria",,spec.,/n/77297580-1,Passifloraceae,Passiflora,caparaoensis,tax. nov.,376,A.M.Moraes &amp; A.P.G.Faria,24 Jan 2019,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Alto Caparaó, Parque Nacional do Caparaó, Tronqueira, 2000 m",,Phytotaxa,2022,10 May 2022,545(2): 141,20011462-1,citation,Phytotaxa 545(2): 141. 2022 [10 May 2022] [epublished],[epublished],"doi:10.11646/phytotaxa.545.2.3 Etymology: The specific epithet refers to the type locality, the region of Caparaó (between Minas Gerais and Espírito Santo states), and that gives the name to Caparaó National Park.",FALSE,TRUE,,holotype CESJ,1.1,77297580-1,urn:lsid:ipni.org:names:77297580-1,wfo-1000030793,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_carajasensis,A.K.Koch & Ilk.-Borg.,A.K.Koch & Ilk.-Borg.,,spec.,/n/77216647-1,Passifloraceae,Passiflora,carajasensis,tax. nov.,547,A.Gil &amp; A.L.Ilkiu-Borges,4 Sep 2015,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,"Parauapebas, Serra dos Carajás, urban nucleus of Vale",,Nordic J. Bot.,2021,17 Mar 2021,39(3)-e03033: 2,2633-2,citation,Nordic J. Bot. 39(3)-e03033: 2. 2021 [17 Mar 2021] [epublished],[epublished],doi:10.1111/njb.03033,FALSE,TRUE,,holotype MG MG216046,1.1,77216647-1,urn:lsid:ipni.org:names:77216647-1,wfo-1000028305,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_cearaensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/184847-2,Passifloraceae,Passiflora,cearaensis,tax. nov.,NA,NA,NA,"Ceará (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Contr. Jard. Bot. Rio de Janeiro,1907,NA,"4: 92, tab. 16",3500-2,citation,"Contr. Jard. Bot. Rio de Janeiro 4: 92, tab. 16. 1907 ",NA,NA,FALSE,TRUE,,NA,1.3,184847-2,urn:lsid:ipni.org:names:184847-2,wfo-0000479820,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=92&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_coelestis,Parteka & A.Silvério,Parteka & A.Silvério,,spec.,/n/77221259-1,Passifloraceae,Passiflora,coelestis,tax. nov.,s.n.,A.Suchoronczek &amp; A.Silvério,20 Nov 2014,"Paraná (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,Pinhão: Faxinal do Céu,,Phytotaxa,2021,24 Aug 2021,516(2): 148,20011462-1,citation,Phytotaxa 516(2): 148. 2021 [24 Aug 2021] [epublished],[epublished],"doi:10.11646/phytotaxa.516.2.2 The specific epithet refers to Faxinal do Céu, the place where the plant was found, with 'Céu' meaning 'heaven' in Portuguese.",FALSE,TRUE,,holotype HCF HCF6355;isotype MBM 397156,1.1,77221259-1,urn:lsid:ipni.org:names:77221259-1,wfo-1000028306,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_curumbaensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/184889-2,Passifloraceae,Passiflora,curumbaensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Pl. Mattogross.,1898,NA,"27, pl. 10",16449-2,citation,"Pl. Mattogross. 27, pl. 10. 1898 ",NA,NA,FALSE,TRUE,,NA,1.3,184889-2,urn:lsid:ipni.org:names:184889-2,wfo-0001253497,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passiflora_hydrophila,Barb.Rodr.,Barb.Rodr.,,spec.,/n/185004-2,Passifloraceae,Passiflora,hydrophila,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Vellosia,1888,NA,"1: 30, pl. 13",3884-2,citation,"Vellosia 1: 30, pl. 13. 1888 ",NA,NA,FALSE,TRUE,,NA,1.2,185004-2,urn:lsid:ipni.org:names:185004-2,wfo-0001091252,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=30&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
