name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,typeLocations,speciesAuthor,referenceRemarks,originalTaxonDistribution,collectionDate1,locality,remarks,typeCoordinates,originalRemarks,basionymStr,basionymAuthorStr,basionymId,nameStatus,nameStatusType,bibliographicReference,typeChosenBy
Ottonia_albopunctata,Trel.,Trel.,,spec.,/n/177398-2,Piperaceae,Ottonia,albopunctata,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 696,8208-2,citation,Proc. Amer. Philos. Soc. 75: 696. 1935 ,FALSE,TRUE,1.4,177398-2,urn:lsid:ipni.org:names:177398-2,wfo-0000386969,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=696&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_armondi,Trel.,Trel.,,spec.,/n/177402-2,Piperaceae,Ottonia,armondi,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 697,8208-2,citation,Proc. Amer. Philos. Soc. 75: 697. 1935 ,FALSE,TRUE,1.2,177402-2,urn:lsid:ipni.org:names:177402-2,wfo-0000386965,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=697&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_douglasii,Trel.,Trel.,,spec.,/n/177417-2,Piperaceae,Ottonia,douglasii,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 701,8208-2,citation,Proc. Amer. Philos. Soc. 75: 701. 1935 ,FALSE,TRUE,1.3,177417-2,urn:lsid:ipni.org:names:177417-2,wfo-0000386897,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=701&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_grandifolia,Trel.,Trel.,,spec.,/n/177430-2,Piperaceae,Ottonia,grandifolia,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 705,8208-2,citation,Proc. Amer. Philos. Soc. 75: 705. 1935 ,FALSE,TRUE,1.3,177430-2,urn:lsid:ipni.org:names:177430-2,wfo-0000386889,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=705&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_hammarii,Trel.,Trel.,,spec.,/n/177431-2,Piperaceae,Ottonia,hammarii,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 705,8208-2,citation,Proc. Amer. Philos. Soc. 75: 705. 1935 ,FALSE,TRUE,1.3,177431-2,urn:lsid:ipni.org:names:177431-2,wfo-0001266333,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=705&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_mendoncae,Trel.,Trel.,,spec.,/n/177445-2,Piperaceae,Ottonia,mendoncae,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 708,8208-2,citation,Proc. Amer. Philos. Soc. 75: 708. 1935 ,FALSE,TRUE,1.3,177445-2,urn:lsid:ipni.org:names:177445-2,wfo-0000386922,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=708&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_santa-annae,Trel.,Trel.,,spec.,/n/177465-2,Piperaceae,Ottonia,santa-annae,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 713,8208-2,citation,Proc. Amer. Philos. Soc. 75: 713. 1935 ,FALSE,TRUE,1.2,177465-2,urn:lsid:ipni.org:names:177465-2,wfo-0001266336,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=713&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_santa-ludoviciana,Trel.,Trel.,,spec.,/n/177466-2,Piperaceae,Ottonia,santa-ludoviciana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 714,8208-2,citation,Proc. Amer. Philos. Soc. 75: 714. 1935 ,FALSE,TRUE,1.3,177466-2,urn:lsid:ipni.org:names:177466-2,wfo-0000386902,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_santa-ritana,Trel.,Trel.,,spec.,/n/177467-2,Piperaceae,Ottonia,santa-ritana,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 714,8208-2,citation,Proc. Amer. Philos. Soc. 75: 714. 1935 ,FALSE,TRUE,1.3,177467-2,urn:lsid:ipni.org:names:177467-2,wfo-0000386901,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_stationis,Trel.,Trel.,,spec.,/n/177469-2,Piperaceae,Ottonia,stationis,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 714,8208-2,citation,Proc. Amer. Philos. Soc. 75: 714. 1935 ,FALSE,TRUE,1.3,177469-2,urn:lsid:ipni.org:names:177469-2,wfo-0000386946,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
