name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,speciesAuthor,bibliographicReference,collectionDate1,locality,publicationYearNote,referenceRemarks,remarks,typeCoordinates,pageAsText,bhlLink
Apinagia_crulsiana,Warm.,Warm.,,spec.,/n/16371-2,Podostemaceae,Apinagia,crulsiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 574,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 574. 1911 ,FALSE,TRUE,NA,1.4,16371-2,urn:lsid:ipni.org:names:16371-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Apinagia_intermedia,Warm.,Warm.,,spec.,/n/16383-2,Podostemaceae,Apinagia,intermedia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 574,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 574. 1911 ,FALSE,TRUE,NA,1.4,16383-2,urn:lsid:ipni.org:names:16383-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Apinagia_parahybensis,Glaz.,Glaz.,,spec.,/n/16395-2,Podostemaceae,Apinagia,parahybensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 575,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 575. 1911 ,FALSE,TRUE,NA,1.4,16395-2,urn:lsid:ipni.org:names:16395-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Apinagia_warmingii,Glaz.,Glaz.,,spec.,/n/16414-2,Podostemaceae,Apinagia,warmingii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 575,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 575. 1911 ,FALSE,TRUE,NA,1.4,16414-2,urn:lsid:ipni.org:names:16414-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Castelnavia_warmingii,Glaz.,Glaz.,,spec.,/n/49362-2,Podostemaceae,Castelnavia,warmingii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1911,58(Mém. 3f): 576,578-2,citation,Bull. Soc. Bot. France 58(Mém. 3f): 576. 1911 ,FALSE,TRUE,NA,1.4,49362-2,urn:lsid:ipni.org:names:49362-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Dicraeia_erythrolichen,Tul. & Wedd.,Tul. & Wedd.,,spec.,/n/331086-2,Podostemaceae,Dicraeia,erythrolichen,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,"Ann. Sci. Nat., Bot.",1849,"sér. 3, 11: 102",525-2,citation,"Ann. Sci. Nat., Bot. sér. 3, 11: 102. 1849 ",FALSE,TRUE,NA,1.5,331086-2,urn:lsid:ipni.org:names:331086-2,wfo-0000646169,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Ligea_glaziovii,Warm.,Warm.,,spec.,/n/139996-2,Podostemaceae,Ligea,glaziovii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1888,"ser. 6, 4: 465, 481, tab. 22, 23",988-2,citation,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 4: 465, 481, tab. 22, 23. 1888 Warm. Fam. Podostem. 3: 23, 39, tab. 22, 23.  1888",FALSE,TRUE,NA,1.2,139996-2,urn:lsid:ipni.org:names:139996-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Warm. Fam. Podostem. 3: 23, 39, tab. 22, 23.  1888",NA,,NA,NA
Mniopsis_crulsiana,Warm.,Warm.,,spec.,/n/162932-2,Podostemaceae,Mniopsis,crulsiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1899,"ser. 6, 9: 138, fig.33. 34",988-2,citation,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 9: 138, fig.33. 34. 1899 Warm. Fam. Podostem. 5: 34, fig. 33, 34.  1899",FALSE,TRUE,NA,1.3,162932-2,urn:lsid:ipni.org:names:162932-2,wfo-0001275199,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Warm. Fam. Podostem. 5: 34, fig. 33, 34.  1899",NA,,NA,NA
Mniopsis_saldanhana,Warm.,Warm.,,spec.,/n/162933-2,Podostemaceae,Mniopsis,saldanhana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1888,"ser. 6, 4: 458, 481, pl. 20",988-2,citation,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 4: 458, 481, pl. 20. 1888 Warm. Fam. Podostem. 3: 16, 39, pl. 20.  1888",FALSE,TRUE,NA,1.2,162933-2,urn:lsid:ipni.org:names:162933-2,wfo-0001275194,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Warm. Fam. Podostem. 3: 16, 39, pl. 20.  1888",NA,,NA,NA
Podostemum_dimorphum,P.Royen,P.Royen,,spec.,/n/204678-2,Podostemaceae,Podostemum,dimorphum,tax. nov.,NA,NA,"Paraná (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Bot. Neerl.,1954,"3: 235, 258, tab. 2, figs. 14-16",1640-2,citation,"Acta Bot. Neerl. 3: 235, 258, tab. 2, figs. 14-16. 1954 ",FALSE,TRUE,NA,1.3,204678-2,urn:lsid:ipni.org:names:204678-2,wfo-0001260410,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
