name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,originalTaxonDistribution,speciesAuthor,pageAsText,collectionDate2,bibliographicReference,typeChosenBy,originalBasionymAuthorTeam,nameStatus,nameStatusType,typeRemarks
Asemeia_aguiariana,J.F.B.Pastore & M.Mota,J.F.B.Pastore & M.Mota,,spec.,/n/77233985-1,Polygalaceae,Asemeia,aguiariana,tax. nov.,1875,J. F. B. Pastore &amp; R. M. Harley,15 Mar 2017,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,"Colinas do Sul, entorno da cidade",,Syst. Bot.,2021,29 Mar 2021,46(1): 82,1295-2,citation,Syst. Bot. 46(1): 82. 2021 [29 Mar 2021] [epublished],[epublished],doi:10.1600/036364421X16128061711269 Named in honour of the plant anatomist and Polygalaceae specialist Dr. Ana Cristina Andrade de Aguiar Dias.,FALSE,TRUE,,holotype HUEFS HUEFS-117692;isotype CEN CEN-64894;isotype UB UB-157114,1.1,77233985-1,urn:lsid:ipni.org:names:77233985-1,wfo-1000025537,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asemeia_campestris,J.F.B.Pastore & M.Mota,J.F.B.Pastore & M.Mota,,spec.,/n/77233986-1,Polygalaceae,Asemeia,campestris,tax. nov.,176,M. Mota &amp; J. F. B. Pastore,21 Feb 2019,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,"Niquelandia, Proxima a plantaçao de soja",,Syst. Bot.,2021,29 Mar 2021,46(1): 83,1295-2,citation,Syst. Bot. 46(1): 83. 2021 [29 Mar 2021] [epublished],[epublished],doi:10.1600/036364421X16128061711269 The species occurs in open areas of savanna and the name is in reference to this grassland habitat.,FALSE,TRUE,,holotype CTBS CTBS-4205,1.1,77233986-1,urn:lsid:ipni.org:names:77233986-1,wfo-1000025538,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asemeia_coracoralinae,M.Mota & J.F.B.Pastore,M.Mota & J.F.B.Pastore,,spec.,/n/77313376-1,Polygalaceae,Asemeia,coracoralinae,tax. nov.,237,"M.Mota, A.Soares &amp; J.F.B.Pastore",20 Feb 2021,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,FALSE,"Goiás, Serra Dourada, 938 m",,Kew Bull.,2023,23 May 2023,78(2): 161,987-2,citation,Kew Bull. 78(2): 161. 2023 [23 May 2023] [epublished],[epublished],"doi:10.1007/s12225-023-10082-3 Etymology: the specific epithet honours the Brazilian poetess Cora Coralina, who was born in the city of Goiás (Velho), the type locality of this species.",FALSE,TRUE,,holotype CTBS CTBS6000,1.5,77313376-1,urn:lsid:ipni.org:names:77313376-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asemeia_eglandulosa,J.F.B.Pastore & M.Mota,J.F.B.Pastore & M.Mota,,spec.,/n/77233987-1,Polygalaceae,Asemeia,eglandulosa,tax. nov.,175,M. Mota &amp; J. F. B. Pastore,23 Feb 2019,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,"Cavalcante, Estrada de terra para RPPN Serra do Tombador",,Syst. Bot.,2021,29 Mar 2021,46(1): 85,1295-2,citation,Syst. Bot. 46(1): 85. 2021 [29 Mar 2021] [epublished],[epublished],"doi:10.1600/036364421X16128061711269 The epithet refers to the absence of glands on the margin of the external sepals, a common feature in other species of Asemeia.",FALSE,TRUE,,holotype CTBS CTBS-4204,1.1,77233987-1,urn:lsid:ipni.org:names:77233987-1,wfo-1000025539,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asemeia_minensis,M.Mota & J.F.B.Pastore,M.Mota & J.F.B.Pastore,,spec.,/n/77313379-1,Polygalaceae,Asemeia,minensis,tax. nov.,246,M.Mota &amp; J.F.B.Pastore,25 Feb 2021,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"São João Batista do Glória, acesso pela estrada do Tista, caminho da Pedreira Lagoa Azul, 1168 m",,Kew Bull.,2023,23 May 2023,78(2): 165,987-2,citation,Kew Bull. 78(2): 165. 2023 [23 May 2023] [epublished],[epublished],doi:10.1007/s12225-023-10082-3,FALSE,TRUE,,holotype CTBS CTBS6001,1.4,77313379-1,urn:lsid:ipni.org:names:77313379-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asemeia_nana,M.Mota & J.F.B.Pastore,M.Mota & J.F.B.Pastore,,spec.,/n/77313381-1,Polygalaceae,Asemeia,nana,tax. nov.,238,M.Mota &amp; J.F.B.Pastore,21 Feb 2021,"Goiás (Brazil West-Central, Brazil, Southern America);Brasília Distrito Federal (Brazil West-Central, Brazil, Southern America);",FALSE,FALSE,FALSE,"Goiás: Pirenópolis, Serra dos Pireneus, 1141 m",,Kew Bull.,2023,23 May 2023,78(2): 167,987-2,citation,Kew Bull. 78(2): 167. 2023 [23 May 2023] [epublished],[epublished],doi:10.1007/s12225-023-10082-3 Etymology: the specific epithet refers to the small size of the plants.,FALSE,TRUE,,holotype CTBS CTBS6002,1.4,77313381-1,urn:lsid:ipni.org:names:77313381-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asemeia_subaphylla,J.F.B.Pastore & M.Mota,J.F.B.Pastore & M.Mota,,spec.,/n/77233988-1,Polygalaceae,Asemeia,subaphylla,tax. nov.,173,M. Mota &amp; J. F. B. Pastore,22 Feb 2019,"Goiás (Brazil West-Central, Brazil, Southern America)",FALSE,FALSE,TRUE,"Alto Paraiso de Goias, beira da Go‒118",,Syst. Bot.,2021,29 Mar 2021,46(1): 85,1295-2,citation,Syst. Bot. 46(1): 85. 2021 [29 Mar 2021] [epublished],[epublished],"doi:10.1600/036364421X16128061711269 The epithet refers to the deciduous small leaves, so that the plant is leafless at flowering.",FALSE,TRUE,,holotype CTBS CTBS-4202,1.1,77233988-1,urn:lsid:ipni.org:names:77233988-1,wfo-1000025540,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bredemeyera_isabeliana,Barb.Rodr.,Barb.Rodr.,,spec.,/n/36312-2,Polygalaceae,Bredemeyera,isabeliana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Vellosia,1888,NA,"1: 5, pl. 4",3884-2,citation,"Vellosia 1: 5, pl. 4. 1888 ",NA,NA,FALSE,TRUE,,NA,1.3,36312-2,urn:lsid:ipni.org:names:36312-2,wfo-0000572105,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=5&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monnina_confusa,Ferreyra,Ferreyra,,spec.,/n/163552-2,Polygalaceae,Monnina,confusa,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot.",1963,NA,no. 14: 2,8297-2,citation,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot. no. 14: 2. 1963 ",NA,NA,FALSE,TRUE,,NA,1.3,163552-2,urn:lsid:ipni.org:names:163552-2,wfo-0001100678,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monnina_wurdackii,Ferreyra,Ferreyra,,spec.,/n/163703-2,Polygalaceae,Monnina,wurdackii,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot.",1963,NA,no. 14: 4,8297-2,citation,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot. no. 14: 4. 1963 ",NA,NA,FALSE,TRUE,,NA,1.3,163703-2,urn:lsid:ipni.org:names:163703-2,wfo-0001100679,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
