name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,bibliographicReference,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeChosenBy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,infraspecies,speciesAuthor,typeCoordinates,referenceRemarks,remarks,originalRemarks,originalTaxonDistribution,basionymAuthorStr,typeRemarks,otherLinks,typeName,originalBasionymAuthorTeam,typeNote,collectionDate2,nameStatus,nameStatusType
Alibertia_vacciniifolia,K.Schum.,K.Schum.,,spec.,/n/8430-2,Rubiaceae,Alibertia,vacciniifolia,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Nat. Pflanzenfam. [Engler & Prantl],1891,NA,"4, Abt. 4: 84",14495-2,citation,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 4: 84. 1891 ",FALSE,TRUE,NA,NA,1.4,8430-2,urn:lsid:ipni.org:names:8430-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basanacantha_minutiflora,Glaz.,Glaz.,,spec.,/n/29751-2,Rubiaceae,Basanacantha,minutiflora,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 342,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 342. 1909 ,FALSE,TRUE,NA,NA,1.4,29751-2,urn:lsid:ipni.org:names:29751-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathysa_senae,Glaz.,Glaz.,,spec.,/n/29925-2,Rubiaceae,Bathysa,senae,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1909,NA,56(Mém. 3d): 338,578-2,citation,Bull. Soc. Bot. France 56(Mém. 3d): 338. 1909 ,FALSE,TRUE,NA,NA,1.5,29925-2,urn:lsid:ipni.org:names:29925-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borreria_rosemariinifolia,E.L.Cabral & Bacigalupo,E.L.Cabral & Bacigalupo,,spec.,/n/316700-2,Rubiaceae,Borreria,rosemariinifolia,NA,tax. nov.,12168," A.M.Giuletti, F.A.Vitta, L.Parra-Lazzari, J.V.Coffani-Nunes, N.L.Menezes,J.R.Pirani, N.Meguro",NA,"Mun. Santana do Riacho: Serra da Lapinha, Macico NW da Serra do Cipo, proximo da localidade da Lapinha, ca. 50 km da Rodovia Belo Horizonte-Conceicao do Mato Dentro, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Acta Bot. Brasil.,1997,NA,"11: 48, fig.",1225-2,citation,"Acta Bot. Brasil. 11: 48, fig. 1997 ",FALSE,TRUE,NA,holotype SPF;isotype CTES,1.3,316700-2,urn:lsid:ipni.org:names:316700-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,[Gandhi 18 Nov 1998],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borreria_savannicola,"E.B.Souza, Nepom. & L.M.Miguel","E.B.Souza, Nepom. & L.M.Miguel",,spec.,/n/77311187-1,Rubiaceae,Borreria,savannicola,NA,tax. nov.,5313,"E.B.Souza, F.F.Araújo, E.K.S.Brandão &amp; I.V.Nepomuceno",21 Jun 2018,"Ceará (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Granja, 50 m",,Phytotaxa,2022,22 Dec 2022,576(3): 281,20011462-1,citation,Phytotaxa 576(3): 281. 2022 [22 Dec 2022] [epublished],FALSE,TRUE,NA,holotype EAC;isotype CTES;isotype HUEFS;isotype HUVA,1.1.1.1,77311187-1,urn:lsid:ipni.org:names:77311187-1,wfo-1000043243,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,[epublished],doi:10.11646/phytotaxa.576.3.4 Etymology: 'The epithet is a reference to the habitat where the new species is found since its occurrence was associated with savanna enclaves in the middle of the Caatinga of northwestern Ceará'.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borreria_semiamplexicaulis,E.L.Cabral,E.L.Cabral,,spec.,/n/306355-2,Rubiaceae,Borreria,semiamplexicaulis,NA,tax. nov.,1993," M.R.dos Santos, M.G.da Silva,D.C.Daly, E.L.Taylor, R.Callejas, C.Rosario",NA,"25 km NW of camp at Serra Norte, ca. 5°54'S, 50°27'W, Pará (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Bonplandia (Corrientes),1996,NA,"9(1-2): 37, fig.",13502-2,citation,"Bonplandia (Corrientes) 9(1-2): 37, fig. 1996 (as semiamplexicaule)",FALSE,TRUE,NA,holotype NY;isotype CTES,1.2.2.1,306355-2,urn:lsid:ipni.org:names:306355-2,wfo-0001284442,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,(as semiamplexicaule),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borreria_semiamplexicaulis,E.L.Cabral,E.L.Cabral,,spec.,/n/989063-1,Rubiaceae,Borreria,semiamplexicaulis,NA,tax. nov.,NA,NA,NA,Brazil North (Pará).,FALSE,FALSE,TRUE,NA,,Bonplandia (Corrientes),1996,1996,"9(1–2): 37, as 'semiamplexicaule'",13502-2,citation,"Bonplandia (Corrientes) 9(1–2): 37, as 'semiamplexicaule'. 1996 ",FALSE,TRUE,NA,NA,1.5,989063-1,urn:lsid:ipni.org:names:989063-1,wfo-0000358173,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Brazil North (Pará).,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephaëlis_beeriana,Fenzl,Fenzl,,spec.,/n/51938-2,Rubiaceae,Cephaëlis,beeriana,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Verh. K.K. Zool.-Bot. Ges. Wien,1886,NA,36: 292,5616-2,citation,Verh. K.K. Zool.-Bot. Ges. Wien 36: 292. 1886 ,FALSE,TRUE,NA,NA,1.4,51938-2,urn:lsid:ipni.org:names:51938-2,wfo-0000826034,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1886&rft.spage=292&rft.volume=36&rft_id=http://www.biodiversitylibrary.org/bibliography/13275&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephaëlis_bradei,Standl.,Standl.,,spec.,/n/51947-2,Rubiaceae,Cephaëlis,bradei,NA,tax. nov.,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1940,NA,22: 173,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 22: 173. 1940 ",FALSE,TRUE,NA,NA,1.3,51947-2,urn:lsid:ipni.org:names:51947-2,wfo-0000826194,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=173&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephaëlis_glaziovii,Standl.,Standl.,,spec.,/n/51985-2,Rubiaceae,Cephaëlis,glaziovii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1930,NA,8: 182,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 8: 182. 1930 ",FALSE,TRUE,NA,NA,1.4,51985-2,urn:lsid:ipni.org:names:51985-2,wfo-0000826905,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1930&rft.spage=182&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephaëlis_krauseana,Standl.,Standl.,,spec.,/n/52010-2,Rubiaceae,Cephaëlis,krauseana,NA,tax. nov.,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1930,NA,8: 181,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 8: 181. 1930 ",FALSE,TRUE,NA,NA,1.4,52010-2,urn:lsid:ipni.org:names:52010-2,wfo-0000827321,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1930&rft.spage=181&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephaëlis_madeirana,Standl.,Standl.,,spec.,/n/52014-2,Rubiaceae,Cephaëlis,madeirana,NA,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1937,NA,17: 212,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 212. 1937 ",FALSE,TRUE,NA,NA,1.4,52014-2,urn:lsid:ipni.org:names:52014-2,wfo-0000827437,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=212&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
