family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Acanthaceae,Aphelandra,lasiandra,Aphelandra_lasiandra,(Mildbr.) McDade & E.A.Tripp,Aphelandra lasiandra (Mildbr.) McDade & E.A.Tripp,Accepted,NA,Taxon 71: 143 (2022 publ. 2021),FALSE,"Brazil, Peru","Brazil North, Peru",unknown,unknown,77297495-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77297495-1,POWO,2021,comb_nova
Acanthaceae,Dianthera,arvensis,Dianthera_arvensis,Vell.,Dianthera arvensis Vell.,Accepted,NA,"Fl. Flumin. 1: 12, t. 30 (1829)",FALSE,Brazil,Brazil Southeast,unknown,unknown,47185-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:47185-1,POWO,1829,taxon_novo
Acanthaceae,Dianthera,brasiliensis,Dianthera_brasiliensis,Vell.,Dianthera brasiliensis Vell.,Accepted,NA,"Fl. Flumin. 1: 11, t. 26 (1829)",FALSE,Brazil,Brazil Southeast,unknown,unknown,47189-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:47189-1,POWO,1829,taxon_novo
Acanthaceae,Dianthera,laeta,Dianthera_laeta,(Nees) Hiern,Dianthera laeta (Nees) Hiern,Accepted,NA,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1877-1878: 83 (1878),FALSE,Brazil,Brazil Southeast,unknown,unknown,47249-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:47249-1,POWO,1878,comb_nova
Acanthaceae,Dianthera,laevilinguis,Dianthera_laevilinguis,(Nees) Lindau,Dianthera laevilinguis (Nees) Lindau,Accepted,NA,Beibl. Bot. Jahrb. Syst. 48: 20 (1894),FALSE,"Argentina, Bolivia, Brazil, Colombia, French Guiana, Guyana, Mexico, Paraguay, Peru, Suriname, Trinidad-Tobago, Uruguay, Venezuela","Argentina Northeast, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, French Guiana, Guyana, Mexico Gulf, Mexico Northeast, Mexico Southeast, Paraguay, Peru, Suriname, Trinidad-Tobago, Uruguay, Venezuela",unknown,unknown,47251-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:47251-1,POWO,1894,comb_nova
Acanthaceae,Dichazothece,cylindracea,Dichazothece_cylindracea,Lindau,Dichazothece cylindracea Lindau,Accepted,NA,Beibl. Bot. Jahrb. Syst. 60: 47 (1898),FALSE,Brazil,Brazil Southeast,unknown,unknown,79435-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:79435-2,POWO,1898,taxon_novo
Acanthaceae,Dyschoriste,hirsuta,Dyschoriste_hirsuta,(Oerst. ex Hiern) Kuntze,Dyschoriste hirsuta (Oerst. ex Hiern) Kuntze,Accepted,NA,Revis. Gen. Pl. 2: 486 (1891),FALSE,Brazil,Brazil Southeast,unknown,unknown,77221786-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221786-1,POWO,1891,comb_nova
Acanthaceae,Dyschoriste,tweedieana,Dyschoriste_tweedieana,(Nees) Kuntze,Dyschoriste tweedieana (Nees) Kuntze,Accepted,NA,Revis. Gen. Pl. 2: 486 (1891),FALSE,Brazil,Brazil South,unknown,unknown,86415-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:86415-2,POWO,1891,comb_nova
Acanthaceae,Harpochilus,corrugatus,Harpochilus_corrugatus,Zappi & F.A.Silva,Harpochilus corrugatus Zappi & F.A.Silva,Accepted,NA,Phytotaxa 545: 152 (2022),FALSE,Brazil,Brazil Northeast,unknown,unknown,77297581-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77297581-1,POWO,2022,taxon_novo
Acanthaceae,Justicia,cordifolia,Justicia_cordifolia,(Rizzini) Funez & Braz,Justicia cordifolia (Rizzini) Funez & Braz,Accepted,NA,Phytotaxa 494: 167 (2021),FALSE,Brazil,Brazil South,unknown,unknown,77218278-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77218278-1,POWO,2021,comb_nova
