family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Amaranthaceae,Alternanthera,bettzickiana,Alternanthera_bettzickiana,(Regel) G.Nicholson,Alternanthera bettzickiana (Regel) G.Nicholson,Accepted,NA,Ill. Dict. Gard. 1: 59 (1884),FALSE,"Bolivia, Brazil, Ecuador, Peru","Bolivia, Brazil North, Brazil South, Ecuador, Peru","Andaman Is., Ascension, Australia, Bangladesh, Belgium, Belize, Bhutan, India, Bulgaria, Cambodia, China, Christmas I., Comoros, Cook Is., Dominican Republic, Fiji, Gilbert Is., Guinea, Haiti, Honduras, India, Indonesia, Indonesia, Malaysia, Italy, Leeward Is., Malawi, Malaysia, Marianas, Mauritius, Mexico, Nepal, New Caledonia, Nicaragua, Oman, Pakistan, Papua New Guinea, Solomon Islands, Puerto Rico, Rodrigues, Rwanda, Saudi Arabia, Society Is., Sri Lanka, Tanzania, Thailand, Tokelau-Manihiki, Trinidad-Tobago, Tuamotu, Tubuai Is., Uganda, United States, Vanuatu, Venezuelan Antilles, Vietnam, Windward Is., Zaire, Zambia, Zimbabwe","Andaman Is., Ascension, Assam, Bangladesh, Belgium, Belize, Borneo, Bulgaria, Cambodia, China South-Central, China Southeast, Christmas I., Comoros, Cook Is., Dominican Republic, East Himalaya, Fiji, Florida, Gilbert Is., Guinea, Hainan, Haiti, Hawaii, Honduras, India, Jawa, Leeward Is., Malawi, Malaya, Marianas, Maryland, Mauritius, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nepal, New Caledonia, Nicaragua, Oman, Pakistan, Puerto Rico, Queensland, Rodrigues, Rwanda, Saudi Arabia, Sicilia, Society Is., Solomon Is., Sri Lanka, Sumatera, Tanzania, Texas, Thailand, Tokelau-Manihiki, Trinidad-Tobago, Tuamotu, Tubuai Is., Uganda, Vanuatu, Venezuelan Antilles, Vietnam, Windward Is., Zambia, Zaire, Zimbabwe",10291-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10291-2,POWO,1884,comb_nova
Amaranthaceae,Alternanthera,glaziovii,Alternanthera_glaziovii,R.E.Fr.,Alternanthera glaziovii R.E.Fr.,Accepted,NA,Ark. Bot. 16(13): 12 (1921),FALSE,Brazil,Brazil Southeast,unknown,unknown,10360-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10360-2,POWO,1921,taxon_novo
Amaranthaceae,Alternanthera,jacquinii,Alternanthera_jacquinii,(Schrad.) Alain,Alternanthera jacquinii (Schrad.) Alain,Accepted,NA,Bull. Torrey Bot. Club 92: 292 (1965),FALSE,"Brazil, Colombia, El Salvador, Guatemala, Honduras, Mexico, Peru","Brazil Northeast, Colombia, El Salvador, Guatemala, Honduras, Mexico Southeast, Mexico Southwest, Peru",Cook Is.,Cook Is.,10373-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10373-2,POWO,1965,comb_nova
Amaranthaceae,Alternanthera,pennelliana,Alternanthera_pennelliana,Mears ex Pedersen,Alternanthera pennelliana Mears ex Pedersen,Accepted,NA,"Adansonia, sér. 3, 19: 221 (1997)",FALSE,"Brazil, Paraguay","Brazil West-Central, Paraguay",unknown,unknown,999114-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:999114-1,POWO,1997,taxon_novo
Amaranthaceae,Alternanthera,philippo-coburgii,Alternanthera_philippo-coburgii,(Zahlbr. ex Wawra) Suess.,Alternanthera philippo-coburgii (Zahlbr. ex Wawra) Suess.,Accepted,NA,Repert. Spec. Nov. Regni Veg. 35: 303 (1934),FALSE,Brazil,Brazil Southeast,unknown,unknown,10427-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10427-2,POWO,1934,comb_nova
Amaranthaceae,Amaranthus,rosengurttii,Amaranthus_rosengurttii,Hunz.,Amaranthus rosengurttii Hunz.,Accepted,NA,Kurtziana 3: 201 (1966),FALSE,"Argentina, Brazil, Uruguay","Argentina Northeast, Brazil South, Uruguay",unknown,unknown,10702-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:10702-2,POWO,1966,taxon_novo
Amaranthaceae,Celosia,salicifolia,Celosia_salicifolia,Lopr.,Celosia salicifolia Lopr.,Accepted,NA,Malpighia 14: 428 (1900),FALSE,Brazil,Brazil Southeast,unknown,unknown,51145-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:51145-2,POWO,1900,taxon_novo
Amaranthaceae,Gomphrena,anti-lethargica,Gomphrena_anti-lethargica,Silveira,Gomphrena anti-lethargica Silveira,Accepted,NA,"M.P.Corrêa, Dicc. Pl. Ut. Bras. 1: 467 (1926)",FALSE,Brazil,Brazil Southeast,unknown,unknown,111864-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:111864-2,POWO,1926,taxon_novo
Amaranthaceae,Gomphrena,equisetiformis,Gomphrena_equisetiformis,R.E.Fr.,Gomphrena equisetiformis R.E.Fr.,Accepted,NA,Ark. Bot. 16(13): 16 (1921),FALSE,Brazil,Brazil West-Central,unknown,unknown,111935-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:111935-2,POWO,1921,taxon_novo
Amaranthaceae,Gomphrena,gardneri,Gomphrena_gardneri,Moq.,Gomphrena gardneri Moq.,Accepted,NA,"A.P.de Candolle, Prodr. 13(2): 404 (1849)",FALSE,Brazil,Brazil Northeast,unknown,unknown,60460-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60460-1,POWO,1849,taxon_novo
