family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Aristolochiaceae,Aristolochia,cabrerae,Aristolochia_cabrerae,Ahumada,Aristolochia cabrerae Ahumada,Accepted,NA,Folia Bot. Geobot. Corrent. 2: 1 (1989),FALSE,Brazil,Brazil West-Central,unknown,unknown,272649-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:272649-2,POWO,1989,taxon_novo
Aristolochiaceae,Aristolochia,constricta,Aristolochia_constricta,Griseb.,Aristolochia constricta Griseb.,Accepted,NA,Abh. Königl. Ges. Wiss. Göttingen 7: 225 (1857),FALSE,"Bolivia, Brazil, Colombia, Costa Rica, Ecuador, Honduras, Leeward Is., Nicaragua, Panama, Peru, Venezuela, Windward Is.","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Honduras, Leeward Is., Nicaragua, Panama, Peru, Venezuela, Windward Is.",unknown,unknown,92853-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:92853-1,POWO,1857,taxon_novo
Aristolochiaceae,Aristolochia,huebneriana,Aristolochia_huebneriana,O.C.Schmidt,Aristolochia huebneriana O.C.Schmidt,Accepted,NA,Repert. Spec. Nov. Regni Veg. 40: 133 (1936),FALSE,Brazil,Brazil North,unknown,unknown,19500-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:19500-2,POWO,1936,taxon_novo
Aristolochiaceae,Aristolochia,krukoffii,Aristolochia_krukoffii,O.C.Schmidt,Aristolochia krukoffii O.C.Schmidt,Accepted,NA,Repert. Spec. Nov. Regni Veg. 45: 53 (1938),FALSE,Brazil,Brazil North,unknown,unknown,19510-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:19510-2,POWO,1938,taxon_novo
Aristolochiaceae,Aristolochia,leuconeura,Aristolochia_leuconeura,Linden,Aristolochia leuconeura Linden,Accepted,NA,Belgique Hort. 8: 165 (1858),FALSE,"Belize, Brazil, Colombia, Costa Rica, Honduras, Mexico, Panama, Peru","Belize, Brazil North, Colombia, Costa Rica, Honduras, Mexico Gulf, Panama, Peru",unknown,unknown,272659-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:272659-2,POWO,1858,taxon_novo
Aristolochiaceae,Aristolochia,nummulariifolia,Aristolochia_nummulariifolia,Kunth,Aristolochia nummulariifolia Kunth,Accepted,NA,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth, Nov. Gen. Sp. 2: 145 (1817)",FALSE,"Brazil, Colombia, Venezuela","Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Venezuela",unknown,unknown,93167-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:93167-1,POWO,1817,taxon_novo
Aristolochiaceae,Aristolochia,pyriflora,Aristolochia_pyriflora,Lombardi & D.Frank,Aristolochia pyriflora Lombardi & D.Frank,Accepted,NA,Brittonia 74: 227-238 (2022),FALSE,"Bolivia, Brazil, Paraguay","Bolivia, Brazil Southeast, Brazil West-Central, Paraguay",unknown,unknown,77306592-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77306592-1,POWO,2022,taxon_novo
Aristolochiaceae,Aristolochia,schmidtiana,Aristolochia_schmidtiana,Hoehne,Aristolochia schmidtiana Hoehne,Accepted,NA,"Arq. Bot. Estado São Paulo, n.s., f.m., 1: 90 (1942)",FALSE,"Brazil, Colombia, Ecuador, Peru","Brazil North, Colombia, Ecuador, Peru",unknown,unknown,19612-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:19612-2,POWO,1942,taxon_novo
Aristolochiaceae,Aristolochia,stomachoidis,Aristolochia_stomachoidis,Hoehne,Aristolochia stomachoidis Hoehne,Accepted,NA,Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5(1): 65 (1910),FALSE,"Argentina, Brazil","Argentina Northeast, Brazil West-Central",unknown,unknown,19627-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:19627-2,POWO,1910,taxon_novo
Aristolochiaceae,Aristolochia,surinamensis,Aristolochia_surinamensis,Willd.,Aristolochia surinamensis Willd.,Accepted,NA,"Sp. Pl., ed. 4. 4: 151 (1805)",FALSE,"Brazil, Guyana, Suriname","Brazil North, Guyana, Suriname",unknown,unknown,93372-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:93372-1,POWO,1805,taxon_novo
