family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Begoniaceae,Begonia,capensis,Begonia_capensis,L.f.,Begonia capensis L.f.,Accepted,NA,Suppl. Pl.: 502 (1782),FALSE,Brazil,Brazil Southeast,unknown,unknown,104366-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:104366-1,POWO,1782,taxon_novo
Begoniaceae,Begonia,dichotoma,Begonia_dichotoma,Jacq.,Begonia dichotoma Jacq.,Accepted,NA,Collectanea 3: 250 (1791),FALSE,"Bolivia, Brazil, Colombia, Venezuela","Bolivia, Brazil Northeast, Brazil Southeast, Colombia, Venezuela",unknown,unknown,104544-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:104544-1,POWO,1791,taxon_novo
Begoniaceae,Begonia,fernandoi-costae,Begonia_fernandoi-costae,Irmsch.,Begonia fernandoi-costae Irmsch.,Accepted,NA,Bot. Jahrb. Syst. 76: 52 (1953),FALSE,Brazil,Brazil Southeast,unknown,unknown,30542-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30542-2,POWO,1953,taxon_novo
Begoniaceae,Begonia,fiebrigii,Begonia_fiebrigii,C.DC.,Begonia fiebrigii C.DC.,Accepted,NA,"Bull. Soc. Bot. Genève, sér. 2, 6: 123 (1914)",FALSE,"Argentina, Brazil, Paraguay","Argentina Northwest, Brazil South, Brazil Southeast, Paraguay",unknown,unknown,30545-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30545-2,POWO,1914,taxon_novo
Begoniaceae,Begonia,kunthiana,Begonia_kunthiana,Walp.,Begonia kunthiana Walp.,Accepted,NA,Ann. Bot. Syst. 2: 650 (1852),FALSE,Brazil,Brazil Southeast,unknown,unknown,104985-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:104985-1,POWO,1852,taxon_novo
Begoniaceae,Begonia,macduffieana,Begonia_macduffieana,L.B.Sm. & B.G.Schub.,Begonia macduffieana L.B.Sm. & B.G.Schub.,Accepted,NA,Begonian 52: 135 (1985),FALSE,Brazil,Brazil North,unknown,unknown,273174-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:273174-2,POWO,1985,taxon_novo
Begoniaceae,Begonia,mollicaulis,Begonia_mollicaulis,Irmsch.,Begonia mollicaulis Irmsch.,Accepted,NA,Webbia 12: 507 (1957),FALSE,Brazil,Brazil South,unknown,unknown,30763-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30763-2,POWO,1957,taxon_novo
Begoniaceae,Begonia,olbia,Begonia_olbia,Kerch.,Begonia olbia Kerch.,Accepted,NA,Rev. Hort. Belge Étrangère 9: 241 (1883),FALSE,Brazil,Brazil Southeast,unknown,unknown,105310-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:105310-1,POWO,1883,taxon_novo
Begoniaceae,Begonia,per-dusenii,Begonia_per-dusenii,Brade,Begonia per-dusenii Brade,Accepted,NA,Arch. Jard. Bot. Rio de Janeiro 12: 10 (1953),FALSE,"Argentina, Brazil","Argentina Northeast, Brazil South",unknown,unknown,105408-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:105408-1,POWO,1953,taxon_novo
Begoniaceae,Begonia,santos-limae,Begonia_santos-limae,Brade,Begonia santos-limae Brade,Accepted,NA,Arq. Serv. Florest. 2: 23 (1943),FALSE,Brazil,Brazil Southeast,unknown,unknown,30883-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30883-2,POWO,1943,taxon_novo
Begoniaceae,Begonia,sarmentacea,Begonia_sarmentacea,Brilmayer,Begonia sarmentacea Brilmayer,Accepted,NA,All About Begonias: 136 (1960),FALSE,Brazil,"Brazil Southeast, Brazil West-Central",unknown,unknown,77176910-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77176910-1,POWO,1960,taxon_novo
Begoniaceae,Begonia,solimutata,Begonia_solimutata,L.B.Sm. & Wassh.,Begonia solimutata L.B.Sm. & Wassh.,Accepted,NA,Begonian 57: 217 (1990),FALSE,Brazil,Brazil North,unknown,unknown,273191-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:273191-2,POWO,1990,taxon_novo
Begoniaceae,Begonia,stipularis,Begonia_stipularis,Spreng.,Begonia stipularis Spreng.,Accepted,NA,J. Bot. (Schrader) 1800(2): 195 (1801),FALSE,Brazil,Brazil Southeast,unknown,unknown,105793-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:105793-1,POWO,1801,taxon_novo
Begoniaceae,Begonia,albopicta,Begonia_albopicta,Regel ex Regel,Begonia albopicta Regel ex Regel,Unknown,Begonia albopicta Regel ex Regel,Gartenflora 35: 402. 1886,FALSE,Brazil (Southern America),NA,NA,NA,30371-2,www.ipni.org/n/30371-2,IPNI,1886,taxon_novo
Begoniaceae,Begonia,campos-portoana,Begonia_campos-portoana,Brade,Begonia campos-portoana Brade,Unknown,Begonia campos-portoana Brade,"Arch. Jard. Bot. Rio de Janeiro 13: 85, tab. 9. 1954",FALSE,"Santa Catarina (Brazil, Southern America)",NA,NA,NA,30445-2,www.ipni.org/n/30445-2,IPNI,1954,taxon_novo
Begoniaceae,Begonia,carolineifolia,Begonia_carolineifolia,Regel,Begonia carolineifolia Regel,Unknown,Begonia carolineifolia Regel,Gartenflora 1: 259 (t. 25). 1852 [Sep 1852] (as caroliniaefolia),FALSE,Brazil (Southern America),NA,NA,NA,104377-1,www.ipni.org/n/104377-1,IPNI,1852,taxon_novo
Begoniaceae,Begonia,fulvo-setulosa,Begonia_fulvo-setulosa,Brade,Begonia fulvo-setulosa Brade,Unknown,Begonia fulvo-setulosa Brade,"Arq. Serv. Florest. 2, no. 1: 22, tab. 3. 1944",FALSE,"Sao Paulo (Brazil, Southern America)",NA,NA,NA,30578-2,www.ipni.org/n/30578-2,IPNI,1944,taxon_novo
Begoniaceae,Begonia,fuscicaulis,Begonia_fuscicaulis,Brade,Begonia fuscicaulis Brade,Unknown,Begonia fuscicaulis Brade,"Arch. Jard. Bot. Rio de Janeiro 15: 34, tab. 4. 1957 as fuscocaulis",FALSE,"Santa Catarina (Brazil, Southern America)",NA,NA,NA,30579-2,www.ipni.org/n/30579-2,IPNI,1957,taxon_novo
Begoniaceae,Begonia,jairi,Begonia_jairi,Brade,Begonia jairi Brade,Unknown,Begonia jairi Brade,"Arch. Jard. Bot. Rio de Janeiro 10: 135, tab. 5. 1950",FALSE,"Espirito Santo (Brazil, Southern America)",NA,NA,NA,30671-2,www.ipni.org/n/30671-2,IPNI,1950,taxon_novo
Begoniaceae,Begonia,konder-reisiana,Begonia_konder-reisiana,L.B.Sm. & R.C.Sm.,Begonia konder-reisiana L.B.Sm. & R.C.Sm.,Unknown,Begonia konder-reisiana L.B.Sm. & R.C.Sm.,"Fl. Ilustr. Catarin. [Bego]: 35, t. 10. 1972",FALSE,"Santa Catarina (Brazil, Southern America)",NA,NA,NA,30685-2,www.ipni.org/n/30685-2,IPNI,1972,taxon_novo
Begoniaceae,Begonia,lansbergeae,Begonia_lansbergeae,L.Linden & Rodigas,Begonia lansbergeae L.Linden & Rodigas,Unknown,Begonia lansbergeae L.Linden & Rodigas,"Ill. Hort. 40: 41, pl. 174. 1893",FALSE,Brazil (Southern America),NA,NA,NA,30690-2,www.ipni.org/n/30690-2,IPNI,1893,taxon_novo
