family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Cactaceae,Acanthocalycium,rhodotrichum,Acanthocalycium_rhodotrichum,(K.Schum.) Schlumpb.,Acanthocalycium rhodotrichum (K.Schum.) Schlumpb.,Accepted,NA,Cactaceae Syst. Init. 28: 29 (2012),FALSE,"Argentina, Bolivia, Brazil, Paraguay, Uruguay","Argentina Northeast, Bolivia, Brazil West-Central, Paraguay, Uruguay",unknown,unknown,77122506-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77122506-1,POWO,2012,comb_nova
Cactaceae,Arrojadoa,leucostele,Arrojadoa_leucostele,(Gürke) Anceschi & Magli,Arrojadoa leucostele (Gürke) Anceschi & Magli,Accepted,NA,Cactusinhabitat S. Amer. 2013/2021: 39 (2021),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77219932-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77219932-1,POWO,2021,comb_nova
Cactaceae,Cereus,lanosus,Cereus_lanosus,(F.Ritter) P.J.Braun,Cereus lanosus (F.Ritter) P.J.Braun,Accepted,NA,Bradleya 6: 86 (1988),FALSE,"Brazil, Paraguay","Brazil West-Central, Paraguay",unknown,unknown,274342-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:274342-2,POWO,1988,comb_nova
Cactaceae,Cereus,pierre-braunianus,Cereus_pierre-braunianus,Esteves,Cereus pierre-braunianus Esteves,Accepted,NA,Cact. Succ. J. (Los Angeles) 75: 266 (2003),FALSE,Brazil,Brazil West-Central,unknown,unknown,329507-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:329507-2,POWO,2003,taxon_novo
Cactaceae,Cleistocactus,samaipatanus,Cleistocactus_samaipatanus,(Cárdenas) D.R.Hunt,Cleistocactus samaipatanus (Cárdenas) D.R.Hunt,Accepted,NA,Bradleya 5: 92 (1987),FALSE,"Bolivia, Brazil","Bolivia, Brazil West-Central",unknown,unknown,944006-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:944006-1,POWO,1987,comb_nova
Cactaceae,Discocactus,fariae-peresii,Discocactus_fariae-peresii,P.J.Braun,Discocactus fariae-peresii P.J.Braun,Accepted,NA,Kakteen And. Sukk. 67: 33 (2016),FALSE,Brazil,Brazil West-Central,unknown,unknown,60471955-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60471955-2,POWO,2016,taxon_novo
Cactaceae,Frailea,altasensis,Frailea_altasensis,Prestlé,Frailea altasensis Prestlé,Accepted,NA,Gattung Frailea: 126 (1997),FALSE,Brazil,Brazil South,unknown,unknown,1005211-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1005211-1,POWO,1997,taxon_novo
Cactaceae,Frailea,stockingeri,Frailea_stockingeri,Prestlé,Frailea stockingeri Prestlé,Accepted,NA,Gattung Frailea: 136 (1997),FALSE,Brazil,Brazil South,unknown,unknown,1005218-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1005218-1,POWO,1997,taxon_novo
Cactaceae,Gymnocalycium,volskyi,Gymnocalycium_volskyi,"V.Gapon, Ponomareva, Protopopov, Schelkun. & Zaitseva","Gymnocalycium volskyi V.Gapon, Ponomareva, Protopopov, Schelkun. & Zaitseva",Accepted,NA,"Kaktus-Klub, n.s. 4: 22 (2020)",FALSE,"Brazil, Uruguay","Brazil South, Uruguay",unknown,unknown,77213175-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77213175-1,POWO,2020,taxon_novo
Cactaceae,Hatiora,salicornoides,Hatiora_salicornoides,(Haw.) Britton & Rose,Hatiora salicornoides (Haw.) Britton & Rose,Accepted,NA,"L.H.Bailey, Stand. Cycl. Hort. 3: 1433 (1915)",FALSE,Brazil,"Brazil Northeast, Brazil South, Brazil Southeast",unknown,unknown,118071-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:118071-2,POWO,1915,comb_nova
