family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Convolvulaceae,Aniseia,luxurians,Aniseia_luxurians,(Moric.) Athiê-Souza & Buril,Aniseia luxurians (Moric.) Athiê-Souza & Buril,Accepted,NA,Syst. Bot. 42: 593 (2017),FALSE,"Argentina, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Trinidad-Tobago, Venezuela","Argentina Northeast, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, Honduras, Mexico Southeast, Nicaragua, Panama, Paraguay, Peru, Trinidad-Tobago, Venezuela",unknown,unknown,77167338-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77167338-1,POWO,2017,comb_nova
Convolvulaceae,Bonamia,eustachioi,Bonamia_eustachioi,A.L.C.Moreira & Kojima,Bonamia eustachioi A.L.C.Moreira & Kojima,Accepted,NA,Brittonia 73: 205 (2021),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77234103-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77234103-1,POWO,2021,taxon_novo
Convolvulaceae,Convolvulus,hirsutiflorus,Convolvulus_hirsutiflorus,Dammann,Convolvulus hirsutiflorus Dammann,Accepted,NA,Beibl. Bot. Jahrb. Syst. 57: 41 (1897),FALSE,Brazil,Brazil Southeast,unknown,unknown,64552-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:64552-2,POWO,1897,taxon_novo
Convolvulaceae,Cuscuta,cristata,Cuscuta_cristata,Engelm.,Cuscuta cristata Engelm.,Accepted,NA,Trans. Acad. Sci. St. Louis 1: 507 (1859),FALSE,"Argentina, Brazil, Uruguay","Argentina Northeast, Argentina Northwest, Brazil South, Uruguay",unknown,unknown,72809-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:72809-2,POWO,1859,taxon_novo
Convolvulaceae,Cuscuta,mantiqueirana,Cuscuta_mantiqueirana,"Costea, S.S.Silva & Sim.-Bianch.","Cuscuta mantiqueirana Costea, S.S.Silva & Sim.-Bianch.",Accepted,NA,PhytoKeys 184: 33 (2021),FALSE,Brazil,Brazil Southeast,unknown,unknown,77221396-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221396-1,POWO,2021,taxon_novo
Convolvulaceae,Dichondra,brachypoda,Dichondra_brachypoda,Wooton & Standl.,Dichondra brachypoda Wooton & Standl.,Accepted,NA,Contr. U.S. Natl. Herb. 16: 160 (1913),FALSE,"Brazil, Mexico, United States","Arizona, Brazil South, Mexico Central, Mexico Northeast, Mexico Southwest, New Mexico, Texas",unknown,unknown,79449-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:79449-2,POWO,1913,taxon_novo
Convolvulaceae,Ipomoea,amazonica,Ipomoea_amazonica,(D.F.Austin & Staples) J.R.I.Wood & Scotland,Ipomoea amazonica (D.F.Austin & Staples) J.R.I.Wood & Scotland,Accepted,NA,Kew Bull. 70(3)-31: 27 (2015),FALSE,"Bolivia, Brazil, Colombia","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia",unknown,unknown,77148116-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77148116-1,POWO,2015,comb_nova
Convolvulaceae,Ipomoea,anisomeres,Ipomoea_anisomeres,B.L.Rob. & Bartlett,Ipomoea anisomeres B.L.Rob. & Bartlett,Accepted,NA,Proc. Amer. Acad. Arts 43: 57 (1907),FALSE,"Belize, Brazil, Colombia, Costa Rica, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru, Venezuela","Belize, Brazil North, Colombia, Costa Rica, Guatemala, Honduras, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Venezuela",unknown,unknown,129150-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:129150-2,POWO,1907,taxon_novo
Convolvulaceae,Ipomoea,cryptica,Ipomoea_cryptica,J.R.I.Wood & Scotland,Ipomoea cryptica J.R.I.Wood & Scotland,Accepted,NA,Kew Bull. 70(3)-31: 92 (2015),FALSE,"Bolivia, Brazil, Colombia, Peru","Bolivia, Brazil North, Colombia, Peru",unknown,unknown,77148134-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77148134-1,POWO,2015,taxon_novo
Convolvulaceae,Ipomoea,heptaphylla,Ipomoea_heptaphylla,Sweet,Ipomoea heptaphylla Sweet,Accepted,NA,"Hort. Brit., ed. 2: 372 (1830)",FALSE,"Argentina, Aruba, Bolivia, Brazil, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Haiti, Jamaica, Leeward Is., Mexico, Netherlands Antilles, Nicaragua, Paraguay, Peru, Puerto Rico, United States, Venezuela, Windward Is.","Argentina Northeast, Aruba, Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Haiti, Jamaica, Leeward Is., Mexico Northwest, Mexico Southeast, Mexico Southwest, Netherlands Antilles, Nicaragua, Paraguay, Peru, Puerto Rico, Texas, Venezuela, Windward Is.","China, Egypt, Galapagos, India, North Korea, South Korea, United States","Alabama, Arkansas, China Southeast, Egypt, Florida, Galapagos, Georgia, India, Korea, Louisiana, Mississippi, Tennessee",60457868-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60457868-2,POWO,1830,taxon_novo
Convolvulaceae,Ipomoea,homotrichoidea,Ipomoea_homotrichoidea,O'Donell,Ipomoea homotrichoidea O'Donell,Accepted,NA,Lilloa 14: 173 (1948),FALSE,"Brazil, Paraguay","Brazil South, Paraguay",unknown,unknown,129395-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:129395-2,POWO,1948,taxon_novo
Convolvulaceae,Ipomoea,lanifolia,Ipomoea_lanifolia,D.Santos & Buril,Ipomoea lanifolia D.Santos & Buril,Accepted,NA,Rodriguésia 72(e00782020): 3 (2021),FALSE,Brazil,Brazil Northeast,unknown,unknown,77296019-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77296019-1,POWO,2021,taxon_novo
Convolvulaceae,Ipomoea,paludicola,Ipomoea_paludicola,J.R.I.Wood & Scotland,Ipomoea paludicola J.R.I.Wood & Scotland,Accepted,NA,Kew Bull. 70(3)-31: 24 (2015),FALSE,"Bolivia, Brazil, Costa Rica, Guyana, Mexico, Paraguay, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Costa Rica, Guyana, Mexico Southeast, Paraguay, Venezuela",unknown,unknown,77148115-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77148115-1,POWO,2015,taxon_novo
Convolvulaceae,Ipomoea,paludosa,Ipomoea_paludosa,O'Donell,Ipomoea paludosa O'Donell,Accepted,NA,Lilloa 22: 495 (1950),FALSE,"Argentina, Brazil, Paraguay","Argentina Northeast, Brazil West-Central, Paraguay",unknown,unknown,129544-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:129544-2,POWO,1950,taxon_novo
Convolvulaceae,Ipomoea,pseudocalystegia,Ipomoea_pseudocalystegia,Hassl.,Ipomoea pseudocalystegia Hassl.,Accepted,NA,Repert. Spec. Nov. Regni Veg. 9: 151 (1911),FALSE,"Brazil, Paraguay","Brazil South, Paraguay",unknown,unknown,129618-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:129618-2,POWO,1911,taxon_novo
Convolvulaceae,Ipomoea,sericosepala,Ipomoea_sericosepala,J.R.I.Wood & Scotland,Ipomoea sericosepala J.R.I.Wood & Scotland,Accepted,NA,Kew Bull. 70(3)-31: 21 (2015),FALSE,"Bolivia, Brazil","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central",unknown,unknown,77148114-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77148114-1,POWO,2015,taxon_novo
Convolvulaceae,Jacquemontia,guianensis,Jacquemontia_guianensis,(Aubl.) Meisn.,Jacquemontia guianensis (Aubl.) Meisn.,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 7: 301 (1869)",FALSE,"Brazil, French Guiana, Guyana, Suriname, Venezuela","Brazil North, French Guiana, Guyana, Suriname, Venezuela",unknown,unknown,270175-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:270175-1,POWO,1869,comb_nova
Convolvulaceae,Jacquemontia,itatiayensis,Jacquemontia_itatiayensis,(Kuntze) K.Schum.,Jacquemontia itatiayensis (Kuntze) K.Schum.,Accepted,NA,Just&#x27;s Bot. Jahresber. 26(1): 383 (1900),FALSE,Brazil,Brazil Southeast,unknown,unknown,131120-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:131120-2,POWO,1900,comb_nova
Convolvulaceae,Evolvulus,aureus,Evolvulus_aureus,D.Santos & Buril,Evolvulus aureus D.Santos & Buril,Unknown,Evolvulus aureus D.Santos & Buril,Syst. Bot. 48(1): 141. 2023 [28 Mar 2023] [epublished],FALSE,"Bahia (Brazil Northeast, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);",NA,NA,NA,77322904-1,www.ipni.org/n/77322904-1,IPNI,2023,taxon_novo
Convolvulaceae,Evolvulus,elaegnifolius,Evolvulus_elaegnifolius,Dammer,Evolvulus elaegnifolius Dammer,Unknown,Evolvulus elaegnifolius Dammer,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 38. 1897 [27 Aug 1897]",FALSE,Brazil (Southern America),NA,NA,NA,102606-2,www.ipni.org/n/102606-2,IPNI,1897,taxon_novo
Convolvulaceae,Evolvulus,longipedicellatus,Evolvulus_longipedicellatus,D.Santos & Buril,Evolvulus longipedicellatus D.Santos & Buril,Unknown,Evolvulus longipedicellatus D.Santos & Buril,Syst. Bot. 47(3): 835. 2022 [16 Sep 2022] [epublished],FALSE,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,NA,NA,77314300-1,www.ipni.org/n/77314300-1,IPNI,2022,taxon_novo
Convolvulaceae,Evolvulus,longitubulosus,Evolvulus_longitubulosus,Helwig,Evolvulus longitubulosus Helwig,Unknown,Evolvulus longitubulosus Helwig,Notizbl. Bot. Gart. Berlin-Dahlem 10: 102. 1927,FALSE,Brazil (Southern America),NA,NA,NA,102665-2,www.ipni.org/n/102665-2,IPNI,1927,taxon_novo
Convolvulaceae,Evolvulus,veadeirensis,Evolvulus_veadeirensis,D.Santos & C.Amorim,Evolvulus veadeirensis D.Santos & C.Amorim,Unknown,Evolvulus veadeirensis D.Santos & C.Amorim,Syst. Bot. 47(4): 1094. 2022 [12 Dec 2022] [epublished],FALSE,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,NA,NA,77314575-1,www.ipni.org/n/77314575-1,IPNI,2022,taxon_novo
Convolvulaceae,Evolvulus,ﬂavus,Evolvulus_ﬂavus,"A.N.T.Bandeira, Buril & J.I.M.Melo","Evolvulus ﬂavus A.N.T.Bandeira, Buril & J.I.M.Melo",Unknown,"Evolvulus ﬂavus A.N.T.Bandeira, Buril & J.I.M.Melo",Nordic J. Bot. 35(1): 20. 2016 [2017 publ. 13 Oct 2016] [epublished],FALSE,"Paraíba (Brazil Northeast, Brazil, Southern America)",NA,NA,NA,77174578-1,www.ipni.org/n/77174578-1,IPNI,2016,taxon_novo
Convolvulaceae,Ipomoea,cipo-colla,Ipomoea_cipo-colla,Glaz.,Ipomoea cipo-colla Glaz.,Unknown,Ipomoea cipo-colla Glaz.,Bull. Soc. Bot. France 57(Mém. 3e): 484. 1910,FALSE,Brazil (Southern America),NA,NA,NA,129248-2,www.ipni.org/n/129248-2,IPNI,1910,taxon_novo
Convolvulaceae,Ipomoea,glutinosa,Ipomoea_glutinosa,Dammer,Ipomoea glutinosa Dammer,Unknown,Ipomoea glutinosa Dammer,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 39. 1897 [27 Aug 1897]",FALSE,Brazil (Southern America),NA,NA,NA,129366-2,www.ipni.org/n/129366-2,IPNI,1897,taxon_novo
Convolvulaceae,Ipomoea,marabensis,Ipomoea_marabensis,D.F.Austin & Secco,Ipomoea marabensis D.F.Austin & Secco,Unknown,Ipomoea marabensis D.F.Austin & Secco,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 4: 188, fig. 1988",FALSE,Brazil (Southern America),NA,NA,NA,278834-2,www.ipni.org/n/278834-2,IPNI,1988,taxon_novo
Convolvulaceae,Ipomoea,papillosa,Ipomoea_papillosa,Bertol.,Ipomoea papillosa Bertol.,Unknown,Ipomoea papillosa Bertol.,et Giorn. Arcad. 29: 343 (1826);.,FALSE,Brazil.,NA,NA,NA,2927723-1,www.ipni.org/n/2927723-1,IPNI,1826,taxon_novo
Convolvulaceae,Ipomoea,paranaenensis,Ipomoea_paranaenensis,Hoehne,Ipomoea paranaenensis Hoehne,Unknown,Ipomoea paranaenensis Hoehne,"Bol. Agric. (Sao Paulo) 35: 474, tab. 1934",FALSE,"Paraná (Brazil, Southern America)",NA,NA,NA,129554-2,www.ipni.org/n/129554-2,IPNI,1934,taxon_novo
Convolvulaceae,Ipomoea,pickelii,Ipomoea_pickelii,Hoehne,Ipomoea pickelii Hoehne,Unknown,Ipomoea pickelii Hoehne,"Bol. Agric. (Sao Paulo) 35: 477, tab. 1934",FALSE,"Pernambuco (Brazil, Southern America)",NA,NA,NA,129581-2,www.ipni.org/n/129581-2,IPNI,1934,taxon_novo
Convolvulaceae,Ipomoea,sampaionis,Ipomoea_sampaionis,Herter,Ipomoea sampaionis Herter,Unknown,Ipomoea sampaionis Herter,"Arq. Mus. Nac. Rio de Janeiro 18: 13, 28. 1916",FALSE,Brazil (Southern America),NA,NA,NA,129680-2,www.ipni.org/n/129680-2,IPNI,1916,taxon_novo
