family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Cucurbitaceae,Apodanthera,bradei,Apodanthera_bradei,Mart.Crov.,Apodanthera bradei Mart.Crov.,Accepted,NA,Notul. Syst. (Paris) 15: 44 (1955),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,16685-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:16685-2,POWO,1955,taxon_novo
Cucurbitaceae,Cayaponia,lhotzkyana,Cayaponia_lhotzkyana,(Cogn.) Cogn.,Cayaponia lhotzkyana (Cogn.) Cogn.,Accepted,NA,"A.L.P.P.de Candolle & A.C.P.de Candolle, Monogr. Phan. 3: 765 (1881)",FALSE,Brazil,Brazil Southeast,unknown,unknown,291818-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:291818-1,POWO,1881,comb_nova
Cucurbitaceae,Cayaponia,racemosa,Cayaponia_racemosa,(Mill.) Cogn.,Cayaponia racemosa (Mill.) Cogn.,Accepted,NA,"A.L.P.P.de Candolle & A.C.P.de Candolle, Monogr. Phan. 3: 768 (1881)",FALSE,"Bahamas, Belize, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Peru, Puerto Rico, Trinidad-Tobago, Venezuela, Windward Is.","Bahamas, Belize, Brazil North, Brazil Northeast, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Puerto Rico, Trinidad-Tobago, Venezuela, Windward Is.",Spain,Canary Is.,291845-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:291845-1,POWO,1881,comb_nova
Cucurbitaceae,Cayaponia,ulei,Cayaponia_ulei,Cogn. ex Harms,Cayaponia ulei Cogn. ex Harms,Accepted,NA,Repert. Spec. Nov. Regni Veg. 22: 342 (1926),FALSE,Brazil,Brazil South,unknown,unknown,50629-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:50629-2,POWO,1926,taxon_novo
Cucurbitaceae,Cucurbitella,asperata,Cucurbitella_asperata,(Gillies ex Hook. & Arn.) Walp.,Cucurbitella asperata (Gillies ex Hook. & Arn.) Walp.,Accepted,NA,Repert. Bot. Syst. 6: 50 (1846),FALSE,"Argentina, Bolivia, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil South, Brazil West-Central, Paraguay, Uruguay",unknown,unknown,1213253-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1213253-2,POWO,1846,comb_nova
Cucurbitaceae,Gurania,longiflora,Gurania_longiflora,Cogn.,Gurania longiflora Cogn.,Accepted,NA,"H.G.A.Engler (ed.), Pflanzenr., IV, 275 I: 211 (1916)",FALSE,Brazil,Brazil North,unknown,unknown,114846-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:114846-2,POWO,1916,taxon_novo
Cucurbitaceae,Gurania,pseudospinulosa,Gurania_pseudospinulosa,Cogn.,Gurania pseudospinulosa Cogn.,Accepted,NA,Diagn. Cucurb. Nouv. 1: 36 (1876),FALSE,Brazil,"Brazil Southeast, Brazil West-Central",unknown,unknown,292833-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:292833-1,POWO,1876,taxon_novo
Cucurbitaceae,Gurania,wawrae,Gurania_wawrae,Cogn.,Gurania wawrae Cogn.,Accepted,NA,Diagn. Cucurb. Nouv. 1: 39 (1876),FALSE,Brazil,Brazil Northeast,unknown,unknown,292869-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:292869-1,POWO,1876,taxon_novo
Cucurbitaceae,Luffa,sepium,Luffa_sepium,(G.Mey.) C.Jeffrey,Luffa sepium (G.Mey.) C.Jeffrey,Accepted,NA,Kew Bull. 47: 742 (1992),FALSE,"Bolivia, Brazil, Colombia, French Guiana, Guyana, Netherlands Antilles, Suriname, Trinidad-Tobago, Venezuela","Bolivia, Brazil North, Colombia, French Guiana, Guyana, Netherlands Antilles, Suriname, Trinidad-Tobago, Venezuela","Galapagos, Senegal","Galapagos, Senegal",1076251-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1076251-2,POWO,1992,comb_nova
Cucurbitaceae,Sicyos,polyacanthos,Sicyos_polyacanthos,Cogn.,Sicyos polyacanthos Cogn.,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 6(4): 107 (1878)",FALSE,"Argentina, Bolivia, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Paraguay, Uruguay","Angola, Burundi, Ethiopia, Kenya, Nicaragua, Tanzania, Zaire","Angola, Burundi, Ethiopia, Kenya, Nicaragua, Tanzania, Zaire",294010-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:294010-1,POWO,1878,taxon_novo
Cucurbitaceae,Cayaponia,schenckii,Cayaponia_schenckii,Cogn.,Cayaponia schenckii Cogn.,Unknown,Cayaponia schenckii Cogn.,"Bull. Acad. Roy. Sci. Belgique ser. 3, 16: 244. 1888",FALSE,"Santa Catarina (Brazil, Southern America)",NA,NA,NA,50619-2,www.ipni.org/n/50619-2,IPNI,1888,taxon_novo
Cucurbitaceae,Elaterium,pickelii,Elaterium_pickelii,Harms,Elaterium pickelii Harms,Unknown,Elaterium pickelii Harms,Notizbl. Bot. Gart. Berlin-Dahlem 11: 774. 1933,FALSE,"Pernambuco (Brazil, Southern America)",NA,NA,NA,89496-2,www.ipni.org/n/89496-2,IPNI,1933,taxon_novo
