family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Ericaceae,Demosthenesia,buxifolia,Demosthenesia_buxifolia,(Gardner & Fielding) A.C.Sm.,Demosthenesia buxifolia (Gardner & Fielding) A.C.Sm.,Accepted,NA,Bull. Torrey Bot. Club 63: 310 (1936),FALSE,"Brazil, Peru","Brazil North, Peru",unknown,unknown,77566-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77566-2,POWO,1936,comb_nova
Ericaceae,Gaultheria,marginata,Gaultheria_marginata,(N.E.Br.) D.J.Middleton,Gaultheria marginata (N.E.Br.) D.J.Middleton,Accepted,NA,Edinburgh J. Bot. 47: 297 (1990),FALSE,"Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,277336-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:277336-2,POWO,1990,comb_nova
Ericaceae,Gaylussacia,duartei,Gaylussacia_duartei,Sleumer,Gaylussacia duartei Sleumer,Accepted,NA,Bot. Jahrb. Syst. 86: 363 (1967),FALSE,Brazil,Brazil Southeast,unknown,unknown,107883-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:107883-2,POWO,1967,taxon_novo
Ericaceae,Thibaudia,ulei,Thibaudia_ulei,(Mansf.) A.C.Sm.,Thibaudia ulei (Mansf.) A.C.Sm.,Accepted,NA,Brittonia 3: 186 (1939),FALSE,"Brazil, Colombia, Guyana, Suriname, Venezuela","Brazil North, Colombia, Guyana, Suriname, Venezuela",unknown,unknown,252686-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:252686-2,POWO,1939,comb_nova
Ericaceae,Agarista,revolutissima,Agarista_revolutissima,A.A.Samp. & R.P.Oliveira,Agarista revolutissima A.A.Samp. & R.P.Oliveira,Unknown,Agarista revolutissima A.A.Samp. & R.P.Oliveira,Phytotaxa 583(1): 82. 2023 [31 Jan 2023] [epublished],FALSE,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,NA,NA,77313378-1,www.ipni.org/n/77313378-1,IPNI,2023,taxon_novo
Ericaceae,Gaultheria,willisiana,Gaultheria_willisiana,R.C.Davie,Gaultheria willisiana R.C.Davie,Unknown,Gaultheria willisiana R.C.Davie,J. Bot. 55: 219. 1917,FALSE,Brazil (Southern America),NA,NA,NA,107726-2,www.ipni.org/n/107726-2,IPNI,1917,taxon_novo
Ericaceae,Leucothoë,acicularis,Leucothoë_acicularis,Sleumer,Leucothoë acicularis Sleumer,Unknown,Leucothoë acicularis Sleumer,Bot. Jahrb. Syst. 78(4): 451. 1959 [31 Jul 1959],FALSE,"Minas Gerais (Brazil, Southern America)",NA,NA,NA,139220-2,www.ipni.org/n/139220-2,IPNI,1959,taxon_novo
Ericaceae,Leucothoë,angustissima,Leucothoë_angustissima,Glaz.,Leucothoë angustissima Glaz.,Unknown,Leucothoë angustissima Glaz.,Bull. Soc. Bot. France 57(Mém. 3e): 430. 1910,FALSE,Brazil (Southern America),NA,NA,NA,139230-2,www.ipni.org/n/139230-2,IPNI,1910,taxon_novo
Ericaceae,Leucothoë,bradei,Leucothoë_bradei,Sleumer,Leucothoë bradei Sleumer,Unknown,Leucothoë bradei Sleumer,Notizbl. Bot. Gart. Berlin-Dahlem 13: 213. 1936,FALSE,Brazil (Southern America),NA,NA,NA,139239-2,www.ipni.org/n/139239-2,IPNI,1936,taxon_novo
Ericaceae,Leucothoë,chapadensis,Leucothoë_chapadensis,Kin.-Gouv.,Leucothoë chapadensis Kin.-Gouv.,Unknown,Leucothoë chapadensis Kin.-Gouv.,"Revista Brasil. Bot. 4: 127, fig. 1981",FALSE,Brazil (Southern America),NA,NA,NA,139240-2,www.ipni.org/n/139240-2,IPNI,1981,taxon_novo
Ericaceae,Leucothoë,duartei,Leucothoë_duartei,Sleumer,Leucothoë duartei Sleumer,Unknown,Leucothoë duartei Sleumer,Bot. Jahrb. Syst. 78(4): 451. 1959 [31 Jul 1959],FALSE,Brazil (Southern America),NA,NA,NA,139250-2,www.ipni.org/n/139250-2,IPNI,1959,taxon_novo
Ericaceae,Leucothoë,duckei,Leucothoë_duckei,Huber,Leucothoë duckei Huber,Unknown,Leucothoë duckei Huber,"Bull. Soc. Bot. Genève ser. 2, 1: 246, fig. 1909",FALSE,Brazil (Southern America),NA,NA,NA,139251-2,www.ipni.org/n/139251-2,IPNI,1909,taxon_novo
Ericaceae,Leucothoë,intermedia,Leucothoë_intermedia,Meisn.,Leucothoë intermedia Meisn.,Unknown,Leucothoë intermedia Meisn.,"Fl. Bras. (Martius) 7: 163, fig. 1863 [10 Jul 1863]",FALSE,Brazil (Southern America),NA,NA,NA,139256-2,www.ipni.org/n/139256-2,IPNI,1863,taxon_novo
Ericaceae,Leucothoë,lycopodioides,Leucothoë_lycopodioides,Sleumer,Leucothoë lycopodioides Sleumer,Unknown,Leucothoë lycopodioides Sleumer,Bot. Jahrb. Syst. 78(4): 450. 1959 [31 Jul 1959],FALSE,"Minas Gerais (Brazil, Southern America)",NA,NA,NA,139263-2,www.ipni.org/n/139263-2,IPNI,1959,taxon_novo
