family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Eriocaulaceae,Comanthera,rupprechtiana,Comanthera_rupprechtiana,(Körn.) L.R.Parra & Giul.,Comanthera rupprechtiana (Körn.) L.R.Parra & Giul.,Accepted,NA,Taxon 59: 1143 (2010),FALSE,Brazil,Brazil Southeast,unknown,unknown,77106865-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77106865-1,POWO,2010,comb_nova
Eriocaulaceae,Eriocaulon,heteromallum,Eriocaulon_heteromallum,Bong.,Eriocaulon heteromallum Bong.,Accepted,NA,"Mém. Acad. Imp. Sci. St.-Pétersbourg, Sér. 6, Sci. Math. 1: 626 (1831)",FALSE,Brazil,Brazil Southeast,unknown,unknown,335361-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:335361-1,POWO,1831,taxon_novo
Eriocaulaceae,Paepalanthus,aggregatus,Paepalanthus_aggregatus,(F.N.Costa) Christenh. & Byng,Paepalanthus aggregatus (F.N.Costa) Christenh. & Byng,Accepted,NA,Global Fl. 4: 69 (2018),FALSE,Brazil,Brazil Southeast,unknown,unknown,77183155-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183155-1,POWO,2018,comb_nova
Eriocaulaceae,Paepalanthus,benedicti,Paepalanthus_benedicti,Silveira,Paepalanthus benedicti Silveira,Accepted,NA,Floral. Mont. 1: 238 (1928),FALSE,Brazil,Brazil Southeast,unknown,unknown,180130-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:180130-2,POWO,1928,taxon_novo
Eriocaulaceae,Paepalanthus,deflexus,Paepalanthus_deflexus,(F.N.Costa) Christenh. & Byng,Paepalanthus deflexus (F.N.Costa) Christenh. & Byng,Accepted,NA,Global Fl. 4: 69 (2018),FALSE,Brazil,Brazil Southeast,unknown,unknown,77183698-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183698-1,POWO,2018,comb_nova
Eriocaulaceae,Paepalanthus,delicatus,Paepalanthus_delicatus,(Sano) Christenh. & Byng,Paepalanthus delicatus (Sano) Christenh. & Byng,Accepted,NA,Global Fl. 4: 69 (2018),FALSE,Brazil,Brazil Southeast,unknown,unknown,77183291-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183291-1,POWO,2018,comb_nova
Eriocaulaceae,Paepalanthus,ferrugineus,Paepalanthus_ferrugineus,Andrino & Echtern.,Paepalanthus ferrugineus Andrino & Echtern.,Accepted,NA,Phytotaxa 505: 188 (2021),FALSE,Brazil,Brazil Southeast,unknown,unknown,77219861-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77219861-1,POWO,2021,taxon_novo
Eriocaulaceae,Paepalanthus,fluviatilis,Paepalanthus_fluviatilis,(Aubl.) Christenh. & Byng,Paepalanthus fluviatilis (Aubl.) Christenh. & Byng,Accepted,NA,Global Fl. 4: 69 (2018),FALSE,"Belize, Bolivia, Brazil, Colombia, Costa Rica, Cuba, Ecuador, French Guiana, Guyana, Honduras, Mexico, Nicaragua, Panama, Peru, Suriname, Trinidad-Tobago, Venezuela","Belize, Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Cuba, Ecuador, French Guiana, Guyana, Honduras, Mexico Gulf, Mexico Southeast, Nicaragua, Panama, Peru, Suriname, Trinidad-Tobago, Venezuela",unknown,unknown,77183852-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183852-1,POWO,2018,comb_nova
Eriocaulaceae,Paepalanthus,giuliettiae,Paepalanthus_giuliettiae,(Sano) Christenh. & Byng,Paepalanthus giuliettiae (Sano) Christenh. & Byng,Accepted,NA,Global Fl. 4: 69 (2018),FALSE,Brazil,Brazil Southeast,unknown,unknown,77183508-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77183508-1,POWO,2018,comb_nova
Eriocaulaceae,Paepalanthus,graminifolius,Paepalanthus_graminifolius,(F.N.Costa) Christenh. & Byng,Paepalanthus graminifolius (F.N.Costa) Christenh. & Byng,Accepted,NA,Global Fl. 4: 69 (2018),FALSE,Brazil,Brazil Southeast,unknown,unknown,77184291-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77184291-1,POWO,2018,comb_nova
Eriocaulaceae,Paepalanthus,irwinii,Paepalanthus_irwinii,Trovó & Echtern.,Paepalanthus irwinii Trovó & Echtern.,Accepted,NA,Eur. J. Taxon. 834: 65 (2022),FALSE,Brazil,Brazil West-Central,unknown,unknown,77302849-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77302849-1,POWO,2022,taxon_novo
Eriocaulaceae,Paepalanthus,koernickeanus,Paepalanthus_koernickeanus,(Trovó & F.N.Costa) Christenh. & Byng,Paepalanthus koernickeanus (Trovó & F.N.Costa) Christenh. & Byng,Accepted,NA,Global Fl. 4: 69 (2018),FALSE,Brazil,Brazil Southeast,unknown,unknown,77184312-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77184312-1,POWO,2018,comb_nova
Eriocaulaceae,Paepalanthus,luetzelburgii,Paepalanthus_luetzelburgii,Herzog,Paepalanthus luetzelburgii Herzog,Accepted,NA,Repert. Spec. Nov. Regni Veg. 20: 84 (1924),FALSE,Brazil,Brazil Northeast,unknown,unknown,180423-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:180423-2,POWO,1924,taxon_novo
Eriocaulaceae,Paepalanthus,mellosilvae,Paepalanthus_mellosilvae,Trovó,Paepalanthus mellosilvae Trovó,Accepted,NA,Phytotaxa 500: 249 (2021),FALSE,Brazil,Brazil Southeast,unknown,unknown,77219239-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77219239-1,POWO,2021,taxon_novo
Eriocaulaceae,Paepalanthus,milho-verdensis,Paepalanthus_milho-verdensis,Silveira,Paepalanthus milho-verdensis Silveira,Accepted,NA,Floral. Mont. 1: 131 (1928),FALSE,Brazil,Brazil Southeast,unknown,unknown,180458-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:180458-2,POWO,1928,taxon_novo
Eriocaulaceae,Paepalanthus,myocephalon,Paepalanthus_myocephalon,(Mart.) Körn.,Paepalanthus myocephalon (Mart.) Körn.,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 3(1): 256 (1863)",FALSE,Brazil,"Brazil North, Brazil Northeast, Brazil Southeast",unknown,unknown,336390-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:336390-1,POWO,1863,comb_nova
