family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Heliconiaceae,Heliconia,auriculata,Heliconia_auriculata,Barreiros,Heliconia auriculata Barreiros,Accepted,NA,Bradea 3: 103 (1980),FALSE,Brazil,Brazil Northeast,unknown,unknown,119305-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:119305-2,POWO,1980,taxon_novo
Heliconiaceae,Heliconia,carajaensis,Heliconia_carajaensis,Barreiros,Heliconia carajaensis Barreiros,Accepted,NA,Bradea 3: 104 (1980),FALSE,Brazil,Brazil North,unknown,unknown,119325-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:119325-2,POWO,1980,taxon_novo
Heliconiaceae,Heliconia,juliani,Heliconia_juliani,Barreiros,Heliconia juliani Barreiros,Accepted,NA,Rodriguésia 28: 130 (1976),FALSE,"Bolivia, Brazil, Colombia, Ecuador, Peru, Venezuela","Bolivia, Brazil North, Brazil West-Central, Colombia, Ecuador, Peru, Venezuela",unknown,unknown,119389-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:119389-2,POWO,1976,taxon_novo
Heliconiaceae,Heliconia,luciae,Heliconia_luciae,Barreiros,Heliconia luciae Barreiros,Accepted,NA,Bol. Mus. Paraense &quot;Emilio Goeldi&quot; 8: 157 (1992 publ. 1993),FALSE,Brazil,Brazil North,unknown,unknown,305518-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:305518-2,POWO,1993,taxon_novo
Heliconiaceae,Heliconia,mucronata,Heliconia_mucronata,Barreiros,Heliconia mucronata Barreiros,Accepted,NA,Revista Brasil. Biol. 33: 157 (1973),FALSE,"Brazil, Venezuela","Brazil North, Venezuela",unknown,unknown,584856-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:584856-1,POWO,1973,taxon_novo
Heliconiaceae,Heliconia,revoluta,Heliconia_revoluta,(Griggs) Standl.,Heliconia revoluta (Griggs) Standl.,Accepted,NA,"Publ. Field Mus. Nat. Hist., Bot. Ser. 8: 4 (1930)",FALSE,"Brazil, Colombia, Venezuela","Brazil North, Colombia, Venezuela",unknown,unknown,119465-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:119465-2,POWO,1930,comb_nova
Heliconiaceae,Heliconia,rivularis,Heliconia_rivularis,Emygdio & E.Santos,Heliconia rivularis Emygdio & E.Santos,Accepted,NA,"Bol. Mus. Nac. Rio de Janeiro, Bot., n.s., 43: 5 (1977)",FALSE,Brazil,Brazil Southeast,unknown,unknown,119469-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:119469-2,POWO,1977,taxon_novo
Heliconiaceae,Heliconia,santaremensis,Heliconia_santaremensis,Barreiros,Heliconia santaremensis Barreiros,Accepted,NA,Bradea 3: 103 (1980),FALSE,Brazil,Brazil North,unknown,unknown,119477-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:119477-2,POWO,1980,taxon_novo
Heliconiaceae,Heliconia,triflora,Heliconia_triflora,Barreiros,Heliconia triflora Barreiros,Accepted,NA,Rodriguésia 26: 128 (1971),FALSE,Brazil,Brazil North,unknown,unknown,119516-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:119516-2,POWO,1971,taxon_novo
Heliconiaceae,Heliconia,burchellii,Heliconia_burchellii,Baker,Heliconia burchellii Baker,Unknown,Heliconia burchellii Baker,Ann. Bot. (Oxford) 7(2): 197. 1893 [Jun 1893],FALSE,Brazil (Southern America),NA,NA,NA,119318-2,www.ipni.org/n/119318-2,IPNI,1893,taxon_novo
Heliconiaceae,Heliconia,ferdinandi-coburgii,Heliconia_ferdinandi-coburgii,Szyszył. in Wawra,Heliconia ferdinandi-coburgii Szyszył. in Wawra,Unknown,Heliconia ferdinandi-coburgii Szyszył. in Wawra,"Itin. Princ. S. Coburgi 2: 88, pl. 5. 1888",FALSE,Brazil (Southern America),NA,NA,NA,119364-2,www.ipni.org/n/119364-2,IPNI,1888,taxon_novo
Heliconiaceae,Heliconia,mariae-augustae,Heliconia_mariae-augustae,Emygdio & E.Santos,Heliconia mariae-augustae Emygdio & E.Santos,Unknown,Heliconia mariae-augustae Emygdio & E.Santos,"Bol. Mus. Nac. Rio de Janeiro n.s., Bot. no. 60: 2, figs. 1981",FALSE,Brazil (Southern America),NA,NA,NA,119414-2,www.ipni.org/n/119414-2,IPNI,1981,taxon_novo
Heliconiaceae,Heliconia,pabstii,Heliconia_pabstii,Emygdio & E.Santos,Heliconia pabstii Emygdio & E.Santos,Unknown,Heliconia pabstii Emygdio & E.Santos,"Bol. Mus. Nac. Rio de Janeiro n.s., Bot. no. 60: 4 (-5), fig. 1981",FALSE,Brazil (Southern America),NA,NA,NA,119435-2,www.ipni.org/n/119435-2,IPNI,1981,taxon_novo
Heliconiaceae,Heliconia,tarumaensis,Heliconia_tarumaensis,Barreiros,Heliconia tarumaensis Barreiros,Unknown,Heliconia tarumaensis Barreiros,Rodriguésia no. 41: 132. 1976,FALSE,Brazil (Southern America),NA,NA,NA,119510-2,www.ipni.org/n/119510-2,IPNI,1976,taxon_novo
