family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Menispermaceae,Abuta,acutifolia,Abuta_acutifolia,Miers,Abuta acutifolia Miers,Accepted,NA,"Ann. Mag. Nat. Hist., ser. 3, 14: 259 (1864)",FALSE,Brazil,Brazil North,unknown,unknown,580032-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:580032-1,POWO,1864,taxon_novo
Menispermaceae,Abuta,alto-macahensis,Abuta_alto-macahensis,Feliz & J.M.A.Braga,Abuta alto-macahensis Feliz & J.M.A.Braga,Accepted,NA,Phytotaxa 556: 194 (2022),FALSE,Brazil,Brazil Southeast,unknown,unknown,77303166-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77303166-1,POWO,2022,taxon_novo
Menispermaceae,Abuta,bullata,Abuta_bullata,Moldenke,Abuta bullata Moldenke,Accepted,NA,Brittonia 3: 52 (1938),FALSE,"Brazil, French Guiana, Guyana","Brazil North, French Guiana, Guyana",unknown,unknown,136-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:136-2,POWO,1938,taxon_novo
Menispermaceae,Abuta,platyphylla,Abuta_platyphylla,Mart. ex Eichler,Abuta platyphylla Mart. ex Eichler,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 13(1): 200 (1864)",FALSE,Brazil,Brazil North,unknown,unknown,580075-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:580075-1,POWO,1864,taxon_novo
Menispermaceae,Curarea,tomentocarpa,Curarea_tomentocarpa,(Rusby) R.Ortiz,Curarea tomentocarpa (Rusby) R.Ortiz,Accepted,NA,PhytoKeys 100: 72 (2018),FALSE,"Bolivia, Brazil, Ecuador, Peru","Bolivia, Brazil North, Ecuador, Peru",unknown,unknown,77185802-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77185802-1,POWO,2018,comb_nova
Menispermaceae,Disciphania,killipii,Disciphania_killipii,Diels,Disciphania killipii Diels,Accepted,NA,Notizbl. Bot. Gart. Berlin-Dahlem 11: 782 (1933),FALSE,"Brazil, Colombia, Ecuador, Peru","Brazil North, Colombia, Ecuador, Peru",unknown,unknown,82151-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:82151-2,POWO,1933,taxon_novo
Menispermaceae,Elissarrhena,longipes,Elissarrhena_longipes,Miers,Elissarrhena longipes Miers,Accepted,NA,"Ann. Mag. Nat. Hist., ser. 3, 13: 124 (1864)",FALSE,"Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru","Bolivia, Brazil North, Brazil West-Central, Colombia, Ecuador, Guyana, Peru",unknown,unknown,580797-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:580797-1,POWO,1864,taxon_novo
Menispermaceae,Elissarrhena,solimoesana,Elissarrhena_solimoesana,(Moldenke) Wei Wang & R.Ortiz,Elissarrhena solimoesana (Moldenke) Wei Wang & R.Ortiz,Accepted,NA,Molec. Phylogen. Evol. 136: 50 (2018),FALSE,"Brazil, Colombia, Ecuador, Peru","Brazil North, Colombia, Ecuador, Peru",unknown,unknown,77199693-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77199693-1,POWO,2018,comb_nova
Menispermaceae,Odontocarya,miersiana,Odontocarya_miersiana,Barneby,Odontocarya miersiana Barneby,Accepted,NA,Mem. New York Bot. Gard. 20(2): 95 (1970),FALSE,Brazil,Brazil Southeast,unknown,unknown,172180-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:172180-2,POWO,1970,taxon_novo
Menispermaceae,Rupertiella,boliviana,Rupertiella_boliviana,(Krukoff & Moldenke) Wei Wang & R.Ortiz,Rupertiella boliviana (Krukoff & Moldenke) Wei Wang & R.Ortiz,Accepted,NA,Molec. Phylogen. Evol. 136: 51 (2018),FALSE,"Bolivia, Brazil, Ecuador, Peru","Bolivia, Brazil North, Brazil West-Central, Ecuador, Peru",unknown,unknown,77199694-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77199694-1,POWO,2018,comb_nova
Menispermaceae,Telitoxicum,negroense,Telitoxicum_negroense,(Krukoff & Moldenke) Krukoff,Telitoxicum negroense (Krukoff & Moldenke) Krukoff,Accepted,NA,Phytologia 41: 244 (1979),FALSE,Brazil,Brazil North,unknown,unknown,581526-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:581526-1,POWO,1979,comb_nova
Menispermaceae,Anomospermum,dielsianum,Anomospermum_dielsianum,Moldenke,Anomospermum dielsianum Moldenke,Unknown,Anomospermum dielsianum Moldenke,Brittonia 3: 37. 1938,FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,14461-2,www.ipni.org/n/14461-2,IPNI,1938,taxon_novo
