family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Monimiaceae,Mollinedia,jorgeorum,Mollinedia_jorgeorum,Peixoto,Mollinedia jorgeorum Peixoto,Accepted,NA,Arch. Jard. Bot. Rio de Janeiro 27: 194 (1983-1985 publ. 1985),FALSE,Brazil,Brazil Southeast,unknown,unknown,929255-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:929255-1,POWO,1985,taxon_novo
Monimiaceae,Mollinedia,aphanantha,Mollinedia_aphanantha,Perkins,Mollinedia aphanantha Perkins,Unknown,Mollinedia aphanantha Perkins,Bot. Jahrb. Syst. 27(5): 658. 1900 [23 Feb 1900],FALSE,Brazil (Southern America),NA,NA,NA,163065-2,www.ipni.org/n/163065-2,IPNI,1900,taxon_novo
Monimiaceae,Mollinedia,arianeae,Mollinedia_arianeae,Lírio & M.Pignal,Mollinedia arianeae Lírio & M.Pignal,Unknown,Mollinedia arianeae Lírio & M.Pignal,"Adansonia sér. 3, 45(6): 86. 2023 [13 Mar 2023]",FALSE,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,NA,NA,77308394-1,www.ipni.org/n/77308394-1,IPNI,2023,taxon_novo
Monimiaceae,Mollinedia,dentata,Mollinedia_dentata,Glaz.,Mollinedia dentata Glaz.,Unknown,Mollinedia dentata Glaz.,Bull. Soc. Bot. France 59(Mém. 3g): 585. 1913,FALSE,Brazil (Southern America),NA,NA,NA,163088-2,www.ipni.org/n/163088-2,IPNI,1913,taxon_novo
Monimiaceae,Mollinedia,fatimae,Mollinedia_fatimae,Zavatin & Lírio,Mollinedia fatimae Zavatin & Lírio,Unknown,Mollinedia fatimae Zavatin & Lírio,PhytoKeys 234: 191. 2023 [23 Oct 2023] [epublished],FALSE,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,NA,NA,77329058-1,www.ipni.org/n/77329058-1,IPNI,2023,taxon_novo
Monimiaceae,Mollinedia,pignalii,Mollinedia_pignalii,Lírio & M.Pauli,Mollinedia pignalii Lírio & M.Pauli,Unknown,Mollinedia pignalii Lírio & M.Pauli,Acta Bot. Brasil. 37-e20230174: 3. [15 Sep 2023] [epublished],FALSE,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,NA,NA,77329164-1,www.ipni.org/n/77329164-1,IPNI,2023,taxon_novo
Monimiaceae,Mollinedia,saldanhaei,Mollinedia_saldanhaei,Glaz.,Mollinedia saldanhaei Glaz.,Unknown,Mollinedia saldanhaei Glaz.,Bull. Soc. Bot. France 59(Mém. 3g): 586. 1913,FALSE,Brazil (Southern America),NA,NA,NA,163145-2,www.ipni.org/n/163145-2,IPNI,1913,taxon_novo
Monimiaceae,Siparuna,foetida,Siparuna_foetida,Barb.Rodr.,Siparuna foetida Barb.Rodr.,Unknown,Siparuna foetida Barb.Rodr.,"Vellosia ed. 2, 1: 68, pl. 21. 1891",FALSE,Brazil (Southern America),NA,NA,NA,237201-2,www.ipni.org/n/237201-2,IPNI,1891,taxon_novo
Monimiaceae,Siparuna,langsdorffii,Siparuna_langsdorffii,Tolm.,Siparuna langsdorffii Tolm.,Unknown,Siparuna langsdorffii Tolm.,Bot. Mater. Gerb. Glavn. Bot. Sada R.S.F.S.R. 2: 154. 1921,FALSE,"Rio de Janeiro (Brazil, Southern America)",NA,NA,NA,237223-2,www.ipni.org/n/237223-2,IPNI,1921,taxon_novo
Monimiaceae,Siparuna,mourae,Siparuna_mourae,Perkins,Siparuna mourae Perkins,Unknown,Siparuna mourae Perkins,Bot. Jahrb. Syst. 28(5): 675. 1901 [11 Jan 1901],FALSE,Brazil (Southern America),NA,NA,NA,237238-2,www.ipni.org/n/237238-2,IPNI,1901,taxon_novo
Monimiaceae,Siparuna,saurauiifolia,Siparuna_saurauiifolia,Perkins,Siparuna saurauiifolia Perkins,Unknown,Siparuna saurauiifolia Perkins,Repert. Spec. Nov. Regni Veg. 1: 155. 1905,FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,237269-2,www.ipni.org/n/237269-2,IPNI,1905,taxon_novo
Monimiaceae,Siparuna,tupinambarum,Siparuna_tupinambarum,Jangoux,Siparuna tupinambarum Jangoux,Unknown,Siparuna tupinambarum Jangoux,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 149, fig. 17, 18c. 1991",FALSE,"Bahia (Brazil, Southern America)",NA,NA,NA,304671-2,www.ipni.org/n/304671-2,IPNI,1991,taxon_novo
