family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Olacaceae,Aptandra,liriosmoides,Aptandra_liriosmoides,Spruce ex Miers,Aptandra liriosmoides Spruce ex Miers,Accepted,NA,"Ann. Mag. Nat. Hist., ser. 3, 4: 360 (1859)",FALSE,"Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,607625-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607625-1,POWO,1859,taxon_novo
Olacaceae,Aptandra,tubicina,Aptandra_tubicina,(Poepp.) Benth. ex Miers,Aptandra tubicina (Poepp.) Benth. ex Miers,Accepted,NA,"Ann. Mag. Nat. Hist., ser. 3, 4: 360 (1859)",FALSE,"Bolivia, Brazil, Colombia, Ecuador, Peru, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil West-Central, Colombia, Ecuador, Peru, Venezuela",unknown,unknown,607627-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607627-1,POWO,1859,comb_nova
Olacaceae,Brachynema,axillare,Brachynema_axillare,Duno & P.E.Berry,Brachynema axillare Duno & P.E.Berry,Accepted,NA,Novon 5: 238 (1995),FALSE,"Brazil, Venezuela","Brazil North, Venezuela",unknown,unknown,306114-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:306114-2,POWO,1995,taxon_novo
Olacaceae,Brachynema,ramiflorum,Brachynema_ramiflorum,Benth.,Brachynema ramiflorum Benth.,Accepted,NA,Trans. Linn. Soc. London 22: 126 (1857),FALSE,"Brazil, Peru","Brazil North, Brazil West-Central, Peru",unknown,unknown,322021-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322021-1,POWO,1857,taxon_novo
Olacaceae,Cathedra,acuminata,Cathedra_acuminata,(Benth.) Miers,Cathedra acuminata (Benth.) Miers,Accepted,NA,"Ann. Mag. Nat. Hist., ser. 3, 4: 361 (1859)",FALSE,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela","Bolivia, Brazil North, Brazil West-Central, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela",unknown,unknown,607671-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607671-1,POWO,1859,comb_nova
Olacaceae,Cathedra,bahiensis,Cathedra_bahiensis,Sleumer,Cathedra bahiensis Sleumer,Accepted,NA,Fl. Neotrop. Monogr. 38: 111 (1984),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,50078-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:50078-2,POWO,1984,taxon_novo
Olacaceae,Cathedra,paraensis,Cathedra_paraensis,Sleumer,Cathedra paraensis Sleumer,Accepted,NA,Repert. Spec. Nov. Regni Veg. 39: 281 (1936),FALSE,Brazil,Brazil North,unknown,unknown,50084-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:50084-2,POWO,1936,taxon_novo
Olacaceae,Cathedra,rubricaulis,Cathedra_rubricaulis,Miers,Cathedra rubricaulis Miers,Accepted,NA,"Ann. Mag. Nat. Hist., ser. 2, 7: 458 (1851)",FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,607681-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607681-1,POWO,1851,taxon_novo
Olacaceae,Cathedra,rupestris,Cathedra_rupestris,D.S.Lucena & M.Alves,Cathedra rupestris D.S.Lucena & M.Alves,Accepted,NA,Syst. Bot. 46: 709 (2021),FALSE,Brazil,Brazil Northeast,unknown,unknown,77254925-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77254925-1,POWO,2021,taxon_novo
Olacaceae,Chaunochiton,angustifolium,Chaunochiton_angustifolium,Sleumer,Chaunochiton angustifolium Sleumer,Accepted,NA,Repert. Spec. Nov. Regni Veg. 42: 261 (1937),FALSE,"Brazil, Colombia, Venezuela","Brazil North, Colombia, Venezuela",unknown,unknown,55670-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:55670-2,POWO,1937,taxon_novo
Olacaceae,Chaunochiton,kappleri,Chaunochiton_kappleri,(Sagot ex Engl.) Ducke,Chaunochiton kappleri (Sagot ex Engl.) Ducke,Accepted,NA,Arch. Jard. Bot. Rio de Janeiro 3: 41 (1922),FALSE,"Bolivia, Brazil, Colombia, Costa Rica, French Guiana, Guyana, Suriname","Bolivia, Brazil North, Brazil Northeast, Brazil West-Central, Colombia, Costa Rica, French Guiana, Guyana, Suriname",unknown,unknown,55672-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:55672-2,POWO,1922,comb_nova
Olacaceae,Chaunochiton,loranthoides,Chaunochiton_loranthoides,Benth.,Chaunochiton loranthoides Benth.,Accepted,NA,Hooker&#x27;s Icon. Pl. 11: t. 1005 (1867),FALSE,"Brazil, Colombia, Venezuela","Brazil North, Colombia, Venezuela",unknown,unknown,607695-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:607695-1,POWO,1867,taxon_novo
