family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Onagraceae,Ludwigia,humboldtiana,Ludwigia_humboldtiana,"Funez, D.M.Farias, Hassemer & Gasper","Ludwigia humboldtiana Funez, D.M.Farias, Hassemer & Gasper",Accepted,NA,Phytotaxa 470: 80 (2020),FALSE,Brazil,Brazil South,unknown,unknown,77212689-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77212689-1,POWO,2020,taxon_novo
Onagraceae,Ludwigia,irregularis,Ludwigia_irregularis,"Funez, Hassemer, D.M.Farias & Gasper","Ludwigia irregularis Funez, Hassemer, D.M.Farias & Gasper",Accepted,NA,Phytotaxa 520: 258 (2021),FALSE,Brazil,Brazil South,unknown,unknown,77221364-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77221364-1,POWO,2021,taxon_novo
Onagraceae,Oenothera,centaureifolia,Oenothera_centaureifolia,(Spach) Steud.,Oenothera centaureifolia (Spach) Steud.,Accepted,NA,"Nomencl. Bot., ed. 2, 2: 206 (1841)",FALSE,"Argentina, Brazil, Uruguay","Argentina Northeast, Brazil South, Uruguay",unknown,unknown,613604-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:613604-1,POWO,1841,comb_nova
Onagraceae,Fuchsia,fontinalis,Fuchsia_fontinalis,J.F.Macbr.,Fuchsia fontinalis J.F.Macbr.,Unknown,Fuchsia fontinalis J.F.Macbr.,Candollea 8: 25. 1940,FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,106182-2,www.ipni.org/n/106182-2,IPNI,1940,taxon_novo
Onagraceae,Fuchsia,llewelynii,Fuchsia_llewelynii,J.F.Macbr.,Fuchsia llewelynii J.F.Macbr.,Unknown,Fuchsia llewelynii J.F.Macbr.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13, pt. 4: 556. 1941",FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,106210-2,www.ipni.org/n/106210-2,IPNI,1941,taxon_novo
Onagraceae,Fuchsia,mathewsii,Fuchsia_mathewsii,J.F.Macbr.,Fuchsia mathewsii J.F.Macbr.,Unknown,Fuchsia mathewsii J.F.Macbr.,Candollea 8: 24. 1940,FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,106230-2,www.ipni.org/n/106230-2,IPNI,1940,taxon_novo
Onagraceae,Fuchsia,woytkowskii,Fuchsia_woytkowskii,J.F.Macbr.,Fuchsia woytkowskii J.F.Macbr.,Unknown,Fuchsia woytkowskii J.F.Macbr.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13, pt. 4: 566. 1941",FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,106311-2,www.ipni.org/n/106311-2,IPNI,1941,taxon_novo
Onagraceae,Fuchsia,wurdackii,Fuchsia_wurdackii,Munz,Fuchsia wurdackii Munz,Unknown,Fuchsia wurdackii Munz,Brittonia 16: 229. 1964,FALSE,"Amazonas (Brazil, Southern America)",NA,NA,NA,106312-2,www.ipni.org/n/106312-2,IPNI,1964,taxon_novo
Onagraceae,Lopezia,glazioui,Lopezia_glazioui,H.Lév.,Lopezia glazioui H.Lév.,Unknown,Lopezia glazioui H.Lév.,Repert. Spec. Nov. Regni Veg. 4: 226. 1907,FALSE,Brazil (Southern America),NA,NA,NA,143520-2,www.ipni.org/n/143520-2,IPNI,1907,taxon_novo
Onagraceae,Pelozia,heringeri,Pelozia_heringeri,Krapov. & Cristóbal,Pelozia heringeri Krapov. & Cristóbal,Unknown,Pelozia heringeri Krapov. & Cristóbal,Kurtziana 2: 185. 1965,FALSE,"Distrito Federal (Brazil, Southern America)",NA,NA,NA,186939-2,www.ipni.org/n/186939-2,IPNI,1965,taxon_novo
Onagraceae,Pelozia,lasiantha,Pelozia_lasiantha,Krapov. & Cristóbal,Pelozia lasiantha Krapov. & Cristóbal,Unknown,Pelozia lasiantha Krapov. & Cristóbal,Kurtziana 2: 188. 1965,FALSE,"Minas Gerais (Brazil, Southern America)",NA,NA,NA,186940-2,www.ipni.org/n/186940-2,IPNI,1965,taxon_novo
Onagraceae,Pelozia,macedoi,Pelozia_macedoi,Krapov. & Cristóbal,Pelozia macedoi Krapov. & Cristóbal,Unknown,Pelozia macedoi Krapov. & Cristóbal,Kurtziana 2: 196. 1965,FALSE,"Goiás (Brazil, Southern America)",NA,NA,NA,186941-2,www.ipni.org/n/186941-2,IPNI,1965,taxon_novo
