family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Piperaceae,Ottonia,albopunctata,Ottonia_albopunctata,Trel.,Ottonia albopunctata Trel.,Unknown,Ottonia albopunctata Trel.,Proc. Amer. Philos. Soc. 75: 696. 1935,FALSE,"Minas Gerais (Brazil, Southern America)",NA,NA,NA,177398-2,www.ipni.org/n/177398-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,armondi,Ottonia_armondi,Trel.,Ottonia armondi Trel.,Unknown,Ottonia armondi Trel.,Proc. Amer. Philos. Soc. 75: 697. 1935,FALSE,"Rio de Janeiro (Brazil, Southern America)",NA,NA,NA,177402-2,www.ipni.org/n/177402-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,douglasii,Ottonia_douglasii,Trel.,Ottonia douglasii Trel.,Unknown,Ottonia douglasii Trel.,Proc. Amer. Philos. Soc. 75: 701. 1935,FALSE,"Rio de Janeiro (Brazil, Southern America)",NA,NA,NA,177417-2,www.ipni.org/n/177417-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,grandifolia,Ottonia_grandifolia,Trel.,Ottonia grandifolia Trel.,Unknown,Ottonia grandifolia Trel.,Proc. Amer. Philos. Soc. 75: 705. 1935,FALSE,"Minas Gerais (Brazil, Southern America)",NA,NA,NA,177430-2,www.ipni.org/n/177430-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,hammarii,Ottonia_hammarii,Trel.,Ottonia hammarii Trel.,Unknown,Ottonia hammarii Trel.,Proc. Amer. Philos. Soc. 75: 705. 1935,FALSE,"Sao Paulo (Brazil, Southern America)",NA,NA,NA,177431-2,www.ipni.org/n/177431-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,mendoncae,Ottonia_mendoncae,Trel.,Ottonia mendoncae Trel.,Unknown,Ottonia mendoncae Trel.,Proc. Amer. Philos. Soc. 75: 708. 1935,FALSE,"Rio de Janeiro (Brazil, Southern America)",NA,NA,NA,177445-2,www.ipni.org/n/177445-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,santa-annae,Ottonia_santa-annae,Trel.,Ottonia santa-annae Trel.,Unknown,Ottonia santa-annae Trel.,Proc. Amer. Philos. Soc. 75: 713. 1935,FALSE,"Sao Paulo (Brazil, Southern America)",NA,NA,NA,177465-2,www.ipni.org/n/177465-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,santa-ludoviciana,Ottonia_santa-ludoviciana,Trel.,Ottonia santa-ludoviciana Trel.,Unknown,Ottonia santa-ludoviciana Trel.,Proc. Amer. Philos. Soc. 75: 714. 1935,FALSE,Brazil (Southern America),NA,NA,NA,177466-2,www.ipni.org/n/177466-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,santa-ritana,Ottonia_santa-ritana,Trel.,Ottonia santa-ritana Trel.,Unknown,Ottonia santa-ritana Trel.,Proc. Amer. Philos. Soc. 75: 714. 1935,FALSE,"Minas Gerais (Brazil, Southern America)",NA,NA,NA,177467-2,www.ipni.org/n/177467-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,stationis,Ottonia_stationis,Trel.,Ottonia stationis Trel.,Unknown,Ottonia stationis Trel.,Proc. Amer. Philos. Soc. 75: 714. 1935,FALSE,"Bahia (Brazil, Southern America)",NA,NA,NA,177469-2,www.ipni.org/n/177469-2,IPNI,1935,taxon_novo
Piperaceae,Ottonia,striaticaulis,Ottonia_striaticaulis,Trel.,Ottonia striaticaulis Trel.,Unknown,Ottonia striaticaulis Trel.,Proc. Amer. Philos. Soc. 75: 715. 1935,FALSE,Brazil (Southern America),NA,NA,NA,177471-2,www.ipni.org/n/177471-2,IPNI,1935,taxon_novo
Piperaceae,Peperomia,beckeri,Peperomia_beckeri,E.F.Guim. & R.J.V.Alves,Peperomia beckeri E.F.Guim. & R.J.V.Alves,Unknown,Peperomia beckeri E.F.Guim. & R.J.V.Alves,Bradea 8(17): 98 (1998).,FALSE,Brazil Southeast (Trinidade).,NA,NA,NA,1004804-1,www.ipni.org/n/1004804-1,IPNI,1998,taxon_novo
