family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Poaceae,Anthenantia,lanata,Anthenantia_lanata,(Kunth) Benth.,Anthenantia lanata (Kunth) Benth.,Accepted,NA,"J. Linn. Soc., Bot. 19: 39 (1882)",FALSE,"Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Trinidad-Tobago, Uruguay, Venezuela","Argentina Northeast, Argentina Northwest, Belize, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Cuba, Dominican Republic, El Salvador, French Guiana, Guatemala, Guyana, Haiti, Honduras, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Trinidad-Tobago, Uruguay, Venezuela",unknown,unknown,388843-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:388843-1,POWO,1882,comb_nova
Poaceae,Arthrostylidium,cachimboense,Arthrostylidium_cachimboense,Lopes-Neto & P.L.Viana,Arthrostylidium cachimboense Lopes-Neto & P.L.Viana,Accepted,NA,Phytotaxa 550: 104 (2022),FALSE,Brazil,Brazil North,unknown,unknown,77299788-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77299788-1,POWO,2022,taxon_novo
Poaceae,Axonopus,ramosus,Axonopus_ramosus,Swallen,Axonopus ramosus Swallen,Accepted,NA,Contr. U.S. Natl. Herb. 29: 413 (1950),FALSE,"Brazil, French Guiana, Suriname, Venezuela","Brazil North, French Guiana, Suriname, Venezuela",unknown,unknown,27407-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27407-2,POWO,1950,taxon_novo
Poaceae,Boldrinia,parodiana,Boldrinia_parodiana,"(Roseng., B.R.Arrill. & Izag.) L.N.Silva","Boldrinia parodiana (Roseng., B.R.Arrill. & Izag.) L.N.Silva",Accepted,NA,J. Syst. Evol. 60: 704 (2021),FALSE,"Brazil, Uruguay","Brazil South, Uruguay",unknown,unknown,77309828-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77309828-1,POWO,2021,comb_nova
Poaceae,Bouteloua,media,Bouteloua_media,(E.Fourn.) Gould & Kapadia,Bouteloua media (E.Fourn.) Gould & Kapadia,Accepted,NA,Brittonia 16: 196 (1964),FALSE,"Argentina, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Uruguay","Argentina Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Paraguay, Peru, Uruguay",unknown,unknown,35615-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:35615-2,POWO,1964,comb_nova
Poaceae,Bromus,brachyantherus,Bromus_brachyantherus,Döll,Bromus brachyantherus Döll,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 2(3): 110 (1878)",FALSE,"Argentina, Bolivia, Brazil, Uruguay","Argentina Northeast, Argentina Northwest, Bolivia, Brazil South, Brazil Southeast, Uruguay",unknown,unknown,393571-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:393571-1,POWO,1878,taxon_novo
Poaceae,Calotheca,brizoides,Calotheca_brizoides,(Lam.) P.Beauv.,Calotheca brizoides (Lam.) P.Beauv.,Accepted,NA,"Ess. Agrostogr.: 86, 155 (1812)",FALSE,"Argentina, Brazil, Chile, Uruguay","Argentina Northeast, Brazil South, Chile Central, Uruguay",unknown,unknown,394961-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:394961-1,POWO,1812,comb_nova
Poaceae,Chascolytrum,erectum,Chascolytrum_erectum,(Lam.) Desv.,Chascolytrum erectum (Lam.) Desv.,Accepted,NA,Nouv. Bull. Sci. Soc. Philom. Paris 2: 190 (1810),FALSE,"Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Brazil South, Brazil Southeast, Paraguay, Uruguay",unknown,unknown,395657-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:395657-1,POWO,1810,comb_nova
Poaceae,Chloris,radiata,Chloris_radiata,(L.) Sw.,Chloris radiata (L.) Sw.,Accepted,NA,Prodr. Veg. Ind. Occ.: 26 (1788),FALSE,"Bahamas, Belize, Bermuda, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Galapagos, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Trinidad-Tobago, Venezuela, Windward Is.","Bahamas, Belize, Bermuda, Bolivia, Brazil North, Brazil Northeast, Brazil South, Chile North, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, French Guiana, Galapagos, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Trinidad-Tobago, Venezuela, Windward Is.","Cape Verde, Caroline Is., Japan, Kazan-retto, Marianas, Marquesas, Marshall Is., Nansei-shoto, Ogasawara-shoto, Samoa, Tonga, United States","Cape Verde, Caroline Is., Florida, Hawaii, Japan, Kazan-retto, Marianas, Marquesas, Marshall Is., Nansei-shoto, Ogasawara-shoto, Oregon, Samoa, Tonga",1095725-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1095725-2,POWO,1788,comb_nova
Poaceae,Chusquea,anelythroides,Chusquea_anelythroides,Rupr. ex Döll,Chusquea anelythroides Rupr. ex Döll,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 2(3): 206 (1880)",FALSE,Brazil,Brazil Southeast,unknown,unknown,316724-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:316724-2,POWO,1880,taxon_novo
Poaceae,Chusquea,magnifolia,Chusquea_magnifolia,L.G.Clark,Chusquea magnifolia L.G.Clark,Accepted,NA,Syst. Bot. 34: 681 (2009),FALSE,"Brazil, Costa Rica, Panama, Venezuela","Brazil North, Costa Rica, Panama, Venezuela",unknown,unknown,77105873-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77105873-1,POWO,2009,taxon_novo
Poaceae,Condilorachia,brasiliensis,Condilorachia_brasiliensis,"(Louis-Marie) P.M.Peterson, Romasch. & Soreng","Condilorachia brasiliensis (Louis-Marie) P.M.Peterson, Romasch. & Soreng",Accepted,NA,J. Syst. Evol. 60: 586 (2021),FALSE,Brazil,Brazil Southeast,unknown,unknown,77308352-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77308352-1,POWO,2021,comb_nova
Poaceae,Condilorachia,juergensii,Condilorachia_juergensii,"(Hack.) P.M.Peterson, Romasch. & Soreng","Condilorachia juergensii (Hack.) P.M.Peterson, Romasch. & Soreng",Accepted,NA,J. Syst. Evol. 60: 586 (2021),FALSE,Brazil,Brazil South,unknown,unknown,77308398-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77308398-1,POWO,2021,comb_nova
Poaceae,Danthonia,breviseta,Danthonia_breviseta,Hack.,Danthonia breviseta Hack.,Accepted,NA,Oesterr. Bot. Z. 52: 192 (1902),FALSE,Brazil,Brazil Southeast,unknown,unknown,76606-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:76606-2,POWO,1902,taxon_novo
Poaceae,Danthonia,cernua,Danthonia_cernua,Döll,Danthonia cernua Döll,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 2(3): 101 (1878)",FALSE,Brazil,Brazil South,unknown,unknown,397495-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:397495-1,POWO,1878,taxon_novo
Poaceae,Digitaria,induta,Digitaria_induta,Swallen,Digitaria induta Swallen,Accepted,NA,Contr. U.S. Natl. Herb. 29: 266 (1948),FALSE,Brazil,Brazil Northeast,unknown,unknown,80266-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:80266-2,POWO,1948,taxon_novo
Poaceae,Digitaria,leiantha,Digitaria_leiantha,(Hack.) Parodi,Digitaria leiantha (Hack.) Parodi,Accepted,NA,Physis (Buenos Aires) 8: 21 (1928),FALSE,"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Bolivia, Brazil South, Paraguay",unknown,unknown,80278-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:80278-2,POWO,1928,comb_nova
Poaceae,Digitaria,pittieri,Digitaria_pittieri,(Hack.) Henrard,Digitaria pittieri (Hack.) Henrard,Accepted,NA,Blumea 1: 99 (1934),FALSE,"Brazil, Costa Rica, Ecuador, Nicaragua, Peru, Venezuela","Brazil Northeast, Costa Rica, Ecuador, Nicaragua, Peru, Venezuela",unknown,unknown,80308-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:80308-2,POWO,1934,comb_nova
Poaceae,Digitaria,sabulicola,Digitaria_sabulicola,Henrard,Digitaria sabulicola Henrard,Accepted,NA,Blumea 1: 108 (1934),FALSE,Brazil,Brazil Southeast,unknown,unknown,80314-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:80314-2,POWO,1934,taxon_novo
