family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Podostemaceae,Apinagia,batrachiifolia,Apinagia_batrachiifolia,(Mildbr.) P.Royen,Apinagia batrachiifolia (Mildbr.) P.Royen,Accepted,NA,Meded. Bot. Mus. Herb. Rijks Univ. Utrecht 107: 56 (1951),FALSE,Brazil,"Brazil North, Brazil Northeast",unknown,unknown,16361-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:16361-2,POWO,1951,comb_nova
Podostemaceae,Castelnavia,pusillina,Castelnavia_pusillina,Tul. & Wedd.,Castelnavia pusillina Tul. & Wedd.,Accepted,NA,"Ann. Sci. Nat., Bot., sér. 3, 11: 109 (1849)",FALSE,Brazil,Brazil West-Central,unknown,unknown,688118-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:688118-1,POWO,1849,taxon_novo
Podostemaceae,Rhyncholacis,divaricata,Rhyncholacis_divaricata,Matthiesen,Rhyncholacis divaricata Matthiesen,Accepted,NA,Biblioth. Bot. 66: 19 (1908),FALSE,"Brazil, Venezuela","Brazil North, Venezuela",unknown,unknown,219998-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:219998-2,POWO,1908,taxon_novo
Podostemaceae,Apinagia,crulsiana,Apinagia_crulsiana,Warm.,Apinagia crulsiana Warm.,Unknown,Apinagia crulsiana Warm.,Bull. Soc. Bot. France 58(Mém. 3f): 574. 1911,FALSE,Brazil (Southern America),NA,NA,NA,16371-2,www.ipni.org/n/16371-2,IPNI,1911,taxon_novo
Podostemaceae,Apinagia,parahybensis,Apinagia_parahybensis,Glaz.,Apinagia parahybensis Glaz.,Unknown,Apinagia parahybensis Glaz.,Bull. Soc. Bot. France 58(Mém. 3f): 575. 1911,FALSE,Brazil (Southern America),NA,NA,NA,16395-2,www.ipni.org/n/16395-2,IPNI,1911,taxon_novo
Podostemaceae,Apinagia,warmingii,Apinagia_warmingii,Glaz.,Apinagia warmingii Glaz.,Unknown,Apinagia warmingii Glaz.,Bull. Soc. Bot. France 58(Mém. 3f): 575. 1911,FALSE,Brazil (Southern America),NA,NA,NA,16414-2,www.ipni.org/n/16414-2,IPNI,1911,taxon_novo
Podostemaceae,Castelnavia,warmingii,Castelnavia_warmingii,Glaz.,Castelnavia warmingii Glaz.,Unknown,Castelnavia warmingii Glaz.,Bull. Soc. Bot. France 58(Mém. 3f): 576. 1911,FALSE,Brazil (Southern America),NA,NA,NA,49362-2,www.ipni.org/n/49362-2,IPNI,1911,taxon_novo
Podostemaceae,Ligea,glaziovii,Ligea_glaziovii,Warm.,Ligea glaziovii Warm.,Unknown,Ligea glaziovii Warm.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 4: 465, 481, tab. 22, 23. 1888 Warm. Fam. Podostem. 3: 23, 39, tab. 22, 23.  1888",FALSE,Brazil (Southern America),NA,NA,NA,139996-2,www.ipni.org/n/139996-2,IPNI,1888,taxon_novo
Podostemaceae,Mniopsis,crulsiana,Mniopsis_crulsiana,Warm.,Mniopsis crulsiana Warm.,Unknown,Mniopsis crulsiana Warm.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. ser. 6, 9: 138, fig.33. 34. 1899 Warm. Fam. Podostem. 5: 34, fig. 33, 34.  1899",FALSE,Brazil (Southern America),NA,NA,NA,162932-2,www.ipni.org/n/162932-2,IPNI,1899,taxon_novo
Podostemaceae,Podostemum,glaziovii,Podostemum_glaziovii,Warm.,Podostemum glaziovii Warm.,Unknown,Podostemum glaziovii Warm.,Bull. Soc. Bot. France 58(Mém. 3f): 575. 1911,FALSE,Brazil (Southern America),NA,NA,NA,204681-2,www.ipni.org/n/204681-2,IPNI,1911,taxon_novo
