family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Polygalaceae,Caamembeca,martinellii,Caamembeca_martinellii,(Marques & E.F.Guim.) J.F.B.Pastore,Caamembeca martinellii (Marques & E.F.Guim.) J.F.B.Pastore,Accepted,NA,Kew Bull. 67: 439 (2012),FALSE,Brazil,Brazil Northeast,unknown,unknown,77119193-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77119193-1,POWO,2012,comb_nova
Polygalaceae,Diclidanthera,bolivarensis,Diclidanthera_bolivarensis,Pittier,Diclidanthera bolivarensis Pittier,Accepted,NA,Bol. Soc. Venez. Ci. Nat. 7(51): 313 (1942),FALSE,"Brazil, Colombia, Peru, Venezuela","Brazil North, Colombia, Peru, Venezuela",unknown,unknown,826358-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:826358-1,POWO,1942,taxon_novo
Polygalaceae,Moutabea,arianae,Moutabea_arianae,Jans.-Jac. & Maas,Moutabea arianae Jans.-Jac. & Maas,Accepted,NA,Blumea 55: 86 (2010),FALSE,"Brazil, French Guiana","Brazil North, French Guiana",unknown,unknown,77104910-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77104910-1,POWO,2010,taxon_novo
Polygalaceae,Polygala,bevilacquae,Polygala_bevilacquae,Marques,Polygala bevilacquae Marques,Accepted,NA,Hoehnea 30: 213 (2003),FALSE,Brazil,Brazil Southeast,unknown,unknown,77061720-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77061720-1,POWO,2003,taxon_novo
Polygalaceae,Polygala,bringelii,Polygala_bringelii,J.F.B.Pastore & Antar,Polygala bringelii J.F.B.Pastore & Antar,Accepted,NA,Eur. J. Taxon. 762: 135 (2021),FALSE,Brazil,Brazil North,unknown,unknown,77219129-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77219129-1,POWO,2021,taxon_novo
Polygalaceae,Polygala,glaziowii,Polygala_glaziowii,Chodat,Polygala glaziowii Chodat,Accepted,NA,Mém. Soc. Phys. Genève 31(2: 2): 276 (1893),FALSE,Brazil,"Brazil South, Brazil Southeast",unknown,unknown,205542-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:205542-2,POWO,1893,taxon_novo
Polygalaceae,Polygala,petricola,Polygala_petricola,J.F.B.Pastore,Polygala petricola J.F.B.Pastore,Accepted,NA,Edinburgh J. Bot. 78-356: 2 (2021),FALSE,Brazil,Brazil Southeast,unknown,unknown,77248981-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77248981-1,POWO,2021,taxon_novo
Polygalaceae,Polygala,rojasii,Polygala_rojasii,Chodat,Polygala rojasii Chodat,Accepted,NA,"Bull. Herb. Boissier, sér. 2, 7: 919 (1907)",FALSE,"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Bolivia, Brazil South, Paraguay",unknown,unknown,205816-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:205816-2,POWO,1907,taxon_novo
Polygalaceae,Polygala,tocantinensis,Polygala_tocantinensis,J.F.B.Pastore & Antar,Polygala tocantinensis J.F.B.Pastore & Antar,Accepted,NA,Eur. J. Taxon. 762: 137 (2021),FALSE,Brazil,Brazil North,unknown,unknown,77219130-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77219130-1,POWO,2021,taxon_novo
Polygalaceae,Bredemeyera,isabeliana,Bredemeyera_isabeliana,Barb.Rodr.,Bredemeyera isabeliana Barb.Rodr.,Unknown,Bredemeyera isabeliana Barb.Rodr.,"Vellosia 1: 5, pl. 4. 1888",FALSE,Brazil (Southern America),NA,NA,NA,36312-2,www.ipni.org/n/36312-2,IPNI,1888,taxon_novo
