family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Sapotaceae,Chromolucuma,brevipedicellata,Chromolucuma_brevipedicellata,C.C.Vasconc. & Terra-Araujo,Chromolucuma brevipedicellata C.C.Vasconc. & Terra-Araujo,Accepted,NA,Brittonia 73: 213 (2021),FALSE,Brazil,Brazil North,unknown,unknown,77234105-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77234105-1,POWO,2021,taxon_novo
Sapotaceae,Chrysophyllum,lancisepalum,Chrysophyllum_lancisepalum,R.Lima,Chrysophyllum lancisepalum R.Lima,Accepted,NA,Phytotaxa 478: 133 (2021),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,77215561-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77215561-1,POWO,2021,taxon_novo
Sapotaceae,Chrysophyllum,reitzianum,Chrysophyllum_reitzianum,Mattos,Chrysophyllum reitzianum Mattos,Accepted,NA,Loefgrenia 61: 1 (1974),FALSE,Brazil,Brazil South,unknown,unknown,57822-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:57822-2,POWO,1974,taxon_novo
Sapotaceae,Micropholis,macrophylla,Micropholis_macrophylla,(K.Krause) T.D.Penn.,Micropholis macrophylla (K.Krause) T.D.Penn.,Accepted,NA,Fl. Neotrop. Monogr. 52: 225 (1990),FALSE,"Brazil, Colombia, Peru","Brazil North, Colombia, Peru",unknown,unknown,948058-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:948058-1,POWO,1990,comb_nova
Sapotaceae,Pouteria,mongaguensis,Pouteria_mongaguensis,Mattos,Pouteria mongaguensis Mattos,Accepted,NA,Loefgrenia 101: 1 (1992),FALSE,Brazil,Brazil Southeast,unknown,unknown,992955-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:992955-1,POWO,1992,taxon_novo
Sapotaceae,Pouteria,undulatifolia,Pouteria_undulatifolia,Rizzini,Pouteria undulatifolia Rizzini,Accepted,NA,Rodriguésia 32(52): 27 (1980),FALSE,Brazil,Brazil West-Central,unknown,unknown,209916-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:209916-2,POWO,1980,taxon_novo
Sapotaceae,Pradosia,ptychandra,Pradosia_ptychandra,(Eyma) T.D.Penn.,Pradosia ptychandra (Eyma) T.D.Penn.,Accepted,NA,Fl. Neotrop. Monogr. 52: 648 (1990),FALSE,"Brazil, French Guiana, Guyana, Suriname","Brazil North, French Guiana, Guyana, Suriname",unknown,unknown,948093-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:948093-1,POWO,1990,comb_nova
Sapotaceae,Imbricaria,thouarsii,Imbricaria_thouarsii,Baill.,Imbricaria thouarsii Baill.,Unknown,Imbricaria thouarsii Baill.,Bull. Soc. Bot. France 57(Mém. 3e): 442. 1910,FALSE,Brazil (Southern America),NA,NA,NA,128206-2,www.ipni.org/n/128206-2,IPNI,1910,taxon_novo
Sapotaceae,Lucuma,elegans,Lucuma_elegans,Glaz.,Lucuma elegans Glaz.,Unknown,Lucuma elegans Glaz.,Bull. Soc. Bot. France 57(Mém. 3e): 439. 1910,FALSE,Brazil (Southern America),NA,NA,NA,144206-2,www.ipni.org/n/144206-2,IPNI,1910,taxon_novo
Sapotaceae,Lucuma,glazioviana,Lucuma_glazioviana,Pierre,Lucuma glazioviana Pierre,Unknown,Lucuma glazioviana Pierre,Bull. Soc. Bot. France 57(Mém. 3e): 438. 1910,FALSE,Brazil (Southern America),NA,NA,NA,144214-2,www.ipni.org/n/144214-2,IPNI,1910,taxon_novo
Sapotaceae,Lucuma,peroba,Lucuma_peroba,Hartwich,Lucuma peroba Hartwich,Unknown,Lucuma peroba Hartwich,Neuen Arzneidrogen Pflanzenr. 200. 1897,FALSE,Brazil (Southern America),NA,NA,NA,144268-2,www.ipni.org/n/144268-2,IPNI,1897,taxon_novo
Sapotaceae,Lucuma,petropolitana,Lucuma_petropolitana,Glaz.,Lucuma petropolitana Glaz.,Unknown,Lucuma petropolitana Glaz.,Bull. Soc. Bot. France 57(Mém. 3e): 439. 1910,FALSE,Brazil (Southern America),NA,NA,NA,144269-2,www.ipni.org/n/144269-2,IPNI,1910,taxon_novo
Sapotaceae,Lucuma,pomifera,Lucuma_pomifera,Peckolt,Lucuma pomifera Peckolt,Unknown,Lucuma pomifera Peckolt,"Pharm. Rundschau (Berlin & New York) 6: 33. 1888 February, 1888",FALSE,"Rio de Janeiro (Brazil, Southern America)",NA,NA,NA,144272-2,www.ipni.org/n/144272-2,IPNI,1888,taxon_novo
Sapotaceae,Martiusella,bahiensis,Martiusella_bahiensis,Pierre,Martiusella bahiensis Pierre,Unknown,Martiusella bahiensis Pierre,Notes Bot. Sapot. 66. 1891,FALSE,Brazil (Southern America),NA,NA,NA,153732-2,www.ipni.org/n/153732-2,IPNI,1891,taxon_novo
Sapotaceae,Sideroxylon,eichlerii,Sideroxylon_eichlerii,Glaz.,Sideroxylon eichlerii Glaz.,Unknown,Sideroxylon eichlerii Glaz.,Bull. Soc. Bot. France 57(Mém. 3e): 440. 1910,FALSE,Brazil (Southern America),NA,NA,NA,236037-2,www.ipni.org/n/236037-2,IPNI,1910,taxon_novo
Sapotaceae,Sideroxylon,parvifolia,Sideroxylon_parvifolia,Raunk.,Sideroxylon parvifolia Raunk.,Unknown,Sideroxylon parvifolia Raunk.,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1889: 4.,FALSE,Brazil (Southern America),NA,NA,NA,236062-2,www.ipni.org/n/236062-2,IPNI,1889,taxon_novo
