family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Solanaceae,Athenaea,altoserranae,Athenaea_altoserranae,I.M.C.Rodrigues & Stehmann,Athenaea altoserranae I.M.C.Rodrigues & Stehmann,Accepted,NA,PhytoKeys 178: 3 (2021),FALSE,Brazil,Brazil Southeast,unknown,unknown,77217158-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77217158-1,POWO,2021,taxon_novo
Solanaceae,Athenaea,hunzikeriana,Athenaea_hunzikeriana,I.M.C.Rodrigues & Stehmann,Athenaea hunzikeriana I.M.C.Rodrigues & Stehmann,Accepted,NA,PhytoKeys 178: 8 (2021),FALSE,Brazil,Brazil Southeast,unknown,unknown,77217159-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77217159-1,POWO,2021,taxon_novo
Solanaceae,Athenaea,wettsteiniana,Athenaea_wettsteiniana,(Witasek) I.M.C.Rodrigues & Stehmann,Athenaea wettsteiniana (Witasek) I.M.C.Rodrigues & Stehmann,Accepted,NA,Taxon 68: 845 (2019),FALSE,Brazil,"Brazil South, Brazil Southeast",unknown,unknown,77204757-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77204757-1,POWO,2019,comb_nova
Solanaceae,Brugmansia,insignis,Brugmansia_insignis,(Barb.Rodr.) Lockwood ex R.E.Schult.,Brugmansia insignis (Barb.Rodr.) Lockwood ex R.E.Schult.,Accepted,NA,Bot. Mus. Leafl. 25(4): 124 (1977),FALSE,"Bolivia, Brazil, Colombia, Ecuador, Peru","Bolivia, Brazil North, Colombia, Ecuador, Peru",unknown,unknown,814604-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:814604-1,POWO,1977,comb_nova
Solanaceae,Calibrachoa,calycina,Calibrachoa_calycina,(Sendtn.) Wijsman,Calibrachoa calycina (Sendtn.) Wijsman,Accepted,NA,Acta Bot. Neerl. 39: 101 (1990),FALSE,"Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Brazil South, Paraguay, Uruguay",unknown,unknown,947638-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947638-1,POWO,1990,comb_nova
Solanaceae,Calibrachoa,pygmea,Calibrachoa_pygmea,(R.E.Fr.) Wijsman,Calibrachoa pygmea (R.E.Fr.) Wijsman,Accepted,NA,Acta Bot. Neerl. 39: 102 (1990),FALSE,"Argentina, Brazil, Uruguay","Argentina Northeast, Brazil South, Uruguay",unknown,unknown,947648-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947648-1,POWO,1990,comb_nova
Solanaceae,Calibrachoa,regnellii,Calibrachoa_regnellii,(R.E.Fr.) Wijsman,Calibrachoa regnellii (R.E.Fr.) Wijsman,Accepted,NA,Acta Bot. Neerl. 39: 102 (1990),FALSE,Brazil,Brazil Southeast,unknown,unknown,947649-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947649-1,POWO,1990,comb_nova
Solanaceae,Calibrachoa,rupestris,Calibrachoa_rupestris,(Dusén) Wijsman,Calibrachoa rupestris (Dusén) Wijsman,Accepted,NA,Acta Bot. Neerl. 39: 102 (1990),FALSE,Brazil,Brazil South,unknown,unknown,947650-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:947650-1,POWO,1990,comb_nova
Solanaceae,Capsicum,leptopodum,Capsicum_leptopodum,(Dunal) Kuntze,Capsicum leptopodum (Dunal) Kuntze,Accepted,NA,Revis. Gen. Pl. 2: 450 (1891),FALSE,Brazil,Brazil Southeast,unknown,unknown,993725-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:993725-1,POWO,1891,comb_nova
Solanaceae,Cestrum,ovale,Cestrum_ovale,(Sendtn.) Francey,Cestrum ovale (Sendtn.) Francey,Accepted,NA,Candollea 6: 197 (1935),FALSE,Brazil,Brazil South,unknown,unknown,53684-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:53684-2,POWO,1935,comb_nova
Solanaceae,Cestrum,ramulosum,Cestrum_ramulosum,Francey,Cestrum ramulosum Francey,Accepted,NA,Candollea 6: 163 (1935),FALSE,Brazil,Brazil Northeast,unknown,unknown,53729-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:53729-2,POWO,1935,taxon_novo
Solanaceae,Cestrum,toledii,Cestrum_toledii,Carvalho & A.Schnoor,Cestrum toledii Carvalho & A.Schnoor,Accepted,NA,Rodriguésia 45-49: 17 (1993-1997 publ. 1998),FALSE,Brazil,Brazil Southeast,unknown,unknown,1012878-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1012878-1,POWO,1998,taxon_novo
Solanaceae,Dyssochroma,atlantica,Dyssochroma_atlantica,(Stehmann & Giacomin) A.Orejuela & C.I.Orozco,Dyssochroma atlantica (Stehmann & Giacomin) A.Orejuela & C.I.Orozco,Accepted,NA,Taxon 66: 389 (2017),FALSE,Brazil,Brazil Southeast,unknown,unknown,77164741-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77164741-1,POWO,2017,comb_nova
Solanaceae,Lycium,boerhaviifolium,Lycium_boerhaviifolium,L.f.,Lycium boerhaviifolium L.f.,Accepted,NA,Suppl. Pl.: 150 (1782),FALSE,"Argentina, Bolivia, Brazil, Chile, Ecuador, Galapagos, Paraguay, Peru, Uruguay","Argentina Northeast, Argentina Northwest, Argentina South, Bolivia, Brazil South, Brazil West-Central, Chile North, Ecuador, Galapagos, Paraguay, Peru, Uruguay",unknown,unknown,816365-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:816365-1,POWO,1782,taxon_novo
Solanaceae,Schwenckia,novaveneciana,Schwenckia_novaveneciana,Carvalho,Schwenckia novaveneciana Carvalho,Accepted,NA,Arch. Jard. Bot. Rio de Janeiro 22: 147 (1978),FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,230093-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:230093-2,POWO,1978,taxon_novo
Solanaceae,Solanum,buddlejifolium,Solanum_buddlejifolium,Sendtn.,Solanum buddlejifolium Sendtn.,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 10: 83 (1846)",FALSE,Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,818522-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:818522-1,POWO,1846,taxon_novo
Solanaceae,Solanum,caelicola,Solanum_caelicola,Giacomin & Stehmann,Solanum caelicola Giacomin & Stehmann,Accepted,NA,J. Bot. Res. Inst. Texas 7: 102 (2013),FALSE,Brazil,Brazil Southeast,unknown,unknown,77139517-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77139517-1,POWO,2013,taxon_novo
Solanaceae,Solanum,crotonifolium,Solanum_crotonifolium,Humb. & Bonpl. ex Dunal,Solanum crotonifolium Humb. & Bonpl. ex Dunal,Accepted,NA,Solan. Syn.: 18 (1816),FALSE,"Brazil, Colombia, Ecuador","Brazil North, Colombia, Ecuador",unknown,unknown,818851-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:818851-1,POWO,1816,taxon_novo
Solanaceae,Solanum,echidniforme,Solanum_echidniforme,Dunal,Solanum echidniforme Dunal,Accepted,NA,"A.P.de Candolle, Prodr. 13(1): 324 (1852)",FALSE,Brazil,Brazil Southeast,unknown,unknown,819081-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:819081-1,POWO,1852,taxon_novo
Solanaceae,Solanum,hazenii,Solanum_hazenii,Britton,Solanum hazenii Britton,Accepted,NA,Bull. Torrey Bot. Club 48: 338 (1922),FALSE,"Brazil, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru, Venezuela","Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Venezuela",unknown,unknown,238944-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:238944-2,POWO,1922,taxon_novo
Solanaceae,Solanum,kioniotrichum,Solanum_kioniotrichum,Bitter ex J.F.Macbr.,Solanum kioniotrichum Bitter ex J.F.Macbr.,Accepted,NA,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13(5B): 254 (1962)",FALSE,"Brazil, Colombia, Ecuador, Peru, Venezuela","Brazil North, Colombia, Ecuador, Peru, Venezuela",unknown,unknown,819696-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:819696-1,POWO,1962,taxon_novo
Solanaceae,Solanum,schomburgkii,Solanum_schomburgkii,Sendtn.,Solanum schomburgkii Sendtn.,Accepted,NA,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 10: 55 (1846)",FALSE,"Brazil, French Guiana, Guyana, Suriname, Venezuela","Brazil North, French Guiana, Guyana, Suriname, Venezuela",unknown,unknown,820947-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:820947-1,POWO,1846,taxon_novo
