family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Passifloraceae,Ancistrothyrsus,hirtellus,Ancistrothyrsus_hirtellus,A.H.Gentry,Ancistrothyrsus hirtellus A.H.Gentry,Accepted,NA,Novon 2: 333 (1992),FALSE,"Brazil, Colombia, Ecuador, Peru, Venezuela","Brazil North, Brazil West-Central, Colombia, Ecuador, Peru, Venezuela",unknown,unknown,303268-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:303268-2,POWO,1992,taxon_novo
Passifloraceae,Ancistrothyrsus,scopae,Ancistrothyrsus_scopae,Feuillet,Ancistrothyrsus scopae Feuillet,Accepted,NA,Phytotaxa 438: 209 (2020),FALSE,"Brazil, Guyana","Brazil North, Guyana",unknown,unknown,77210009-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77210009-1,POWO,2020,taxon_novo
Passifloraceae,Ancistrothyrsus,tessmannii,Ancistrothyrsus_tessmannii,Harms,Ancistrothyrsus tessmannii Harms,Accepted,NA,Notizbl. Bot. Gart. Berlin-Dahlem 11: 147 (1931),FALSE,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela","Brazil North, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela",unknown,unknown,12550-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:12550-2,POWO,1931,taxon_novo
Passifloraceae,Dilkea,acuminata,Dilkea_acuminata,Mast.,Dilkea acuminata Mast.,Accepted,NA,Trans. Linn. Soc. London 27: 628 (1871),FALSE,"Brazil, Panama, Peru, Venezuela","Brazil North, Panama, Peru, Venezuela",unknown,unknown,674421-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:674421-1,POWO,1871,taxon_novo
Passifloraceae,Dilkea,exilis,Dilkea_exilis,Feuillet,Dilkea exilis Feuillet,Accepted,NA,J. Bot. Res. Inst. Texas 4: 59 (2010),FALSE,Brazil,Brazil North,unknown,unknown,60454625-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60454625-2,POWO,2010,taxon_novo
Passifloraceae,Dilkea,lecta,Dilkea_lecta,Feuillet,Dilkea lecta Feuillet,Accepted,NA,J. Bot. Res. Inst. Texas 3: 597 (2009),FALSE,"Brazil, French Guiana, Suriname","Brazil North, Brazil West-Central, French Guiana, Suriname",unknown,unknown,60453358-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60453358-2,POWO,2009,taxon_novo
Passifloraceae,Dilkea,margaritae,Dilkea_margaritae,Cervi,Dilkea margaritae Cervi,Accepted,NA,Candollea 46: 61 (1991),FALSE,Brazil,Brazil West-Central,unknown,unknown,275855-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:275855-2,POWO,1991,taxon_novo
Passifloraceae,Dilkea,retusa,Dilkea_retusa,Mast.,Dilkea retusa Mast.,Accepted,NA,Trans. Linn. Soc. London 27: 628 (1871),FALSE,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Panama, Peru, Venezuela","Bolivia, Brazil North, Brazil West-Central, Colombia, Ecuador, French Guiana, Panama, Peru, Venezuela",unknown,unknown,674426-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:674426-1,POWO,1871,taxon_novo
Passifloraceae,Mitostemma,brevifilis,Mitostemma_brevifilis,Gontsch.,Mitostemma brevifilis Gontsch.,Accepted,NA,Izv. Glavn. Bot. Sada S.S.S.R. 26: 556 (1927),FALSE,Brazil,"Brazil North, Brazil Northeast, Brazil West-Central",unknown,unknown,162796-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:162796-2,POWO,1927,taxon_novo
Passifloraceae,Mitostemma,glaziovii,Mitostemma_glaziovii,Mast.,Mitostemma glaziovii Mast.,Accepted,NA,J. Bot. 21: 34 (1883),FALSE,"Brazil, Guyana","Brazil Northeast, Brazil Southeast, Guyana",unknown,unknown,674577-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:674577-1,POWO,1883,taxon_novo
Passifloraceae,Passiflora,actinia,Passiflora_actinia,Hook.,Passiflora actinia Hook.,Accepted,NA,Bot. Mag. 69: t. 4009 (1843),FALSE,Brazil,"Brazil South, Brazil Southeast",unknown,unknown,324146-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:324146-2,POWO,1843,taxon_novo
Passifloraceae,Passiflora,acuminata,Passiflora_acuminata,DC.,Passiflora acuminata DC.,Accepted,NA,Prodr. 3: 328 (1828),FALSE,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela","Brazil North, Brazil Northeast, Colombia, Ecuador, French Guiana, Guyana, Peru, Venezuela",unknown,unknown,674751-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:674751-1,POWO,1828,taxon_novo
Passifloraceae,Passiflora,alata,Passiflora_alata,Curtis,Passiflora alata Curtis,Accepted,NA,Bot. Mag. 2: t. 66 (1788),FALSE,"Argentina, Brazil, Ecuador, Paraguay, Peru","Argentina Northeast, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Ecuador, Paraguay, Peru","Costa Rica, French Guiana, Mauritius, Mexico, Reunion","Costa Rica, French Guiana, Mauritius, Mexico Southeast, Mexico Southwest, Reunion",321312-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:321312-2,POWO,1788,taxon_novo
Passifloraceae,Passiflora,amalocarpa,Passiflora_amalocarpa,Barb.Rodr.,Passiflora amalocarpa Barb.Rodr.,Accepted,NA,"Vellosia, ed. 2, 1: 29 (1891)",FALSE,"Brazil, Peru","Brazil North, Brazil Northeast, Brazil West-Central, Peru",unknown,unknown,184790-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:184790-2,POWO,1891,taxon_novo
Passifloraceae,Passiflora,ambigua,Passiflora_ambigua,Hemsl.,Passiflora ambigua Hemsl.,Accepted,NA,Bot. Mag. 128: t. 7822 (1902),FALSE,"Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru, Venezuela","Belize, Bolivia, Brazil North, Brazil West-Central, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, Mexico Gulf, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru, Venezuela",unknown,unknown,184791-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:184791-2,POWO,1902,taxon_novo
Passifloraceae,Passiflora,amethystina,Passiflora_amethystina,J.C.Mikan,Passiflora amethystina J.C.Mikan,Accepted,NA,Del. Fl. Faun. Bras.: t. 20 (1825),FALSE,"Argentina, Bolivia, Brazil, Paraguay","Argentina Northeast, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Paraguay",unknown,unknown,674776-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:674776-1,POWO,1825,taxon_novo
Passifloraceae,Passiflora,amoena,Passiflora_amoena,L.K.Escobar,Passiflora amoena L.K.Escobar,Accepted,NA,Syst. Bot. 19: 203 (1994),FALSE,"Brazil, French Guiana, Guyana, Suriname","Brazil North, French Guiana, Guyana, Suriname",unknown,unknown,303050-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:303050-2,POWO,1994,taxon_novo
Passifloraceae,Passiflora,angusta,Passiflora_angusta,Feuillet & J.M.MacDougal,Passiflora angusta Feuillet & J.M.MacDougal,Accepted,NA,J. Bot. Res. Inst. Texas 2: 818 (2008),FALSE,"Brazil, Guyana, Venezuela","Brazil North, Guyana, Venezuela",unknown,unknown,60450194-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60450194-2,POWO,2008,taxon_novo
Passifloraceae,Passiflora,araujoi,Passiflora_araujoi,Sacco,Passiflora araujoi Sacco,Accepted,NA,Anais Congr. Soc. Bot. Brasil 15: 153 (1967),FALSE,Brazil,"Brazil North, Brazil Northeast, Brazil West-Central",unknown,unknown,184802-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:184802-2,POWO,1967,taxon_novo
