family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Urticaceae,Cecropia,candida,Cecropia_candida,Snethl.,Cecropia candida Snethl.,Accepted,NA,Notizbl. Bot. Gart. Berlin-Dahlem 8: 367 (1923),FALSE,Brazil,Brazil Southeast,unknown,unknown,50833-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:50833-2,POWO,1923,taxon_novo
Urticaceae,Coussapoa,leprieurii,Coussapoa_leprieurii,Benoist,Coussapoa leprieurii Benoist,Accepted,NA,Bull. Mus. Natl. Hist. Nat. 30: 103 (1924),FALSE,"Brazil, French Guiana","Brazil North, French Guiana",unknown,unknown,67358-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:67358-2,POWO,1924,taxon_novo
Urticaceae,Hemistylus,boehmerioides,Hemistylus_boehmerioides,Benth.,Hemistylus boehmerioides Benth.,Accepted,NA,Pl. Hartw.: 123 (1843),FALSE,"Brazil, Colombia, Ecuador","Brazil Southeast, Brazil West-Central, Colombia, Ecuador",unknown,unknown,854167-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:854167-1,POWO,1843,taxon_novo
Urticaceae,Parietaria,floridana,Parietaria_floridana,Nutt.,Parietaria floridana Nutt.,Accepted,NA,Gen. N. Amer. Pl. 2: 208 (1818),FALSE,"Argentina, Bermuda, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Ecuador, Galapagos, Guatemala, Juan Fernandez Is., Mexico, Paraguay, Peru, United States, Uruguay, Venezuela","Alabama, Argentina Northeast, Argentina Northwest, Argentina South, Bermuda, Bolivia, Brazil South, Brazil Southeast, Chile Central, Chile North, Colombia, Costa Rica, Cuba, Delaware, Ecuador, Florida, Galapagos, Georgia, Guatemala, Juan Fernandez Is., Louisiana, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Mississippi, North Carolina, Paraguay, Peru, South Carolina, Texas, Uruguay, Venezuela",unknown,unknown,854920-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:854920-1,POWO,1818,taxon_novo
Urticaceae,Phenax,mexicanus,Phenax_mexicanus,Wedd.,Phenax mexicanus Wedd.,Accepted,NA,"Ann. Sci. Nat., Bot., sér. 4, 1: 193 (1854)",FALSE,"Belize, Brazil, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru","Belize, Brazil Southeast, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Peru",Bangladesh,Bangladesh,855166-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:855166-1,POWO,1854,taxon_novo
Urticaceae,Pilea,ulei,Pilea_ulei,Killip,Pilea ulei Killip,Accepted,NA,J. Washington Acad. Sci. 24: 42 (1934),FALSE,Brazil,Brazil South,unknown,unknown,196450-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:196450-2,POWO,1934,taxon_novo
Urticaceae,Pourouma,saulensis,Pourouma_saulensis,C.C.Berg & Kooy,Pourouma saulensis C.C.Berg & Kooy,Accepted,NA,Brittonia 34: 36 (1982),FALSE,"Brazil, French Guiana","Brazil North, French Guiana",unknown,unknown,209660-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:209660-2,POWO,1982,taxon_novo
Urticaceae,Urera,capitata,Urera_capitata,Wedd.,Urera capitata Wedd.,Accepted,NA,"Ann. Sci. Nat., Bot., sér. 3, 18: 201 (1852)",FALSE,"Bolivia, Brazil, Colombia, Ecuador, Guyana, Paraguay, Peru, Venezuela","Bolivia, Brazil North, Colombia, Ecuador, Guyana, Paraguay, Peru, Venezuela",unknown,unknown,856981-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:856981-1,POWO,1852,taxon_novo
Urticaceae,Urtica,spatulata,Urtica_spatulata,Sm.,Urtica spatulata Sm.,Accepted,NA,"A.Rees, Cycl. 37: n.° 17 (1818)",FALSE,"Argentina, Brazil, Paraguay, Uruguay","Argentina Northeast, Argentina Northwest, Argentina South, Brazil South, Paraguay, Uruguay",unknown,unknown,857924-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:857924-1,POWO,1818,taxon_novo
Urticaceae,Phenax,debilis,Phenax_debilis,Glaz.,Phenax debilis Glaz.,Unknown,Phenax debilis Glaz.,Bull. Soc. Bot. France 59(Mém. 3g): 647. 1913,FALSE,Brazil (Southern America),NA,NA,NA,192691-2,www.ipni.org/n/192691-2,IPNI,1913,taxon_novo
