family,genus,species,taxon_name,authors,scientific_name,status,accepted_name,reference,hybrid,distribution,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,url,source,publicationYear,citation_type
Caprifoliaceae,Valeriana,bornmuelleri,Valeriana_bornmuelleri,Pilg.,Valeriana bornmuelleri Pilg.,Accepted,NA,Beibl. Bot. Jahrb. Syst. 101: 7 (1910),FALSE,Brazil,Brazil South,unknown,unknown,859632-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:859632-1,POWO,1910,taxon_novo
Caprifoliaceae,Valeriana,candolleana,Valeriana_candolleana,Gardner,Valeriana candolleana Gardner,Accepted,NA,London J. Bot. 4: 112 (1845),FALSE,"Argentina, Bolivia, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Venezuela","Argentina Northeast, Bolivia, Brazil South, Brazil Southeast, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Guyana, Honduras, Mexico Central, Mexico Southwest, Nicaragua, Panama, Paraguay, Peru, Venezuela",unknown,unknown,286618-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:286618-2,POWO,1845,taxon_novo
Caprifoliaceae,Valeriana,caparaoensis,Valeriana_caparaoensis,"Rabuske, Sobral & Iganci","Valeriana caparaoensis Rabuske, Sobral & Iganci",Accepted,NA,Syst. Bot. 45: 219 (2020),FALSE,Brazil,Brazil Southeast,unknown,unknown,77208906-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77208906-1,POWO,2020,taxon_novo
Caprifoliaceae,Valeriana,catharinensis,Valeriana_catharinensis,Graebn.,Valeriana catharinensis Graebn.,Accepted,NA,Bot. Jahrb. Syst. 26: 427 (1899),FALSE,Brazil,Brazil South,unknown,unknown,262161-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:262161-2,POWO,1899,taxon_novo
Caprifoliaceae,Valeriana,chamaedryfolia,Valeriana_chamaedryfolia,Cham. & Schltdl.,Valeriana chamaedryfolia Cham. & Schltdl.,Accepted,NA,Linnaea 3: 129 (1828),FALSE,Brazil,Brazil South,unknown,unknown,859681-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:859681-1,POWO,1828,taxon_novo
Caprifoliaceae,Valeriana,eichleriana,Valeriana_eichleriana,(C.A.Müll.) Graebn.,Valeriana eichleriana (C.A.Müll.) Graebn.,Accepted,NA,Bot. Jahrb. Syst. 26: 434 (1899),FALSE,Brazil,Brazil South,unknown,unknown,262205-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:262205-2,POWO,1899,comb_nova
Caprifoliaceae,Valeriana,eupatoria,Valeriana_eupatoria,Sobral,Valeriana eupatoria Sobral,Accepted,NA,Novon 10: 149 (2000),FALSE,Brazil,Brazil South,unknown,unknown,320091-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:320091-2,POWO,2000,taxon_novo
Caprifoliaceae,Valeriana,gilgiana,Valeriana_gilgiana,Graebn.,Valeriana gilgiana Graebn.,Accepted,NA,Bot. Jahrb. Syst. 26: 435 (1899),FALSE,Brazil,Brazil South,unknown,unknown,262219-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:262219-2,POWO,1899,taxon_novo
Caprifoliaceae,Valeriana,glaziovii,Valeriana_glaziovii,Taub.,Valeriana glaziovii Taub.,Accepted,NA,Beibl. Bot. Jahrb. Syst. 38: 10 (1893),FALSE,Brazil,Brazil Southeast,unknown,unknown,262223-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:262223-2,POWO,1893,taxon_novo
Caprifoliaceae,Valeriana,glechomifolia,Valeriana_glechomifolia,F.G.Mey.,Valeriana glechomifolia F.G.Mey.,Accepted,NA,Madroño 15: 197 (1960),FALSE,Brazil,Brazil South,unknown,unknown,262224-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:262224-2,POWO,1960,taxon_novo
Caprifoliaceae,Valeriana,iganciana,Valeriana_iganciana,C.Rabuske & J.Külkamp,Valeriana iganciana C.Rabuske & J.Külkamp,Accepted,NA,Phytotaxa 364: 276 (2018),FALSE,Brazil,Brazil South,unknown,unknown,77187879-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77187879-1,POWO,2018,taxon_novo
Caprifoliaceae,Valeriana,kurtziana,Valeriana_kurtziana,Borsini,Valeriana kurtziana Borsini,Accepted,NA,Lilloa 31: 145 (1962),FALSE,"Argentina, Brazil","Argentina Northeast, Brazil South",unknown,unknown,262250-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:262250-2,POWO,1962,taxon_novo
Caprifoliaceae,Valeriana,muelleri,Valeriana_muelleri,Graebn.,Valeriana muelleri Graebn.,Accepted,NA,Bot. Jahrb. Syst. 26: 435 (1899),FALSE,Brazil,Brazil South,unknown,unknown,293965-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:293965-2,POWO,1899,taxon_novo
Caprifoliaceae,Valeriana,organensis,Valeriana_organensis,(C.A.Müll.) Gardner,Valeriana organensis (C.A.Müll.) Gardner,Accepted,NA,London J. Bot. 4: 112 (1845),FALSE,Brazil,Brazil Southeast,unknown,unknown,860020-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:860020-1,POWO,1845,comb_nova
Caprifoliaceae,Valeriana,polystachya,Valeriana_polystachya,Sm.,Valeriana polystachya Sm.,Accepted,NA,Pl. Icon. Ined.: t. 51 (1791),FALSE,"Argentina, Brazil, Uruguay","Argentina Northeast, Argentina South, Brazil South, Brazil Southeast, Uruguay",unknown,unknown,860071-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:860071-1,POWO,1791,taxon_novo
