name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Alternanthera aphylla,Amaranthaceae,Alternanthera,aphylla,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 565. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 565,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,10273-2,NA,NA,NA,www.ipni.org/n/10273-2,IPNI,NA
Alternanthera bastosiana,Amaranthaceae,Alternanthera,bastosiana,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 565. 1911 Nomen subnudum,Bull. Soc. Bot. France,1911,58(Mém. 3f): 565,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,10290-2,NA,NA,NA,www.ipni.org/n/10290-2,IPNI,NA
Alternanthera glaziovii,Amaranthaceae,Alternanthera,glaziovii,R.E.Fr.,tax_nov,spec.,"Ark. Bot. 16, no. 13: 12, fig. 3. 1920 [14 Feb 1920] ",Ark. Bot.,1920,"16, no. 13: 12, fig. 3",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,10360-2,NA,14 Feb 1920,NA,www.ipni.org/n/10360-2,IPNI,NA
Alternanthera philoxerina,Amaranthaceae,Alternanthera,philoxerina,Suess.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 38: 303. 1934 ,Repert. Spec. Nov. Regni Veg.,1934,38: 303,788-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,10428-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=303&rft.volume=38&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/10428-2,IPNI,NA
Alternanthera pinheirensis,Amaranthaceae,Alternanthera,pinheirensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 565. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 565,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,10438-2,NA,NA,NA,www.ipni.org/n/10438-2,IPNI,NA
Alternanthera subumbellata,Amaranthaceae,Alternanthera,subumbellata,Suess.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 42: 55. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,42: 55,788-2,NA,NA,NA,NA,"Argentina (Misiones), Paraguay, Brazil (Minas Geraes)",NA,10481-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=55&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/10481-2,IPNI,NA
Amaranthus desfontanii,Amaranthaceae,Amaranthus,desfontanii,Kov.,tax_nov,spec.,Nauch. Trud. Vissh Selskostop. Inst. Plovdiv 23(1): 51 (1978). ,Nauch. Trud. Vissh Selskostop. Inst. Plovdiv,1978,23(1): 51 (1978),NA,NA,NA,NA,NA,Brazil?,NA,896070-1,NA,1978,NA,www.ipni.org/n/896070-1,IPNI,NA
Celosia salicifolia,Amaranthaceae,Celosia,salicifolia,Lopr.,tax_nov,spec.,"Malpighia 14: 428. 1900 Engl. Bot. Jahrb. 30, Beibl. 67: 35. 1901",Malpighia,1900,14: 428,707-2,NA,NA,NA,NA,Brazil (Southern America),NA,51145-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=428&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/48603&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/51145-2,IPNI,NA
Chamissoa blanchettii,Amaranthaceae,Chamissoa,blanchettii,Moq.,tax_nov,spec.,Prodr. [A. P. de Candolle] 13(2): 251. 1849 [5 May 1849] ,Prodr. [A. P. de Candolle],1849,13(2): 251,1051-2,lectotype BM,J.S.Blanchet,3576,NA,Brazil (Southern America),NA,55498-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/159246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,5 May 1849,NA,www.ipni.org/n/55498-2,IPNI,NA
Chamissoa frondosa,Amaranthaceae,Chamissoa,frondosa,Hashim.,tax_nov,spec.,"Rodriguésia 13, no. 25:[263], tab. 1. 1951 ",Rodriguésia,1951,"13, no. 25:[263], tab. 1",1167-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,55501-2,NA,NA,NA,www.ipni.org/n/55501-2,IPNI,NA
Chlamyphorus obvallatus,Amaranthaceae,Chlamyphorus,obvallatus,Klatt,tax_nov,spec.,Leopoldina 25: 107. 1889 ,Leopoldina,1889,25: 107,1248-2,NA,NA,NA,NA,Brazil (Southern America),NA,56703-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=107&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/3921&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/56703-2,IPNI,NA
Gomphrena anti-lethargica,Amaranthaceae,Gomphrena,anti-lethargica,Silveira,tax_nov,spec.,"Floral. Mont. 2: 41, tab. 19, 20. 1931 ",Floral. Mont.,1931,"2: 41, tab. 19, 20",5697-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,111864-2,NA,NA,NA,www.ipni.org/n/111864-2,IPNI,NA
Gomphrena aquatica,Amaranthaceae,Gomphrena,aquatica,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 567. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 567,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,111867-2,NA,NA,NA,www.ipni.org/n/111867-2,IPNI,NA
Gomphrena depauperata,Amaranthaceae,Gomphrena,depauperata,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 567. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 567,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,111916-2,NA,NA,NA,www.ipni.org/n/111916-2,IPNI,NA
Gomphrena equisetiformis,Amaranthaceae,Gomphrena,equisetiformis,R.E.Fr.,tax_nov,spec.,"Ark. Bot. 16, no. 13: 16, pl. 1. 1920 [14 Feb 1920] ",Ark. Bot.,1920,"16, no. 13: 16, pl. 1",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,111935-2,NA,14 Feb 1920,NA,www.ipni.org/n/111935-2,IPNI,NA
Gomphrena mariae,Amaranthaceae,Gomphrena,mariae,S.Moore,tax_nov,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 444. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 444",1084-2,NA,NA,NA,NA,Brazil (Southern America),NA,111991-2,NA,NA,NA,www.ipni.org/n/111991-2,IPNI,NA
Hebanthe philippo-coburgii,Amaranthaceae,Hebanthe,philippo-coburgii,Zahlbr. in Wawra,tax_nov,spec.,"Itin. Princ. S. Coburgi 2: 57, pl. 10. 1888 ",Itin. Princ. S. Coburgi,1888,"2: 57, pl. 10",14558-2,NA,NA,NA,NA,Brazil (Southern America),NA,118168-2,NA,NA,NA,www.ipni.org/n/118168-2,IPNI,NA
Telanthera bettzickiana,Amaranthaceae,Telanthera,bettzickiana,Regel,tax_nov,spec.,Index Seminum [St.Petersburg (Petropolitanus)] 28 (Jan 1862). ,Index Seminum [St.Petersburg (Petropolitanus)],1862,28 (Jan 1862),978-2,NA,NA,NA,NA,Brazil (Southern America),NA,61458-1,NA,NA,"also published in Gartenflora, 11: 178 (May 1862)",www.ipni.org/n/61458-1,IPNI,NA
Telanthera geniculata,Amaranthaceae,Telanthera,geniculata,S.Moore,tax_nov,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 443. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 443",1084-2,holotype BM,S.L.Moore,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,288907-2,NA,NA,[Gandhi 6 Feb 1998; type],www.ipni.org/n/288907-2,IPNI,NA
