name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Amaryllis minasgerais,Amaryllidaceae,Amaryllis,minasgerais,Traub,tax_nov,spec.,FALSE,Pl. Life (Stanford) 14(1): 31. 1958 ,Pl. Life (Stanford),1958,14(1): 31,2727-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,10900-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/10900-2,IPNI,NA,NA,NA,NA,
Amaryllis symonii,Amaryllidaceae,Amaryllis,symonii,N.Funck,tax_nov,spec.,FALSE,"Jorn. Hort. Prat. ser. 2, 3: 242, t. 20. 1859 ",Jorn. Hort. Prat.,1859,"ser. 2, 3: 242, t. 20",19987-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,63049-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/63049-1,IPNI,NA,NA,NA,NA,
Zephyranthes pseudocolchicum,Amaryllidaceae,Zephyranthes,pseudocolchicum,Kraenzl.,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 13: 118. 1914 ,Repert. Spec. Nov. Regni Veg.,1914,13: 118,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,270981-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/353393&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/270981-2,IPNI,NA,NA,NA,NA,
Zephyranthes matogrossensis,Amaryllidaceae,Zephyranthes,matogrossensis,(Ravenna) R.S.Oliveira & Dutilh,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77203234-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77203234-1,
Hippeastrum lavrense,Amaryllidaceae,Hippeastrum,lavrense,(Ravenna) R.S.Oliveira & Dutilh,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77203200-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77203200-1,
Hippeastrum minasgerais,Amaryllidaceae,Hippeastrum,minasgerais,(Traub) Meerow,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:994020-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:994020-1,
Nothoscordum itapetinga,Amaryllidaceae,Nothoscordum,itapetinga,Campos-Rocha & Sassone,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77332894-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77332894-1,
Zephyranthes duarteana,Amaryllidaceae,Zephyranthes,duarteana,(Ravenna) R.S.Oliveira & Dutilh,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77203219-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77203219-1,
Zephyranthes contermina,Amaryllidaceae,Zephyranthes,contermina,(Ravenna) R.S.Oliveira & Dutilh,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77203215-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77203215-1,
Zephyranthes araguaiensis,Amaryllidaceae,Zephyranthes,araguaiensis,(Ravenna) R.S.Oliveira & Dutilh,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77203205-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77203205-1,
