name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Anacardium amilcarianum,Anacardiaceae,Anacardium,amilcarianum,Machado,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 9: 88, fig. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"9: 88, fig",848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,12222-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/12222-2,IPNI,NA,NA,NA,NA,
Anacardium braziliense,Anacardiaceae,Anacardium,braziliense,Barb.Rodr.,tax_nov,spec.,FALSE,Expl. Rios Urubú Jatapú 28. 1875 ,Expl. Rios Urubú Jatapú,1875,28,20042346-1,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,69169-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/69169-1,IPNI,NA,NA,NA,NA,
Anacardium curatellifolium,Anacardiaceae,Anacardium,curatellifolium,A.St.-Hil.,tax_nov,spec.,FALSE,Ann. Sci. Nat. (Paris) 23: 272. 1831 ,Ann. Sci. Nat. (Paris),1831,23: 272,842-2,FALSE,lectotype P,A.F.C.P.de Saint-Hilaire,854,NA,Brazil (Southern America),NA,272097-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1831&rft.spage=272&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/6343&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/272097-2,IPNI,NA,NA,NA,NA,
Anacardium kuhlmannianum,Anacardiaceae,Anacardium,kuhlmannianum,Machado,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 9: 89, fig. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"9: 89, fig",848-2,FALSE,NA,NA,NA,NA,"Goiás (Brazil, Southern America)",NA,12226-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/12226-2,IPNI,NA,NA,NA,NA,
Anacardium mediterraneum,Anacardiaceae,Anacardium,mediterraneum,Vell.,tax_nov,spec.,FALSE,Fl. Flumin. Icon. 4: t. 46. 1831 [1827 publ. 29 Oct 1831] ,Fl. Flumin. Icon.,1831,4: t. 46,12892-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,272100-2,TRUE,NA,1827 publ. 29 Oct 1831,NA,NA,www.ipni.org/n/272100-2,IPNI,NA,NA,NA,NA,
Anacardium microcarpum,Anacardiaceae,Anacardium,microcarpum,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 3: 202. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,3: 202,848-2,FALSE,lectotype RB,A.Ducke,s.n. MG 16516,NA,Brazil (Southern America),NA,272101-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/272101-2,IPNI,NA,NA,NA,NA,
Anacardium negrense,Anacardiaceae,Anacardium,negrense,Pires & Fróes,tax_nov,spec.,FALSE,"Bol. Tecn. Inst. Agron. N. 15: 20, tab. 1948 ",Bol. Tecn. Inst. Agron. N.,1948,"15: 20, tab",860-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,12229-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/12229-2,IPNI,NA,NA,NA,NA,
Anacardium pumilum,Anacardiaceae,Anacardium,pumilum,Walp.,tax_nov,spec.,FALSE,Repert. Bot. Syst. (Walpers) 1: 555. 1842 ,Repert. Bot. Syst. (Walpers),1842,1: 555,1471-2,FALSE,lectotype P,A.F.C.P.de Saint-Hilaire,874,NA,Brazil (Southern America),NA,272103-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1842&rft.spage=555&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/7553&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/272103-2,IPNI,NA,NA,NA,NA,
Anacardium rondonianum,Anacardiaceae,Anacardium,rondonianum,Machado,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 9: [87], fig. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"9: [87], fig",848-2,FALSE,NA,NA,NA,NA,"Goiás (Brazil, Southern America)",NA,12234-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/12234-2,IPNI,NA,NA,NA,NA,
Anacardium tenuifolium,Anacardiaceae,Anacardium,tenuifolium,Ducke,tax_nov,spec.,FALSE,Ann. Acad. Brasil. Sci. 11: 16. tab. 3. 1939 ,Ann. Acad. Brasil. Sci.,1939,11: 16. tab. 3,3817-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,12235-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/12235-2,IPNI,NA,NA,NA,NA,
Astronium gardneri,Anacardiaceae,Astronium,gardneri,Mattick,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 11: 1007. 1934 ,Notizbl. Bot. Gart. Berlin-Dahlem,1934,11: 1007,1019-2,FALSE,NA,NA,NA,NA,"Piaui (Brazil, Southern America)",NA,25907-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=1007&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/25907-2,IPNI,NA,NA,NA,NA,
Monodynamus humilis,Anacardiaceae,Monodynamus,humilis,Pohl,tax_nov,spec.,FALSE,"Pl. Bras. Icon. Descr. II: 68, t. 1831 ",Pl. Bras. Icon. Descr.,1831,"II: 68, t",4696-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,281009-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/281009-2,IPNI,NA,NA,NA,NA,
Myracrodruon urundeuva,Anacardiaceae,Myracrodruon,urundeuva,Allemão,tax_nov,spec.,FALSE,Trab. Comm. Sci. Expl. Bot. [F.F. Allemão & M. Allemão] 1: 3. 1862 ,Trab. Comm. Sci. Expl. Bot. [F.F. Allemão & M. Allemão],1862,1: 3,14623-2,FALSE,lectotype US,A.F.M.Glaziou,12543,NA,"Ceará (Brazil, Southern America)",NA,301630-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/301630-2,IPNI,NA,NA,NA,NA,
Poupartia amazonica,Anacardiaceae,Poupartia,amazonica,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 189, 204. 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 189, 204",848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,209623-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/209623-2,IPNI,NA,NA,NA,NA,
Schinus appariciana,Anacardiaceae,Schinus,appariciana,Barroso,tax_nov,spec.,FALSE,"Revista Brasil. Biol. 7: 107, fig. 1. 1947 ",Revista Brasil. Biol.,1947,"7: 107, fig. 1",3736-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,229152-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/229152-2,IPNI,NA,NA,NA,NA,
Tapirira fasciculata,Anacardiaceae,Tapirira,fasciculata,Loes.,tax_nov,spec.,FALSE,Flora 72: 76. 1889 as Topirira,Flora,1889,72: 76,648-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,249396-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=76&rft.volume=72&rft_id=http://www.biodiversitylibrary.org/bibliography/64&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,as Topirira,www.ipni.org/n/249396-2,IPNI,NA,NA,NA,NA,
Topirira fasciculata,Anacardiaceae,Topirira,fasciculata,Loes.,tax_nov,spec.,FALSE,Flora 72 (n. s. 47): 76. 1889 ,Flora,1889,72 (n. s. 47): 76,648-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,255090-2,TRUE,NA,NA,See Tapirira.,NA,www.ipni.org/n/255090-2,IPNI,NA,NA,NA,NA,
