name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Anisum stellatum,Apiaceae,Anisum,stellatum,Mure,tax_nov,spec.,FALSE,Doctrine Ecole Rio de Janeiro Pathog. Brésil. 361. 1849 ,Doctrine Ecole Rio de Janeiro Pathog. Brésil.,1849,361,20013524-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,60459106-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/60459106-2,IPNI,NA,NA,NA,NA,
Centella dusenii,Apiaceae,Centella,dusenii,Nannf.,tax_nov,spec.,FALSE,"Svensk Bot. Tidskr. 18: 407, pl. 6. 1924 ",Svensk Bot. Tidskr.,1924,"18: 407, pl. 6",2967-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,51382-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1924&rft.spage=407&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/79156&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/51382-2,IPNI,NA,NA,NA,NA,
Centella hirtella,Apiaceae,Centella,hirtella,Nannf.,tax_nov,spec.,FALSE,"Svensk Bot. Tidskr. 18: 405, pl. 6. 1924 ",Svensk Bot. Tidskr.,1924,"18: 405, pl. 6",2967-2,FALSE,NA,NA,NA,NA,"Brazil, Paraguay, Uraguay",NA,51385-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1924&rft.spage=405&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/79156&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/51385-2,IPNI,NA,NA,NA,NA,
Crantzia brasiliensis,Apiaceae,Crantzia,brasiliensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 56(Mém. 3d): 331. 1909 ,Bull. Soc. Bot. France,1909,56(Mém. 3d): 331,578-2,FALSE,holotype P,A.F.M.Glaziou,18510,NA,Brazil (Southern America),NA,275241-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/275241-2,IPNI,NA,NA,NA,NA,
Eryngium bellidifolium,Apiaceae,Eryngium,bellidifolium,Decne.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 20: 26. 1873 ,Bull. Soc. Bot. France,1873,20: 26,578-2,FALSE,NA,NA,NA,NA,"Brazil, Uruguay",NA,96269-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/257966&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/96269-2,IPNI,NA,NA,NA,NA,
Eryngium coronopifolium,Apiaceae,Eryngium,coronopifolium,Decne.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 20: 27. 1873 ,Bull. Soc. Bot. France,1873,20: 27,578-2,FALSE,null P,A.J.A.Bonpland,1202,NA,Brazil (Southern America),NA,321954-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/257967&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,[Gandhi 15 Dec 2001],NA,www.ipni.org/n/321954-2,IPNI,NA,NA,NA,NA,
Eryngium delarocheanum,Apiaceae,Eryngium,delarocheanum,H.Wolff,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 228: 251. 1913 ",Pflanzenr. (Engler),1913,"4, Fam. 228: 251",3295-2,FALSE,NA,NA,NA,NA,Brazil to Bolivia and southward,NA,96293-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/96293-2,IPNI,NA,NA,NA,NA,
Eryngium erosum,Apiaceae,Eryngium,erosum,Urb.,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 14. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 14",553-2,FALSE,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,96317-2,TRUE,NA,19 Jul 1898,NA,NA,www.ipni.org/n/96317-2,IPNI,NA,NA,NA,NA,
Eryngium farinosum,Apiaceae,Eryngium,farinosum,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 56(Mém. 3d): 330. 1909 ,Bull. Soc. Bot. France,1909,56(Mém. 3d): 330,578-2,FALSE,NA,NA,NA,NA,"Goiás (Brazil, Southern America)",NA,841784-1,TRUE,NA,NA,NA,NA,www.ipni.org/n/841784-1,IPNI,NA,NA,NA,NA,
Eryngium reitzii,Apiaceae,Eryngium,reitzii,Mathias & Constance,tax_nov,spec.,FALSE,"Bull. Torrey Bot. Club 85: 255, fig. 1. 1958 ",Bull. Torrey Bot. Club,1958,"85: 255, fig. 1",586-2,FALSE,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,96451-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.spage=255&rft.volume=85&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/96451-2,IPNI,NA,NA,NA,NA,
Eryngium schwackeanum,Apiaceae,Eryngium,schwackeanum,Urb.,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 228: 243. 1913 ",Pflanzenr. (Engler),1913,"4, Fam. 228: 243",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,96464-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/96464-2,IPNI,NA,NA,NA,NA,
Hydrocotyle palmata,Apiaceae,Hydrocotyle,palmata,Mathias,tax_nov,spec.,FALSE,Brittonia 2: 219. 1936 ,Brittonia,1936,2: 219,561-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,125187-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/125187-2,IPNI,NA,NA,NA,NA,
Lilaeopsis ulei,Apiaceae,Lilaeopsis,ulei,Pérez-Mor.,tax_nov,spec.,FALSE,Physis (Buenos Aires) 12: 92. 1936 ,Physis (Buenos Aires),1936,12: 92,2715-2,FALSE,holotype R,E.H.G.Ule,109,NA,Brazil (Southern America),NA,279657-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/279657-2,IPNI,NA,NA,NA,NA,
Eryngium foliosum,Apiaceae,Eryngium,foliosum,Scheele,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:841797-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:841797-1,
Eryngium lacustre,Apiaceae,Eryngium,lacustre,Pohl ex Urb.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:841868-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:841868-1,
Eryngium luzulifolium,Apiaceae,Eryngium,luzulifolium,Cham. & Schltdl.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:841895-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:841895-1,
Lilaeopsis minor,Apiaceae,Lilaeopsis,minor,(A.W.Hill) Pérez-Mor.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:140091-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:140091-2,
Centella erecta,Apiaceae,Centella,erecta,(L.f.) Fernald,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:51383-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:51383-2,
Visnaga daucoides,Apiaceae,Visnaga,daucoides,Gaertn.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:849956-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:849956-1,
