name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Allamanda alagoana,Apocynaceae,Allamanda,alagoana,J.W.Alves-Silva & T.S.Coutinho,tax_nov,spec.,Phytotaxa 613(2): 188. 2023 [13 Sep 2023] [epublished],Phytotaxa,2023,613(2): 188,20011462-1,holotype MAC;isotype UFMT,J.W. Alves-Silva et al.,1829,15 Nov 2022,"Alagoas (Brazil Northeast, Brazil, Southern America)","Flexeiras, Fazenda Jitituba",77327135-1,NA,13 Sep 2023,"doi:10.11646/phytotaxa.613.2.8 Etymology: name refers to the endemic distribution of the species in the state of Alagoas, Brazil.",www.ipni.org/n/77327135-1,IPNI,https://doi.org/10.11646/phytotaxa.613.2.8
Anechites amazonicus,Apocynaceae,Anechites,amazonicus,Markgr.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 960. 1926 ,Notizbl. Bot. Gart. Berlin-Dahlem,1926,9: 960,1019-2,lectotype RB,A.Ducke,RB17480,NA,Brazil (Southern America),NA,13195-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1926&rft.spage=960&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/13195-2,IPNI,NA
Anisolobus lancifolius,Apocynaceae,Anisolobus,lancifolius,K.Schum.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 455. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 455,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,13986-2,NA,NA,NA,www.ipni.org/n/13986-2,IPNI,NA
Aspidosperma ellipsocarpum,Apocynaceae,Aspidosperma,ellipsocarpum,Duarte,tax_nov,spec.,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 9, fig. 3. 1968 [Oct 1968] ",Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,"1: 9, fig. 3",16544-2,holotype RB,A. P. Duarte,9664,27 Mar 1966,"Minas Gerais (Brazil, Southern America)","forests of Rio Doce valley beside the Rio-Bahia highway, near km 751",60466409-2,NA,Oct 1968,NA,www.ipni.org/n/60466409-2,IPNI,NA
Aspidosperma gilbertii,Apocynaceae,Aspidosperma,gilbertii,Duarte,tax_nov,spec.,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 6, fig. 2. 1968 [Oct 1968] ",Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,"1: 6, fig. 2",16544-2,holotype RB,"A. P. Duarte, B. Gilbert, E. B. Heringer &amp; Edmundo Pereira",NA,25 Oct 1965,Brazil (Southern America),sandstone outcrop beside the Brasilia-Fortaleza road,60466408-2,NA,Oct 1968,"Eponymy: Benjamin Gilbert, a chemist",www.ipni.org/n/60466408-2,IPNI,NA
Aspidosperma heringeri,Apocynaceae,Aspidosperma,heringeri,Duarte,tax_nov,spec.,"Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais 1: 2, fig. 1. 1968 [Oct 1968] (as heringerii)",Bol. Mus. Hist. Nat. Univ. Fed. Minas Gerais,1968,"1: 2, fig. 1",16544-2,holotype RB,E. P. Heringer,10746,Oct 1965,Brazil (Southern America),"vicinity of Brasilia, in the humid brush of Catetinho",60466407-2,NA,Oct 1968,"Eponymy: Ezechias Paulo Heringer, a botanist & friend of the author",www.ipni.org/n/60466407-2,IPNI,NA
Couma pentaphylla,Apocynaceae,Couma,pentaphylla,Huber,tax_nov,spec.,Bol. Mus. Paraense Emilio Goeldi 7: 124. 1913 Nomen nudum,Bol. Mus. Paraense Emilio Goeldi,1913,7: 124,6736-2,NA,NA,NA,NA,Brazil (Southern America),NA,67220-2,NA,NA,NA,www.ipni.org/n/67220-2,IPNI,NA
Dipladenia ayuruocana,Apocynaceae,Dipladenia,ayuruocana,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 458. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 458,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,81424-2,NA,NA,NA,www.ipni.org/n/81424-2,IPNI,NA
Echites densevenulosus,Apocynaceae,Echites,densevenulosus,Stadelm.,tax_nov,spec.,"Flora 24(1, Beibl.): 47. 1841 ",Flora,1841,"24(1, Beibl.): 47",648-2,lectotype M,C.F.P.Martius,s.n.,NA,"Porto d'Estrella, Rio de Janeiro (Brazil, Southern America)",NA,318446-2,NA,NA,NA,www.ipni.org/n/318446-2,IPNI,NA
Echites sampaionis,Apocynaceae,Echites,sampaionis,Herter,tax_nov,spec.,"Arq. Mus. Nac. Rio de Janeiro 18: 13, 28. 1916 ",Arq. Mus. Nac. Rio de Janeiro,1916,"18: 13, 28",3790-2,NA,NA,NA,NA,Brazil (Southern America),NA,88721-2,NA,NA,NA,www.ipni.org/n/88721-2,IPNI,NA
Echites zuccariniana,Apocynaceae,Echites,zuccariniana,Stadelm.,tax_nov,spec.,"Flora 24(1, Beibl.): 76. 1841 ",Flora,1841,"24(1, Beibl.): 76",648-2,lectotype W;isotype M,J.B.E.Pohl,1383,NA,"Trahiras, Minas Gerais (Brazil, Southern America)",NA,88767-2,NA,NA,NA,www.ipni.org/n/88767-2,IPNI,NA
Hancornia fluminensis,Apocynaceae,Hancornia,fluminensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 448. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 448,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,117313-2,NA,NA,NA,www.ipni.org/n/117313-2,IPNI,NA
