name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Acontias pentaphyllus,Araceae,Acontias,pentaphyllus,Schott,tax_nov,spec.,FALSE,Syn. Aroid. 65. 1856 [Mar 1856] ,Syn. Aroid.,1856,65,1219-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,83994-1,TRUE,NA,Mar 1856,NA,NA,www.ipni.org/n/83994-1,IPNI,NA,NA,NA,NA,
Alocasia marginata,Araceae,Alocasia,marginata,N.E.Br.,tax_nov,spec.,FALSE,"Gard. Chron. ser. 3, 2: 712. 1887 ",Gard. Chron.,1887,"ser. 3, 2: 712",1224-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,9477-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/9477-2,IPNI,NA,NA,NA,NA,
Anthurium alegrense,Araceae,Anthurium,alegrense,"Theófilo, Manhães & D.R.Couto",tax_nov,spec.,FALSE,Kew Bull. 76(2): 257. 2021 [22 May 2021] [epublished],Kew Bull.,2021,76(2): 257,987-2,FALSE,holotype VIES;isotype RB,V.C.Manhães,560,10 Dec 2015,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Alegre, Sítio Água Limpa - Prop. Carlos Vimercati",77216868-1,TRUE,NA,22 May 2021,doi:10.1007/S12225-021-09945-4,[epublished],www.ipni.org/n/77216868-1,IPNI,NA,NA,NA,NA,
Anthurium amazonicum,Araceae,Anthurium,amazonicum,Engl.,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) IV, Fam. 23b: 194. 1905 ",Pflanzenr. (Engler),1905,"IV, Fam. 23b: 194",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,15076-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/15076-2,IPNI,NA,NA,NA,NA,
Anthurium bellissimum,Araceae,Anthurium,bellissimum,K.M.Pimenta & Mayo,tax_nov,spec.,FALSE,Phytotaxa 641(2): 139. 2024 [18 Mar 2024] [epublished],Phytotaxa,2024,641(2): 139,20011462-1,FALSE,holotype HUEFS 262395;isotype CEPEC;isotype K;isotype RB,K.M.Pimenta &amp; L.C.Marinho,897,25 Feb 2019,"Bahia (Brazil Northeast, Brazil, Southern America)","Município Itacaré, trilha de acesso à prainha na praia da Ribeira",77338753-1,FALSE,NA,18 Mar 2024,"doi:10.11646/phytotaxa.641.2.5 Etymology: the specific epithet refers to the greater beauty of the plant, with its exuberant leaves when compared to the most similar species, Anthurium bellum.",[epublished],www.ipni.org/n/77338753-1,IPNI,NA,NA,NA,NA,
Anthurium blanchetianum,Araceae,Anthurium,blanchetianum,Engl.,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) 4, Fam. 23b: 168. 1905 ",Pflanzenr. (Engler),1905,"4, Fam. 23b: 168",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,15124-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/15124-2,IPNI,NA,NA,NA,NA,
Anthurium bovinii,Araceae,Anthurium,bovinii,Camelo & Nadruz,tax_nov,spec.,FALSE,Syst. Bot. 47(3): 847. 2022 [16 Sep 2022] [epublished],Syst. Bot.,2022,47(3): 847,1295-2,FALSE,holotype RB RB494157,"M.G.Bovini, A.Quinet &amp; L.E.Barros",2952,6 Dec 2009,"Amazonas (Brazil North, Brazil, Southern America)","Boca do Acre, Rio Inauiní, Terra Firme",77311165-1,TRUE,NA,16 Sep 2022,"doi:10.1600/036364422X16573019348373 Etymology: 'The specific epithet “bovinii” is given in honor of the botanist and researcher of the Jardim Botanico do Rio de Janeiro, Dr Massimo G.Bovini, who collected the new species in the municipality of Boca do Acre'.",[epublished],www.ipni.org/n/77311165-1,IPNI,NA,NA,NA,NA,
Anthurium brevilobum,Araceae,Anthurium,brevilobum,N.E.Br.,tax_nov,spec.,FALSE,"Gard. Chron. ser. 3, 1: 380. 1887 ",Gard. Chron.,1887,"ser. 3, 1: 380",1224-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,15134-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/15134-2,IPNI,NA,NA,NA,NA,
Anthurium codajasii,Araceae,Anthurium,codajasii,G.M.Barroso,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 15: 97, tab. 12. 1957 ",Arch. Jard. Bot. Rio de Janeiro,1957,"15: 97, tab. 12",848-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,15194-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/15194-2,IPNI,NA,NA,NA,NA,
Anthurium crassipes,Araceae,Anthurium,crassipes,Engl.,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 25(3): 400. 1898 [19 Jul 1898] ,Bot. Jahrb. Syst.,1898,25(3): 400,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,15216-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.issue=3&rft.spage=400&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,19 Jul 1898,NA,NA,www.ipni.org/n/15216-2,IPNI,NA,NA,NA,NA,
