name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Aralia ferruginea,Araliaceae,Aralia,ferruginea,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 56(Mém. 3d): 332. 1909 ,Bull. Soc. Bot. France,1909,56(Mém. 3d): 332,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,17486-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/17486-2,IPNI,NA,NA,NA,NA,
Aralia fluminensis,Araliaceae,Aralia,fluminensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 56(Mém. 3d): 332. 1909 ,Bull. Soc. Bot. France,1909,56(Mém. 3d): 332,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,17488-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/17488-2,IPNI,NA,NA,NA,NA,
Coemansia warmingiana,Araliaceae,Coemansia,warmingiana,Marchal,tax_nov,spec.,FALSE,Bull. Acad. Roy. Sci. Belgique 47: 95. 1879 ,Bull. Acad. Roy. Sci. Belgique,1879,47: 95,9037-2,FALSE,holotype BRLU,J.E.B.Warming,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,307595-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1879&rft.spage=95&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/5550&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/307595-2,IPNI,NA,NA,NA,NA,
Didymopanax anomalus,Araliaceae,Didymopanax,anomalus,Taub.,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 17(5): 511. 1893 [7 Nov 1893] ,Bot. Jahrb. Syst.,1893,17(5): 511,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,80078-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/202829&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,7 Nov 1893,NA,NA,www.ipni.org/n/80078-2,IPNI,NA,NA,NA,NA,
Didymopanax falcatus,Araliaceae,Didymopanax,falcatus,Marchal,tax_nov,spec.,FALSE,"Bull. Soc. Roy. Bot. Belgique 28, pt. 2: 51. 1889 ",Bull. Soc. Roy. Bot. Belgique,1889,"28, pt. 2: 51",584-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,80085-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/80085-2,IPNI,NA,NA,NA,NA,
Didymopanax micranthus,Araliaceae,Didymopanax,micranthus,Marchal,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 11(1): 239. 1878 [1 Feb 1878] ,Fl. Bras. (Martius),1878,11(1): 239,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,90353-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145401&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Feb 1878,NA,NA,www.ipni.org/n/90353-1,IPNI,NA,NA,NA,NA,
Didymopanax pachycarpus,Araliaceae,Didymopanax,pachycarpus,Marchal,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 11(1): 236. 1878 [1 Feb 1878] ,Fl. Bras. (Martius),1878,11(1): 236,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,90359-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145399&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Feb 1878,NA,NA,www.ipni.org/n/90359-1,IPNI,NA,NA,NA,NA,
Didymopanax piauhyensis,Araliaceae,Didymopanax,piauhyensis,Rizzini,tax_nov,spec.,FALSE,Rodriguésia no. 41: 167 (-168). 1976 ,Rodriguésia,1976,no. 41: 167 (-168),1167-2,FALSE,holotype RB,Ramalho,287,NA,Brazil (Southern America),NA,80100-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/80100-2,IPNI,NA,NA,NA,NA,
Didymopanax simplicifolius,Araliaceae,Didymopanax,simplicifolius,Hoehne,tax_nov,spec.,FALSE,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas Annexo 5, Bot. pt. 6: 59, pl. 128. 1915 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1915,"Annexo 5, Bot. pt. 6: 59, pl. 128",16436-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,80105-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/80105-2,IPNI,NA,NA,NA,NA,
Didymopanax spruceanus,Araliaceae,Didymopanax,spruceanus,Seem.,tax_nov,spec.,FALSE,J. Bot. 6: 132. 1868 ,J. Bot.,1868,6: 132,678-2,FALSE,holotype K,R.Spruce,2307,NA,Brazil (Southern America),NA,80106-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/16233608&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/80106-2,IPNI,NA,NA,NA,NA,
Didymopanax utiarityensis,Araliaceae,Didymopanax,utiarityensis,Hoehne,tax_nov,spec.,FALSE,"Arq. Bot. Estado Sao Paulo new ser. 1: 37, tab. 43. 1938 ",Arq. Bot. Estado Sao Paulo,1938,"new ser. 1: 37, tab. 43",850-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,80110-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/80110-2,IPNI,NA,NA,NA,NA,
Didymopanax venulosus,Araliaceae,Didymopanax,venulosus,Taub.,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 17(5): 510. 1893 [7 Nov 1893] ,Bot. Jahrb. Syst.,1893,17(5): 510,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,80111-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/202828&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,7 Nov 1893,NA,NA,www.ipni.org/n/80111-2,IPNI,NA,NA,NA,NA,
Gilibertia affinis,Araliaceae,Gilibertia,affinis,Marchal,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 11(1): 251. 1878 [1 Feb 1878] ,Fl. Bras. (Martius),1878,11(1): 251,629-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,316489-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145407&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Feb 1878,[Gandhi 2 Oct 1998],NA,www.ipni.org/n/316489-2,IPNI,NA,NA,NA,NA,
Gilibertia exilis,Araliaceae,Gilibertia,exilis,Toledo,tax_nov,spec.,FALSE,"Arq. Bot. Estado Sao Paulo n.s., 3: 30, t. 1952 ",Arq. Bot. Estado Sao Paulo,1952,"n.s., 3: 30, t",850-2,FALSE,holotype SP,"Toledo, Handro",s.n.,NA,Brazil (Southern America),NA,110512-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/110512-2,IPNI,NA,NA,NA,NA,
Gilibertia palustris,Araliaceae,Gilibertia,palustris,Ducke,tax_nov,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 3: 228. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,3: 228,848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,110529-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/110529-2,IPNI,NA,NA,NA,NA,
Gilibertia pruinosa,Araliaceae,Gilibertia,pruinosa,Taub.,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 21(4): 448. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,21(4): 448,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,110533-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=448&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1895,NA,a preprint,www.ipni.org/n/110533-2,IPNI,NA,NA,NA,NA,
Panax longe-petiolatus,Araliaceae,Panax,longe-petiolatus,Pohl ex DC.,tax_nov,spec.,FALSE,Prodr. [A. P. de Candolle] 4: 253. 1830 [late Sep 1830] (as longe-petiolatum),Prodr. [A. P. de Candolle],1830,4: 253,1051-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,91497-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1830&rft.spage=253&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/286&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,late Sep 1830,"“longe” is an adverb (not an adjective); in the epithet longe-petiolatus (= longly petioled), the two words can stand independently, and the hyphen is permitted",(as longe-petiolatum),www.ipni.org/n/91497-1,IPNI,NA,NA,NA,NA,
Panax vinosus,Araliaceae,Panax,vinosus,Cham. & Schltdl.,tax_nov,spec.,FALSE,Linnaea 1(3): 402. 1826 [Aug-Oct 1826] ,Linnaea,1826,1(3): 402,703-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,91590-1,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/93666&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Aug-Oct 1826,NA,NA,www.ipni.org/n/91590-1,IPNI,NA,NA,NA,NA,
Pentapanax ulei,Araliaceae,Pentapanax,ulei,Harms,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 42(2-3): 237. 1908 [29 Dec 1908] ,Bot. Jahrb. Syst.,1908,42(2-3): 237,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,188152-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=237&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,29 Dec 1908,NA,NA,www.ipni.org/n/188152-2,IPNI,NA,NA,NA,NA,
Schefflera asymmetrica,Araliaceae,Schefflera,asymmetrica,Frodin,tax_nov,spec.,FALSE,"Novon 3(4): 371, figs. 2, 3. 1993 [29 Dec 1993] ",Novon,1993,"3(4): 371, figs. 2, 3",14256-2,FALSE,holotype K;isotype MO," A.H.Gentry,B.A.Stein",1585,NA,"Amazonas (Brazil, Southern America)",NA,304051-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/639278&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,29 Dec 1993,NA,NA,www.ipni.org/n/304051-2,IPNI,NA,NA,NA,NA,
