name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Aristolochia cabrerae,Aristolochiaceae,Aristolochia,cabrerae,Ahumada,tax_nov,spec.,"Folia Bot. Geobot. Correntesiana 2: 1, fig. 1. 1989 ",Folia Bot. Geobot. Correntesiana,1989,"2: 1, fig. 1",20000000-1,holotype SI," U.G.Eskuche,L.Z.Ahumada",5346,NA,"Ribas do Rio Pardo, Mato Grosso do Sul (Brazil, Southern America)",NA,272649-2,NA,NA,NA,www.ipni.org/n/272649-2,IPNI,NA
Aristolochia cisneroii,Aristolochiaceae,Aristolochia,cisneroii,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 577. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 577,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,19434-2,NA,NA,NA,www.ipni.org/n/19434-2,IPNI,NA
Aristolochia droseroidis,Aristolochiaceae,Aristolochia,droseroidis,Hoehne,tax_nov,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5, Bot. pt. 1: 67, pl. 62. 1910 as droseroides",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1910,"5, Bot. pt. 1: 67, pl. 62",16436-2,NA,NA,NA,NA,Brazil (Southern America),NA,19460-2,NA,NA,NA,www.ipni.org/n/19460-2,IPNI,NA
Aristolochia franzii,Aristolochiaceae,Aristolochia,franzii,D.Frank,tax_nov,spec.,Brittonia 75(4): 360. 2023 [3 Oct 2023] [epublished],Brittonia,2023,75(4): 360,561-2,holotype NY 668825;isotype CAY;isotype P P06793067,"S.A.Mori, T.Lobova, V.Hequet, A.Berkov, J.Feinstein, B.Keeley &amp; A.Tejedor",25549,10 Jan 2003,"French Guiana (Northern South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);","French Guiana, Cayenne: Nouragues Field Station and vicinity, junction of Crique Kwak and Crique Nouragues",77328224-1,NA,3 Oct 2023,"doi:10.1007/s12228-023-09764-w Etymology: named in memory of the author’s late father Franz Frank, who died early but fueled the author’s passion for natural sciences and botany.",www.ipni.org/n/77328224-1,IPNI,https://doi.org/10.1007/s12228-023-09764-w
Aristolochia glandulosa,Aristolochiaceae,Aristolochia,glandulosa,J.M.Ferrari,tax_nov,spec.,"Oréades 6(10–11): 79 (1977–1978 publ. 1978), without type. ",Oréades,1978,"6(10–11): 79 (1977–1978 publ. 1978), without type",NA,NA,NA,NA,NA,Brazil.,NA,896075-1,NA,1978,NA,www.ipni.org/n/896075-1,IPNI,NA
Aristolochia huebneriana,Aristolochiaceae,Aristolochia,huebneriana,O.C.Schmidt,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 40: 133. 1936 ,Repert. Spec. Nov. Regni Veg.,1936,40: 133,788-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,19500-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=133&rft.volume=40&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/19500-2,IPNI,NA
Aristolochia krukoffii,Aristolochiaceae,Aristolochia,krukoffii,O.C.Schmidt,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 45: 53. 1938 ,Repert. Spec. Nov. Regni Veg.,1938,45: 53,788-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,19510-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=53&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/19510-2,IPNI,NA
Aristolochia macrorrhyncha,Aristolochiaceae,Aristolochia,macrorrhyncha,Hoehne,tax_nov,spec.,"Arq. Bot. Estado Sao Paulo new ser. 2: 96, tab. 32. 1947 ",Arq. Bot. Estado Sao Paulo,1947,"new ser. 2: 96, tab. 32",850-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,19532-2,NA,NA,NA,www.ipni.org/n/19532-2,IPNI,NA
Aristolochia micrantha,Aristolochiaceae,Aristolochia,micrantha,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 577. 1911 Nomen subnudum,Bull. Soc. Bot. France,1911,58(Mém. 3f): 577,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,19550-2,NA,NA,NA,www.ipni.org/n/19550-2,IPNI,NA
Aristolochia peltibractea,Aristolochiaceae,Aristolochia,peltibractea,Hoehne,tax_nov,spec.,"Mem. Inst. Oswaldo Cruz 20: 132, pl. 60. 1927 ",Mem. Inst. Oswaldo Cruz,1927,"20: 132, pl. 60",2517-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,19580-2,NA,NA,NA,www.ipni.org/n/19580-2,IPNI,NA
Aristolochia pyriflora,Aristolochiaceae,Aristolochia,pyriflora,Lombardi & D.Frank,tax_nov,spec.,Brittonia 74(3): 227-238. 2022 [5 Jul 2022] ,Brittonia,2022,74(3): 227-238,561-2,holotype HRCB 75911;isotype BHCB;isotype RB,J.A.Lombardi,10809,20 Dec 2019,"Bolivia (Western South America, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);Paraguay (Southern South America, Southern America);","Mato Grosso: Barra do Garças, roadside",77306592-1,NA,5 Jul 2022,doi:10.1007/s12228-022-09710-2 Etymology: name refers to the pyriform perianth.,www.ipni.org/n/77306592-1,IPNI,https://doi.org/10.1007/s12228-022-09710-2
Aristolochia stomachoidis,Aristolochiaceae,Aristolochia,stomachoidis,Hoehne,tax_nov,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5, Bot. pt. 1: 65, pl. 60. 1910 as stomachivides",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1910,"5, Bot. pt. 1: 65, pl. 60",16436-2,NA,NA,NA,NA,Brazil (Southern America),NA,19627-2,NA,NA,NA,www.ipni.org/n/19627-2,IPNI,NA
Aristolochia schmidtiana,Aristolochiaceae,Aristolochia,schmidtiana,Hoehne,NA,Species,"Arq. Bot. Estado São Paulo, n.s., f.m., 1: 90 (1942)",NA,1942,NA,NA,NA,NA,NA,NA,NA,NA,19612-2,NA,NA,NA,https://powo.science.kew.org/taxon/19612-2,POWO,NA
Aristolochia surinamensis,Aristolochiaceae,Aristolochia,surinamensis,Willd.,NA,Species,"Sp. Pl., ed. 4. 4: 151 (1805)",NA,1805,NA,NA,NA,NA,NA,NA,NA,NA,93372-1,NA,NA,NA,https://powo.science.kew.org/taxon/93372-1,POWO,NA
Aristolochia leuconeura,Aristolochiaceae,Aristolochia,leuconeura,Linden,NA,Species,Belgique Hort. 8: 165 (1858),NA,1858,NA,NA,NA,NA,NA,NA,NA,NA,272659-2,NA,NA,NA,https://powo.science.kew.org/taxon/272659-2,POWO,NA
Prosopanche americana,Aristolochiaceae,Prosopanche,americana,(R.Br.) Baill.,NA,Species,Hist. Pl. 9: 27 (1886),NA,1886,NA,NA,NA,NA,NA,NA,NA,NA,210396-2,NA,NA,NA,https://powo.science.kew.org/taxon/210396-2,POWO,NA
Aristolochia nummulariifolia,Aristolochiaceae,Aristolochia,nummulariifolia,Kunth,NA,Species,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth, Nov. Gen. Sp. 2: 145 (1817)",NA,1817,NA,NA,NA,NA,NA,NA,NA,NA,93167-1,NA,NA,NA,https://powo.science.kew.org/taxon/93167-1,POWO,NA
Aristolochia constricta,Aristolochiaceae,Aristolochia,constricta,Griseb.,NA,Species,Abh. Königl. Ges. Wiss. Göttingen 7: 225 (1857),NA,1857,NA,NA,NA,NA,NA,NA,NA,NA,92853-1,NA,NA,NA,https://powo.science.kew.org/taxon/92853-1,POWO,NA
