name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Achyrocline capitata,Asteraceae,Achyrocline,capitata,Baker,tax_nov,spec.,FALSE,"Fl. Bras. (Martius) 6(3): 117, t. 39. 1882 [1 Jul 1882] ",Fl. Bras. (Martius),1882,"6(3): 117, t. 39",629-2,FALSE,lectotype S,A.F.M.Glaziou,5899,NA,"Minas Gerais (Brazil, Southern America)",NA,309291-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139396&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jul 1882,NA,NA,www.ipni.org/n/309291-2,IPNI,NA,NA,NA,NA,
Achyrocline macella,Asteraceae,Achyrocline,macella,Deble & Marchiori,tax_nov,spec.,FALSE,Balduinia 6: 25 (-27; fig. 1). 2006 [Feb 2006] ,Balduinia,2006,6: 25 (-27; fig. 1),20004049-2,FALSE,holotype MBM,G. Tiepolo &amp; A. C. Svolenski,698,16 Aug 1996,"Paraná (Brazil, Southern America)","Rio Branco do Sul, Caverna dos Bromados ...",60446812-2,TRUE,NA,Feb 2006,NA,NA,www.ipni.org/n/60446812-2,IPNI,NA,NA,NA,NA,
Achyrocline rugosa,Asteraceae,Achyrocline,rugosa,Gardner,tax_nov,spec.,FALSE,London J. Bot. 7: 419. 1848 ,London J. Bot.,1848,7: 419,704-2,FALSE,lectotype K;isotype BM;isotype K,George Gardner,4935,NA,"Minas Gerais (Brazil, Southern America)",NA,301571-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1848&rft.spage=419&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/301571-2,IPNI,NA,NA,NA,NA,
Achyrophorus bipontinae,Asteraceae,Achyrophorus,bipontinae,Sch.Bip.,tax_nov,spec.,FALSE,Commentat. Bot. (Sch. Bip.) 21 (21-22). 1859 [9 Aug 1959] ,Commentat. Bot. (Sch. Bip.),1859,21 (21-22),18163-2,FALSE,NA,G.A.[G.] Lindberg,88,NA,"Minas Gerais (Brazil, Southern America)",NA,317599-2,TRUE,NA,9 Aug 1959,[Gandhi 1 Apr 1999],NA,www.ipni.org/n/317599-2,IPNI,NA,NA,NA,NA,
Achyrophorus gardneri,Asteraceae,Achyrophorus,gardneri,Sch.Bip.,tax_nov,spec.,FALSE,Commentat. Bot. (Sch. Bip.) 34. 1859 [9 Aug 1959] ,Commentat. Bot. (Sch. Bip.),1859,34,18163-2,FALSE,NA,George Gardner,s.n.,NA,Brazil (Southern America),NA,317600-2,TRUE,NA,9 Aug 1959,[Gandhi 1 Apr 1999] nom. nov. for A. brasiliensis Gardn. 1845 (non Less.),NA,www.ipni.org/n/317600-2,IPNI,NA,NA,NA,NA,
Achyrophorus microcephalus,Asteraceae,Achyrophorus,microcephalus,Sch.Bip.,tax_nov,spec.,FALSE,Jahresber. Pollichia 16-17: 59. 1859 [9 Aug 1859] Commentat. Bot. (Sch. Bip.) 27-28. 1859.,Jahresber. Pollichia,1859,16-17: 59,1267-2,FALSE,null P?,F.Sellow,s.n.,NA,"Rio Pardo, Brazil (Southern America)",NA,2601-2,TRUE,NA,9 Aug 1859,NA,Commentat. Bot. (Sch. Bip.) 27-28. 1859.,www.ipni.org/n/2601-2,IPNI,NA,NA,NA,NA,
Achyrophorus selloi,Asteraceae,Achyrophorus,selloi,Sch.Bip.,tax_nov,spec.,FALSE,Commentat. Bot. (Sch. Bip.) 29 (29-30). 1859 [9 Aug 1859] ,Commentat. Bot. (Sch. Bip.),1859,29 (29-30),18163-2,FALSE,NA,F.Sellow,s.n.,NA,"Rio Pardo, Brazil (Southern America)",NA,2609-2,TRUE,NA,9 Aug 1859,NA,NA,www.ipni.org/n/2609-2,IPNI,NA,NA,NA,NA,
Achyrophorus tenuisectus,Asteraceae,Achyrophorus,tenuisectus,Sch.Bip.,tax_nov,spec.,FALSE,Commentat. Bot. (Sch. Bip.) 26 (26-27). 1859 [9 Aug 1859] ,Commentat. Bot. (Sch. Bip.),1859,26 (26-27),18163-2,FALSE,NA,S.-R.Lenormand,s.n.,NA,"Santa Catarina (Brazil, Southern America)",NA,317601-2,TRUE,NA,9 Aug 1859,[Gandhi 1 Apr 1999],NA,www.ipni.org/n/317601-2,IPNI,NA,NA,NA,NA,
Achyrophorus trichocephalus,Asteraceae,Achyrophorus,trichocephalus,Sch.Bip.,tax_nov,spec.,FALSE,Commentat. Bot. (Sch. Bip.) 26. 1859 [9 Aug 1859] ,Commentat. Bot. (Sch. Bip.),1859,26,18163-2,FALSE,null LENORMAND HERB.,S.-R.Lenormand,s.n.,NA,"Santa Catarina (Brazil, Southern America)",NA,2623-2,TRUE,NA,9 Aug 1859,NA,NA,www.ipni.org/n/2623-2,IPNI,NA,NA,NA,NA,
Acritopappus hagei,Asteraceae,Acritopappus,hagei,R.M.King & H.Rob.,tax_nov,spec.,FALSE,"Phytologia 45: 142 (-143), fig. 1980 ",Phytologia,1980,"45: 142 (-143), fig",1034-2,FALSE,holotype RB,"R.M.King, S.A.Mori, J.L.Hage, T.S.dos Santos",8164,NA,"Bahia (Brazil, Southern America)",NA,3522-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1980&rft.spage=142&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/3522-2,IPNI,NA,NA,NA,NA,
Actinella anthemidoides,Asteraceae,Actinella,anthemidoides,(Juss.) Malme,tax_nov,spec.,FALSE,Ark. Bot. 24A(6): 73. 1931 ,Ark. Bot.,1931,24A(6): 73,536-2,FALSE,NA,NA,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",NA,3975-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/3975-2,IPNI,NA,NA,NA,NA,
